configs,runtime_traj,F1
"{'x0': -5.208987451877711, 'x1': 3.542289431772625, 'x2': 8.983868395370877, 'x3': -2.3357761397991483, 'x4': 1.5644660162043706, 'x5': -8.188596014685626, 'x6': 5.725270756608653, 'x7': -5.39440043189237, 'x8': -0.3798129449757219, 'x9': 6.499756602496053}",5.012588355999469,95.859
"{'x0': 8.728638446140401, 'x1': -8.304687301336172, 'x2': 9.565938910871091, 'x3': -0.916698009698358, 'x4': -8.602068578814034, 'x5': 1.2397653748042077, 'x6': -5.7381826404780885, 'x7': -7.110078864560236, 'x8': -3.625006615924759, 'x9': -2.5938806736161872}",5.012545475998195,149.958
"{'x0': -2.2690925913556352, 'x1': -8.359233407738873, 'x2': -1.6563459587370843, 'x3': 1.644095629986861, 'x4': 8.435826737353203, 'x5': 0.2876299599107277, 'x6': 4.252283822634851, 'x7': 0.8824096711444938, 'x8': -8.372820211292733, 'x9': -6.79846880327275}",5.012603904997377,42.47
"{'x0': 6.362336297307408, 'x1': 2.922264953970968, 'x2': 8.190096020535577, 'x3': -1.6387002179197443, 'x4': 8.30582147657125, 'x5': -3.349503484034999, 'x6': -0.525009681443219, 'x7': 1.2611243964589196, 'x8': 3.847905178881799, 'x9': 7.214706083652821}",5.012566255998536,48.208
"{'x0': -2.9244918010116505, 'x1': 7.893221042074352, 'x2': 2.403652400271561, 'x3': 8.088222055802994, 'x4': -0.3415131138860552, 'x5': 2.6668791009558426, 'x6': 9.714805774461944, 'x7': -8.248617811039473, 'x8': 3.2453084553339515, 'x9': -3.9600103127399606}",15.034512782000093,81.031
"{'x0': 3.5793399065411577, 'x1': -4.761528183447492, 'x2': -2.364351078053753, 'x3': 2.8724519926105287, 'x4': 5.305262094213926, 'x5': 0.4509870515303582, 'x6': 8.810954921577363, 'x7': 8.020647106043974, 'x8': -8.452367575906191, 'x9': -5.368002783338357}",10.033117209997728,66.721
"{'x0': 0.6642610137423866, 'x1': 7.55250854028802, 'x2': -0.102679872108542, 'x3': 7.49829619672122, 'x4': -1.5208018493314055, 'x5': 9.284835547697494, 'x6': 5.993362279191468, 'x7': 0.262135794372913, 'x8': -3.1064925482926338, 'x9': 3.540529802429173}",10.03307140099787,77.098
"{'x0': 0.2432402971927789, 'x1': 9.538289605404866, 'x2': 3.182299049461223, 'x3': 6.2355249731738525, 'x4': -8.697846405130266, 'x5': -6.004985518021007, 'x6': -2.194059709787528, 'x7': 4.873291378169739, 'x8': -2.9067411381531354, 'x9': 6.508633685113541}",10.033101081000495,135.991
"{'x0': -5.377852561238729, 'x1': -9.84526909270729, 'x2': -6.200440991541349, 'x3': -1.8131281198699671, 'x4': 8.752998654580594, 'x5': 4.0414371064772325, 'x6': 0.7057858014729863, 'x7': 1.1466147766981258, 'x8': -7.13167807837674, 'x9': 6.168355955739827}",20.460891667997203,188.336
"{'x0': -4.082757224334968, 'x1': -9.042591016118296, 'x2': 1.9931811206675436, 'x3': 5.949621425024944, 'x4': 8.585026546763398, 'x5': -7.269427970183671, 'x6': -4.114059510120876, 'x7': -2.1165425806610365, 'x8': -4.750777621451361, 'x9': -8.740141033525596}",20.460829387997364,109.774
"{'x0': -9.7660621614136, 'x1': -5.696599982219988, 'x2': 2.9913987031525906, 'x3': 2.7774308117346607, 'x4': 9.79086127733424, 'x5': 2.122348168434531, 'x6': 6.093695108013428, 'x7': 0.7930422257060528, 'x8': 9.603446277513504, 'x9': -6.694448516711827}",20.460875837998174,222.314
"{'x0': -9.022363979986794, 'x1': -9.624738554874709, 'x2': -7.537796064947884, 'x3': -7.372457076709821, 'x4': 9.028666446973173, 'x5': -1.924480287635536, 'x6': 1.6755224043201622, 'x7': -1.1873500977594116, 'x8': 4.558313408048722, 'x9': -6.584430927036986}",20.460857128000494,177.877
"{'x0': -1.6524153066083187, 'x1': 1.3976930344443377, 'x2': -6.97838843259067, 'x3': 0.109968706271351, 'x4': 0.3122372843863275, 'x5': -8.826920844109122, 'x6': 6.650753385489416, 'x7': -1.8442574882670613, 'x8': 7.966936251692282, 'x9': 8.829678188202202}",26.12165740499768,80.791
"{'x0': 9.192021529957394, 'x1': 0.7363667794318758, 'x2': -9.819281723145677, 'x3': 1.6596254754457185, 'x4': -4.60777430186438, 'x5': 6.8508397811318105, 'x6': 5.156524046399028, 'x7': -2.283212117457465, 'x8': -9.909734128042338, 'x9': -9.355698385003963}",26.12163451499873,226.909
"{'x0': -1.6524153066083187, 'x1': 1.3976930344443377, 'x2': -6.97838843259067, 'x3': 0.109968706271351, 'x4': 0.3122372843863275, 'x5': -8.826920844109122, 'x6': 6.650753385489416, 'x7': -1.8442574882670613, 'x8': 7.966936251692282, 'x9': 8.829678188202202}",26.11819546299739,80.791
"{'x0': -1.6524153066083187, 'x1': 1.3976930344443377, 'x2': -6.97838843259067, 'x3': 0.109968706271351, 'x4': 0.3122372843863275, 'x5': -8.826920844109122, 'x6': 6.650753385489416, 'x7': -1.8442574882670613, 'x8': 7.966936251692282, 'x9': 8.829678188202202}",31.669469296997704,80.791
"{'x0': 3.158194084084407, 'x1': -3.0953675277667525, 'x2': 3.8998684989609167, 'x3': -9.312875794797764, 'x4': 3.017315302651671, 'x5': -4.013872022529901, 'x6': -8.996524250913758, 'x7': 1.1939491869664105, 'x8': -8.566868839285284, 'x9': -8.770481375234686}",37.169346315997245,95.07
"{'x0': 1.9406094262218403, 'x1': -4.322584669687972, 'x2': 7.17248958902271, 'x3': 8.104544947910025, 'x4': 3.0571949623860317, 'x5': -0.310018887785187, 'x6': -5.613648730595722, 'x7': 9.220047711116075, 'x8': -8.353779214825622, 'x9': -7.006209280053682}",37.16941603599844,89.522
"{'x0': 1.9406094262218403, 'x1': -4.322584669687972, 'x2': 7.17248958902271, 'x3': 8.104544947910025, 'x4': 3.0571949623860317, 'x5': -0.310018887785187, 'x6': -5.613648730595722, 'x7': 9.220047711116075, 'x8': -8.353779214825622, 'x9': -7.006209280053682}",37.16943255599836,89.522
"{'x0': 9.960840056231984, 'x1': -2.6559514458500715, 'x2': -6.168924932297937, 'x3': -7.357336978437916, 'x4': -2.3561688032530377, 'x5': 8.598464114479576, 'x6': 3.331357759570228, 'x7': 9.976984989246104, 'x8': -9.771594856132175, 'x9': 1.1300638455871166}",37.167280746998586,269.865
"{'x0': 8.396085448221655, 'x1': -9.15083380833867, 'x2': -5.384983198401869, 'x3': 5.368230407148179, 'x4': 8.364908874314338, 'x5': -8.983230116358925, 'x6': 2.957018491143412, 'x7': -1.7720186262334572, 'x8': -8.299918018457486, 'x9': 8.371186928722864}",43.1670842450003,126.103
"{'x0': 9.533223608193286, 'x1': -9.51042106843093, 'x2': -9.533431569146792, 'x3': -7.869581724362556, 'x4': 6.842705984650685, 'x5': 9.01232464593472, 'x6': -5.881987357457488, 'x7': 6.323154389110272, 'x8': 7.733233255132976, 'x9': 8.149660396538877}",43.16709393499696,266.676
"{'x0': -2.064186851744074, 'x1': -8.573461852532105, 'x2': -1.6308457922282376, 'x3': -8.724076714959416, 'x4': 8.25154638371039, 'x5': -8.755634729471423, 'x6': 8.497849461519237, 'x7': -5.290185313135507, 'x8': 7.278338998753714, 'x9': 4.105062952131114}",43.16705390499919,91.662
"{'x0': 1.0122081912479697, 'x1': -9.060888519173446, 'x2': -9.41967553566088, 'x3': -5.432885798962066, 'x4': 7.530739618365104, 'x5': -7.81043260014588, 'x6': 9.013855676732888, 'x7': 0.1813319248411549, 'x8': -6.555817008790119, 'x9': 5.7229803817838985}",43.16707316499742,182.039
"{'x0': 1.4403721228915425, 'x1': -5.484097080161803, 'x2': 8.007434144286517, 'x3': 6.904775086890606, 'x4': 8.47131692874608, 'x5': 6.432037952251704, 'x6': 4.101191903358856, 'x7': 8.86990031570781, 'x8': -1.4384460260558851, 'x9': -3.526094807279563}",53.83356440499847,97.515
"{'x0': -0.5246871567988283, 'x1': -5.735578587859578, 'x2': 1.7771329592449483, 'x3': 0.6960599058071182, 'x4': 8.482110906695233, 'x5': -9.89778124015612, 'x6': 3.82350550578642, 'x7': 1.4374907291241978, 'x8': -9.193821029184178, 'x9': 0.9085284084687472}",53.8378544829975,153.338
"{'x0': 1.3579848306527769, 'x1': -0.8571195903093667, 'x2': -1.777912223170727, 'x3': 5.91760309628431, 'x4': 8.475969190356928, 'x5': -9.010626763036774, 'x6': 4.891615975774704, 'x7': 5.120641284585684, 'x8': -3.598440285134325, 'x9': -7.272771157082747}",53.83783262299767,87.027
"{'x0': 1.4403721228915425, 'x1': -5.484097080161803, 'x2': 8.007434144286517, 'x3': 6.904775086890606, 'x4': 8.47131692874608, 'x5': 6.432037952251704, 'x6': 4.101191903358856, 'x7': 8.86990031570781, 'x8': -1.4384460260558851, 'x9': -3.526094807279563}",53.83786710300046,97.515
"{'x0': -7.166303048198152, 'x1': 4.054542228881733, 'x2': 8.275351018275185, 'x3': 7.262029177119011, 'x4': 7.1128801410701, 'x5': -8.061172833564505, 'x6': -4.223696441187855, 'x7': -2.418236506499561, 'x8': 1.769435979578159, 'x9': 2.2829943870241376}",59.769150820000505,68.285
"{'x0': -2.3956506146580425, 'x1': -2.813478813880524, 'x2': -6.694538167434079, 'x3': -8.250132060844198, 'x4': 7.365068816933263, 'x5': 2.5827385755797323, 'x6': -9.915426548992638, 'x7': -6.4408169963472, 'x8': -8.402638115453495, 'x9': 1.1293345133082229}",59.7691279699975,184.076
"{'x0': -9.185618642242838, 'x1': 7.636553511107142, 'x2': 8.393342649472295, 'x3': 8.630777477324596, 'x4': 8.802881926177463, 'x5': -4.469936483273305, 'x6': -9.347946986961112, 'x7': 7.007899621604235, 'x8': 5.354774910800675, 'x9': -0.918886951565426}",59.76916643999721,161.875
"{'x0': -7.166303048198152, 'x1': 4.054542228881733, 'x2': 8.275351018275185, 'x3': 7.262029177119011, 'x4': 7.1128801410701, 'x5': -8.061172833564505, 'x6': -4.223696441187855, 'x7': -2.418236506499561, 'x8': 1.769435979578159, 'x9': 2.2829943870241376}",59.76918019999721,68.285
"{'x0': -5.233325750780993, 'x1': -0.318236788546173, 'x2': 8.5279846442922, 'x3': 7.452008874699654, 'x4': 5.177242138462184, 'x5': -3.6036205831817, 'x6': 5.533789257673476, 'x7': -1.7634274188767147, 'x8': 1.0133298327686455, 'x9': 9.63893920105948}",65.55582763599887,75.59
