configs,runtime_traj,F1
"{'x0': 9.057853901712368, 'x1': -2.7305609859470747, 'x2': 2.04977298772382, 'x3': 8.279684169092842, 'x4': 5.759279747664063, 'x5': 3.572968719487058, 'x6': 2.929324433592104, 'x7': -2.7378421033135503, 'x8': -0.1572280575980542, 'x9': 7.255444487814245}",5.001912297999297,81.288
"{'x0': 1.684583502737695, 'x1': 9.77318820960686, 'x2': -2.587769626705539, 'x3': 4.634833116205222, 'x4': 8.189101006710633, 'x5': -6.182235473979175, 'x6': 2.487318483402694, 'x7': 4.551085872089182, 'x8': 9.877416784018576, 'x9': 1.2876385230683098}",10.006178708999869,167.01
"{'x0': -5.726271158067298, 'x1': 3.6155382426271903, 'x2': 8.220270162311984, 'x3': 2.338586385225563, 'x4': -9.849536342500308, 'x5': -8.516240284043233, 'x6': -4.09288650419656, 'x7': 8.863693046166397, 'x8': 1.3305588259621557, 'x9': 0.2201915719320339}",15.015569617999065,146.445
"{'x0': 3.507122639879196, 'x1': -0.241072235782866, 'x2': -1.3253686268242078, 'x3': -0.8223050236954954, 'x4': 5.398301044707889, 'x5': 5.1377578980469565, 'x6': -9.96831850518589, 'x7': 8.362318228496552, 'x8': 3.440623091186044, 'x9': -3.007401780360617}",20.020350218999734,117.534
"{'x0': -9.591063275866132, 'x1': -4.908412019220199, 'x2': -7.56312847693721, 'x3': -2.0814080630973724, 'x4': 7.901042754492835, 'x5': -7.748205656039624, 'x6': 2.596383286959396, 'x7': -5.168986494383756, 'x8': -6.950232640671445, 'x9': 6.788717258720869}",25.03071332699983,155.699
"{'x0': 4.1, 'x1': -9.2, 'x2': 2.8, 'x3': 7.6, 'x4': -0.1, 'x5': 5.5, 'x6': -7.3, 'x7': 1.0, 'x8': -3.7, 'x9': 9.5}",47.28209893500025,90.209
"{'x0': 6.2, 'x1': -3.8, 'x2': -8.6, 'x3': 2.7, 'x4': 7.4, 'x5': 1.6, 'x6': -0.1, 'x7': 9.3, 'x8': -4.1, 'x9': -2.2}",52.29237912799909,81.339
"{'x0': 3.3, 'x1': -9.9, 'x2': 6.7, 'x3': 1.4, 'x4': -4.5, 'x5': 7.9, 'x6': -8.1, 'x7': 5.8, 'x8': -0.7, 'x9': 1.9}",57.320083601998704,118.233
"{'x0': 6.6, 'x1': -0.9, 'x2': -6.3, 'x3': 2.2, 'x4': 8.1, 'x5': 1.1, 'x6': -2.5, 'x7': 9.7, 'x8': -5.6, 'x9': 4.2}",62.326877015999344,143.048
"{'x0': 9.0, 'x1': -1.0, 'x2': 1.0, 'x3': 9.0, 'x4': 5.0, 'x5': 4.0, 'x6': 2.0, 'x7': -2.0, 'x8': 1.0, 'x9': 8.0}",84.7453689619997,87.241
"{'x0': 6.0, 'x1': -4.0, 'x2': -8.0, 'x3': 3.0, 'x4': 7.0, 'x5': 2.0, 'x6': 0.0, 'x7': 9.0, 'x8': -4.0, 'x9': -2.0}",89.75659527300013,72.876
"{'x0': 8.0, 'x1': -2.0, 'x2': 2.0, 'x3': 8.0, 'x4': 6.0, 'x5': 3.0, 'x6': 3.0, 'x7': -3.0, 'x8': 0.0, 'x9': 7.0}",94.76107856499948,44.854
"{'x0': 4.0, 'x1': -9.0, 'x2': 3.0, 'x3': 7.0, 'x4': 0.0, 'x5': 5.0, 'x6': -7.0, 'x7': 1.0, 'x8': -4.0, 'x9': 9.0}",99.76775344499949,82.377
"{'x0': 4.9, 'x1': -7.7, 'x2': 0.8, 'x3': 7.6, 'x4': -3.4, 'x5': 6.1, 'x6': -9.3, 'x7': 1.6, 'x8': -1.9, 'x9': 9.0}",122.18833617199924,97.037
"{'x0': 3.6, 'x1': -8.4, 'x2': 1.8, 'x3': 8.2, 'x4': -2.3, 'x5': 5.7, 'x6': -9.9, 'x7': 2.1, 'x8': -0.2, 'x9': 8.5}",127.20083486899966,119.56
"{'x0': 2.9, 'x1': -9.5, 'x2': 0.4, 'x3': 7.9, 'x4': -4.2, 'x5': 6.6, 'x6': -8.8, 'x7': 2.7, 'x8': -1.1, 'x9': 9.3}",132.2168407479985,97.751
"{'x0': 1.7, 'x1': -9.3, 'x2': -0.2, 'x3': 8.0, 'x4': -5.5, 'x5': 7.0, 'x6': 2.4, 'x7': -6.6, 'x8': 1.3, 'x9': -1.5}",137.2229495849988,114.659
"{'x0': 4.3, 'x1': -5.6, 'x2': 3.9, 'x3': -2.4, 'x4': 7.8, 'x5': -1.1, 'x6': 5.0, 'x7': -9.0, 'x8': 2.7, 'x9': 1.7}",159.13562496699888,71.782
"{'x0': 9.6, 'x1': -0.4, 'x2': 3.1, 'x3': -4.9, 'x4': 6.8, 'x5': 2.7, 'x6': -5.8, 'x7': 1.9, 'x8': -1.3, 'x9': 7.5}",164.14785551899877,105.728
"{'x0': 4.7, 'x1': -6.3, 'x2': 2.4, 'x3': -1.5, 'x4': 7.1, 'x5': -8.1, 'x6': 3.9, 'x7': -2.8, 'x8': 6.5, 'x9': 0.9}",169.15638711099928,83.071
"{'x0': 7.1, 'x1': -4.2, 'x2': 0.2, 'x3': -5.3, 'x4': 6.5, 'x5': -9.6, 'x6': 2.0, 'x7': 1.5, 'x8': -1.8, 'x9': 8.3}",174.186610499999,111.319
"{'x0': 7.0, 'x1': -2.0, 'x2': -1.0, 'x3': 8.0, 'x4': 6.0, 'x5': 3.0, 'x6': 1.0, 'x7': -4.0, 'x8': 0.0, 'x9': 7.0}",196.73722212699977,43.253
"{'x0': 8.5, 'x1': -1.5, 'x2': 1.5, 'x3': 8.5, 'x4': 5.5, 'x5': 3.5, 'x6': 2.5, 'x7': -2.5, 'x8': 0.5, 'x9': 7.5}",201.75953107299935,60.602
"{'x0': 9.0, 'x1': -3.0, 'x2': 1.0, 'x3': 9.0, 'x4': 5.0, 'x5': 4.0, 'x6': 2.0, 'x7': -3.0, 'x8': 0.5, 'x9': 8.0}",206.7628874029997,96.556
"{'x0': 5.0, 'x1': -4.0, 'x2': -8.0, 'x3': 3.0, 'x4': 7.0, 'x5': 2.0, 'x6': 0.0, 'x7': 9.0, 'x8': -4.0, 'x9': -2.0}",211.78560501799984,63.977
"{'x0': 7.2, 'x1': -3.0, 'x2': -0.8, 'x3': 8.0, 'x4': 6.5, 'x5': 2.8, 'x6': 1.2, 'x7': -3.8, 'x8': 0.7, 'x9': 7.0}",234.3176559099993,41.707
"{'x0': 7.7, 'x1': -2.2, 'x2': 0.8, 'x3': 8.0, 'x4': 6.0, 'x5': 2.8, 'x6': 1.8, 'x7': -3.2, 'x8': 0.5, 'x9': 7.0}",239.33068821899903,42.612
"{'x0': 7.0, 'x1': -2.8, 'x2': 0.5, 'x3': 8.2, 'x4': 6.2, 'x5': 2.5, 'x6': 1.5, 'x7': -3.5, 'x8': 0.8, 'x9': 7.2}",244.34313077200025,51.52
"{'x0': 7.3, 'x1': -2.5, 'x2': 0.0, 'x3': 8.5, 'x4': 6.5, 'x5': 2.8, 'x6': 1.2, 'x7': -3.8, 'x8': 0.2, 'x9': 7.5}",249.34734524600023,52.502
"{'x0': 7.8, 'x1': -2.2, 'x2': 0.6, 'x3': 8.0, 'x4': 6.1, 'x5': 2.9, 'x6': 1.7, 'x7': -3.3, 'x8': 0.7, 'x9': 7.2}",273.4915787209993,42.428
