configs,runtime_traj,F1
"{'x0': 0.8335065396377139, 'x1': -1.5332746378899105, 'x2': -7.875984872520374, 'x3': -4.3740459743425415, 'x4': -1.8883561800329485, 'x5': -5.970181552171527, 'x6': -7.865698126453329, 'x7': -0.6082961927620083, 'x8': 6.867651024999351, 'x9': -1.4045689777713122}",5.004458445007913,72.785
"{'x0': -6.3531103159369255, 'x1': -0.4047784748581335, 'x2': -7.232958319999745, 'x3': -1.85137321778768, 'x4': -4.322369517817015, 'x5': -6.165948416345913, 'x6': 9.094164689880138, 'x7': 9.495329144492755, 'x8': 2.660159996784266, 'x9': -5.905543187892608}",10.010021911992226,196.996
"{'x0': -5.3116067542422325, 'x1': 3.804874565743514, 'x2': 1.577525701220072, 'x3': 1.987221787604076, 'x4': 5.414694547738222, 'x5': 6.357225988761243, 'x6': 5.359344495996261, 'x7': 1.5647051433444297, 'x8': 0.9678938368514612, 'x9': -2.5333489342248106}",15.035898650006857,59.824
"{'x0': 1.469723872567899, 'x1': 5.359576878527685, 'x2': -0.1902031020273593, 'x3': 9.589197093828655, 'x4': -2.195300352109757, 'x5': -0.0567742570180751, 'x6': -0.7424649569961019, 'x7': 2.563523495917348, 'x8': -2.4750990595086204, 'x9': 5.699876583778639}",20.04178141101147,81.88
"{'x0': -4.096624431926179, 'x1': 5.417405312285668, 'x2': -7.384097429529321, 'x3': -5.074235668822443, 'x4': 6.468179842947979, 'x5': -3.9470987613651776, 'x6': 3.6073771819547833, 'x7': 1.9104849965528563, 'x8': 0.1157733946399286, 'x9': -8.93788477503804}",25.048383515008027,72.825
"{'x0': -2.5, 'x1': 2.5, 'x2': -2.5, 'x3': 2.5, 'x4': -2.5, 'x5': 2.5, 'x6': -2.5, 'x7': 2.5, 'x8': -2.5, 'x9': 2.5}",38.16952481499175,45.621
"{'x0': -5.0, 'x1': 0.0, 'x2': 5.0, 'x3': -5.0, 'x4': 0.0, 'x5': 5.0, 'x6': -5.0, 'x7': 0.0, 'x8': 5.0, 'x9': -5.0}",43.1839692890062,54.22
"{'x0': 5.0, 'x1': -5.0, 'x2': 0.0, 'x3': 5.0, 'x4': -5.0, 'x5': 0.0, 'x6': 5.0, 'x7': -5.0, 'x8': 0.0, 'x9': 5.0}",48.18826441600686,51.97
"{'x0': -9.0, 'x1': -9.0, 'x2': -9.0, 'x3': -9.0, 'x4': -9.0, 'x5': -9.0, 'x6': -9.0, 'x7': -9.0, 'x8': -9.0, 'x9': -9.0}",53.20798770399415,227.709
"{'x0': -2.0, 'x1': 2.0, 'x2': -2.0, 'x3': 2.0, 'x4': 2.0, 'x5': -2.0, 'x6': 2.0, 'x7': -2.0, 'x8': 2.0, 'x9': -2.0}",70.52216975099873,28.65
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.5, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",75.53605112800142,1.418
"{'x0': -2.0, 'x1': -1.0, 'x2': 1.0, 'x3': 0.2, 'x4': -10.0, 'x5': 10.0, 'x6': -5.5, 'x7': 0.5, 'x8': 8.5, 'x9': -3.5}",80.54651646700222,178.031
"{'x0': -8.0, 'x1': -2.0, 'x2': 5.0, 'x3': 1.0, 'x4': 7.0, 'x5': -3.0, 'x6': 2.0, 'x7': -5.0, 'x8': 8.0, 'x9': -6.0}",85.55281886301236,58.825
"{'x0': -0.5, 'x1': -0.5, 'x2': -0.5, 'x3': -0.1, 'x4': -0.5, 'x5': -0.5, 'x6': -0.5, 'x7': -0.5, 'x8': -0.5, 'x9': -0.5}",106.70256343501389,2.632
"{'x0': -1.0, 'x1': 1.0, 'x2': -1.0, 'x3': 0.3, 'x4': 1.0, 'x5': -0.5, 'x6': -1.0, 'x7': 1.0, 'x8': -1.0, 'x9': 1.0}",111.71647988000768,5.193
"{'x0': 1.0, 'x1': -1.0, 'x2': 0.0, 'x3': 0.1, 'x4': -1.0, 'x5': 0.0, 'x6': 1.0, 'x7': -1.0, 'x8': 0.0, 'x9': 1.0}",116.7311397099984,3.305
"{'x0': -2.0, 'x1': 2.0, 'x2': -2.0, 'x3': 0.01, 'x4': 2.0, 'x5': -1.0, 'x6': -2.0, 'x7': 2.0, 'x8': -2.0, 'x9': 2.0}",121.74121841101442,27.403
"{'x0': -0.1, 'x1': 0.1, 'x2': -0.1, 'x3': 0.01, 'x4': 0.1, 'x5': -0.1, 'x6': -0.1, 'x7': 0.01, 'x8': -0.1, 'x9': 0.1}",150.93394538600114,1.494
"{'x0': -0.1, 'x1': 0.1, 'x2': -0.1, 'x3': 0.01, 'x4': 0.1, 'x5': -0.1, 'x6': -0.1, 'x7': 0.3, 'x8': -0.1, 'x9': 0.1}",155.97053335700184,1.491
"{'x0': -0.1, 'x1': 0.1, 'x2': -0.1, 'x3': 0.05, 'x4': 0.1, 'x5': 0.6, 'x6': -0.1, 'x7': 0.1, 'x8': -0.1, 'x9': 0.1}",160.9915139520017,1.457
"{'x0': 0.5, 'x1': -0.5, 'x2': 0.5, 'x3': 0.1, 'x4': -0.5, 'x5': 0.1, 'x6': 0.5, 'x7': -0.5, 'x8': 0.5, 'x9': -0.5}",165.99565813600202,1.363
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.1, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.3, 'x8': 0.0, 'x9': 0.0}",195.3571086130105,1.442
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.1, 'x3': 0.01, 'x4': -0.1, 'x5': 0.2, 'x6': 0.1, 'x7': 0.3, 'x8': 0.1, 'x9': -0.1}",200.3823471069918,1.394
"{'x0': -0.2, 'x1': 0.0, 'x2': -0.2, 'x3': 0.02, 'x4': 0.0, 'x5': 0.1, 'x6': -0.2, 'x7': 0.25, 'x8': -0.2, 'x9': 0.0}",205.3963393580052,1.609
"{'x0': -0.5, 'x1': 0.5, 'x2': -0.5, 'x3': 0.05, 'x4': 0.5, 'x5': 0.1, 'x6': -0.5, 'x7': 0.8, 'x8': -0.5, 'x9': 0.5}",210.40057388000423,1.95
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.1, 'x3': 0.01, 'x4': -0.1, 'x5': 0.1, 'x6': 0.1, 'x7': 0.26, 'x8': 0.1, 'x9': -0.1}",239.782520896988,1.397
"{'x0': -0.05, 'x1': 0.05, 'x2': -0.05, 'x3': 0.005, 'x4': 0.05, 'x5': 0.05, 'x6': -0.05, 'x7': 0.25, 'x8': -0.05, 'x9': 0.05}",244.8021973569994,1.469
"{'x0': 0.5, 'x1': -0.5, 'x2': 0.0, 'x3': 0.02, 'x4': -0.5, 'x5': 0.4, 'x6': 0.5, 'x7': 0.7, 'x8': 0.0, 'x9': -0.5}",249.82424912700665,1.245
"{'x0': 0.01, 'x1': -0.01, 'x2': 0.01, 'x3': 0.001, 'x4': -0.01, 'x5': 0.01, 'x6': 0.01, 'x7': 0.05, 'x8': 0.01, 'x9': -0.01}",254.8282819279993,1.439
"{'x0': 0.5, 'x1': -0.3, 'x2': 0.1, 'x3': 0.08, 'x4': -0.4, 'x5': 0.2, 'x6': 0.3, 'x7': 0.6, 'x8': 0.1, 'x9': -0.3}",284.84215849699103,1.153
"{'x0': 0.2, 'x1': -0.2, 'x2': 0.2, 'x3': 0.02, 'x4': -0.2, 'x5': 0.2, 'x6': 0.2, 'x7': 0.25, 'x8': 0.2, 'x9': -0.2}",289.8852894830052,1.349
"{'x0': 0.05, 'x1': -0.05, 'x2': 0.05, 'x3': 0.05, 'x4': -0.05, 'x5': 0.05, 'x6': 0.05, 'x7': 0.25, 'x8': 0.05, 'x9': -0.05}",294.8937167839904,1.421
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.2, 'x3': 0.005, 'x4': -0.2, 'x5': 0.25, 'x6': 0.1, 'x7': 0.2, 'x8': 0.01, 'x9': -0.1}",299.91192538800533,1.398
"{'x0': 0.3, 'x1': -0.2, 'x2': 0.1, 'x3': 0.04, 'x4': -0.3, 'x5': 0.8, 'x6': 0.2, 'x7': 0.5, 'x8': 0.1, 'x9': -0.2}",330.35365913499845,1.185
"{'x0': 0.5, 'x1': -0.2, 'x2': 0.1, 'x3': -0.1, 'x4': -0.3, 'x5': 0.05, 'x6': 0.2, 'x7': 0.8, 'x8': 0.01, 'x9': -0.4}",335.3725279849896,1.089
"{'x0': 1.0, 'x1': -0.5, 'x2': 0.2, 'x3': 0.005, 'x4': -0.6, 'x5': 0.25, 'x6': 0.8, 'x7': 0.15, 'x8': 0.3, 'x9': -0.1}",340.37694709398784,1.071
"{'x0': 1.0, 'x1': -1.0, 'x2': 0.0, 'x3': 0.08, 'x4': -0.8, 'x5': 0.9, 'x6': 1.0, 'x7': -0.9, 'x8': 0.0, 'x9': 0.8}",345.38306356800604,2.521
"{'x0': 0.35, 'x1': -0.25, 'x2': 0.15, 'x3': 0.025, 'x4': -0.35, 'x5': 0.15, 'x6': 0.3, 'x7': 0.2, 'x8': 0.1, 'x9': -0.2}",375.965469206014,1.263
"{'x0': 0.4, 'x1': -0.2, 'x2': 0.15, 'x3': 0.03, 'x4': -0.3, 'x5': 0.1, 'x6': 0.18, 'x7': 0.35, 'x8': 0.1, 'x9': -0.25}",380.9928485800047,1.214
"{'x0': 0.7, 'x1': -0.3, 'x2': 0.1, 'x3': 0.02, 'x4': -0.4, 'x5': 0.08, 'x6': 0.25, 'x7': 0.3, 'x8': 0.05, 'x9': -0.35}",385.9987286340038,1.073
"{'x0': 0.9, 'x1': -0.4, 'x2': 0.2, 'x3': 0.01, 'x4': -0.5, 'x5': 0.1, 'x6': 0.4, 'x7': 0.28, 'x8': 0.1, 'x9': -0.4}",391.0043754620128,1.072
"{'x0': 1.0, 'x1': -0.8, 'x2': 0.2, 'x3': 0.5, 'x4': -0.7, 'x5': 0.0, 'x6': 0.6, 'x7': 0.2, 'x8': 0.1, 'x9': -0.4}",421.4403355779941,1.594
"{'x0': 0.45, 'x1': -0.35, 'x2': 0.12, 'x3': 0.022, 'x4': -0.3, 'x5': 0.25, 'x6': 0.38, 'x7': 0.45, 'x8': 0.08, 'x9': -0.25}",426.4771642579872,1.178
"{'x0': 0.6, 'x1': -0.6, 'x2': 0.1, 'x3': 0.015, 'x4': -0.4, 'x5': 0.3, 'x6': 0.4, 'x7': 0.4, 'x8': 0.05, 'x9': -0.5}",431.4851555959904,1.278
"{'x0': 0.6, 'x1': -0.4, 'x2': 0.2, 'x3': 0.02, 'x4': -0.5, 'x5': 0.9, 'x6': 0.3, 'x7': 0.6, 'x8': 0.1, 'x9': -0.3}",436.4942660520028,1.075
"{'x0': 0.5, 'x1': -0.4, 'x2': 0.18, 'x3': 0.02, 'x4': -0.3, 'x5': 0.15, 'x6': 0.25, 'x7': 0.8, 'x8': 0.07, 'x9': -0.3}",467.18413082600455,1.121
"{'x0': 0.75, 'x1': -0.4, 'x2': 0.2, 'x3': 0.018, 'x4': -0.55, 'x5': 0.8, 'x6': 0.4, 'x7': 0.6, 'x8': 0.12, 'x9': -0.3}",472.2018236709992,1.03
"{'x0': 0.25, 'x1': -0.15, 'x2': 0.08, 'x3': 0.008, 'x4': -0.12, 'x5': 0.09, 'x6': 0.12, 'x7': 0.7, 'x8': 0.02, 'x9': -0.1}",477.20580420200713,1.223
"{'x0': 0.6, 'x1': -0.3, 'x2': 0.15, 'x3': 0.015, 'x4': -0.45, 'x5': 0.7, 'x6': 0.35, 'x7': 0.5, 'x8': 0.05, 'x9': -0.25}",482.2096062700148,1.05
"{'x0': 0.65, 'x1': -0.35, 'x2': 0.18, 'x3': 0.02, 'x4': -0.5, 'x5': 0.85, 'x6': 0.3, 'x7': 0.55, 'x8': 0.08, 'x9': -0.3}",513.0765570499934,1.041
"{'x0': 0.8, 'x1': -0.4, 'x2': 0.1, 'x3': 0.01, 'x4': -0.5, 'x5': 0.7, 'x6': 0.01, 'x7': 0.2, 'x8': 0.05, 'x9': -0.2}",518.0990276430093,1.024
"{'x0': 0.65, 'x1': -0.5, 'x2': 0.15, 'x3': 0.012, 'x4': -0.45, 'x5': 0.4, 'x6': 0.3, 'x7': 0.55, 'x8': 0.08, 'x9': -0.35}",523.1048279030074,1.157
"{'x0': 0.4, 'x1': -0.3, 'x2': 0.1, 'x3': 0.015, 'x4': -0.4, 'x5': 0.7, 'x6': 0.2, 'x7': 0.4, 'x8': 0.05, 'x9': -0.2}",528.13737025499,1.179
"{'x0': 0.85, 'x1': -0.48, 'x2': 0.13, 'x3': 0.012, 'x4': -0.55, 'x5': 0.92, 'x6': 0.42, 'x7': 0.7, 'x8': 0.13, 'x9': -0.38}",559.1259414759988,1.007
"{'x0': 0.7, 'x1': -0.38, 'x2': 0.22, 'x3': 0.015, 'x4': -0.5, 'x5': 0.88, 'x6': 0.38, 'x7': 0.65, 'x8': 0.11, 'x9': -0.35}",564.1518831799913,1.002
"{'x0': 0.68, 'x1': -0.36, 'x2': 0.18, 'x3': 0.02, 'x4': -0.5, 'x5': 0.88, 'x6': 0.35, 'x7': 0.65, 'x8': 0.08, 'x9': -0.38}",569.1607098850072,1.014
"{'x0': 0.72, 'x1': -0.38, 'x2': 0.16, 'x3': 0.018, 'x4': -0.48, 'x5': 0.75, 'x6': 0.32, 'x7': 0.58, 'x8': 0.06, 'x9': -0.32}",574.1659583570145,1.011
"{'x0': 0.92, 'x1': -0.48, 'x2': 0.23, 'x3': 0.023, 'x4': -0.6, 'x5': 0.98, 'x6': 0.42, 'x7': 0.7, 'x8': 0.12, 'x9': -0.38}",605.9155827090144,1.03
"{'x0': 0.85, 'x1': -0.45, 'x2': 0.21, 'x3': 0.021, 'x4': -0.58, 'x5': 0.95, 'x6': 0.4, 'x7': 0.68, 'x8': 0.11, 'x9': -0.36}",610.9391730609932,1.017
"{'x0': 0.8, 'x1': -0.42, 'x2': 0.18, 'x3': 0.017, 'x4': -0.53, 'x5': 0.88, 'x6': 0.38, 'x7': 0.68, 'x8': 0.09, 'x9': -0.37}",615.9464824069873,0.989
"{'x0': 0.65, 'x1': -0.45, 'x2': 0.16, 'x3': 0.015, 'x4': -0.5, 'x5': 0.88, 'x6': 0.34, 'x7': 0.6, 'x8': 0.09, 'x9': -0.33}",620.9832925770024,1.07
"{'x0': 0.81, 'x1': -0.42, 'x2': 0.22, 'x3': 0.015, 'x4': -0.53, 'x5': 0.9, 'x6': 0.38, 'x7': 0.68, 'x8': 0.12, 'x9': -0.37}",652.6666191570112,0.983
"{'x0': 0.95, 'x1': -0.5, 'x2': 0.25, 'x3': 0.025, 'x4': -0.65, 'x5': 0.99, 'x6': 0.48, 'x7': 0.74, 'x8': 0.14, 'x9': -0.42}",657.6984771660063,1.078
"{'x0': 0.85, 'x1': -0.44, 'x2': 0.21, 'x3': 0.017, 'x4': -0.56, 'x5': 0.93, 'x6': 0.41, 'x7': 0.69, 'x8': 0.11, 'x9': -0.36}",662.7111657109926,0.993
