configs,runtime_traj,F1
"{'x0': 9.291021601785104, 'x1': 0.0001672234043343, 'x2': 7.7904012789229, 'x3': -3.1677269465778064, 'x4': 1.342882552554185, 'x5': -1.4490807340777998, 'x6': -1.26505473946402, 'x7': 5.531183699942005, 'x8': 0.7120834699531269, 'x9': 9.074844538897334}",1.6941713670003082,75.641
"{'x0': -0.6442503083539961, 'x1': -5.965135474700693, 'x2': 2.8081345042982964, 'x3': -0.3386032889649666, 'x4': 0.1047344003709831, 'x5': -2.262146977628814, 'x6': 5.872749088831542, 'x7': 1.6000835775561324, 'x8': -6.754028029953723, 'x9': 4.015046932143125}",1.705039790000228,95.202
"{'x0': 0.1049218024340792, 'x1': -8.694269912262438, 'x2': -1.4375534480522116, 'x3': -8.069381686787748, 'x4': -7.456800565974451, 'x5': 1.934906179571916, 'x6': -5.4797599879152825, 'x7': -7.861086313800341, 'x8': -5.593875858588806, 'x9': -3.0034742999340143}",1.7017266530001507,96.441
"{'x0': 2.4226766553858976, 'x1': 0.5828418855407804, 'x2': -7.308401093101329, 'x3': 0.2715624253149293, 'x4': -6.311202687061694, 'x5': 5.706702956333469, 'x6': 7.079505852789776, 'x7': -0.1152632523614443, 'x8': 6.93122970714936, 'x9': -8.40709045981878}",1.7008998510009403,105.329
"{'x0': -1.2801019571599248, 'x1': -9.481475363442174, 'x2': 0.9932495575741828, 'x3': -1.293552147634463, 'x4': -1.5926439582502194, 'x5': -3.393303579922517, 'x6': -5.90702731924315, 'x7': 2.385419327013274, 'x8': -4.006906526509537, 'x9': -4.663454497942667}",3.811942415000885,102.994
"{'x0': 3.8546237163246, 'x1': -9.9308886565268, 'x2': 7.542259581387, 'x3': -4.9010815285146, 'x4': -2.2557140514255, 'x5': -9.798194821924, 'x6': 1.3653210178018, 'x7': 7.3911586403847, 'x8': 4.9154455959797, 'x9': 7.485691960901}",3.852263770000718,181.506
"{'x0': -1.2997720390558, 'x1': 8.8742556236684, 'x2': -6.3921496272087, 'x3': 7.5297504663467, 'x4': 3.0329599790275, 'x5': 6.8821306340396, 'x6': -0.9867919236422, 'x7': -7.9533161595464, 'x8': -1.4474297501147, 'x9': -5.1798181049526}",3.8112865410003,96.957
"{'x0': -7.5486927479506, 'x1': -3.3344217389822, 'x2': 2.9534813016653, 'x3': -5.8027182519436, 'x4': 9.7048758529127, 'x5': 3.8096945919096, 'x6': 9.3791441619396, 'x7': -2.1566809900105, 'x8': -9.401513133198, 'x9': -4.5466781035066}",3.876469183000154,208.098
"{'x0': 5.1105655543506, 'x1': 2.8236719220877, 'x2': -1.6083597019315, 'x3': 1.6104047931731, 'x4': -5.4849419370294, 'x5': -1.6987602598965, 'x6': -7.9559173062444, 'x7': 2.5626269169152, 'x8': 6.5805034339428, 'x9': 3.1001780182123}",5.973519148001287,61.853
"{'x0': 8.2605054788291, 'x1': -1.5687337890267, 'x2': -8.3466515131295, 'x3': 4.2036049440503, 'x4': -8.2318619266152, 'x5': -6.806276794523, 'x6': 6.7794429324567, 'x7': -4.9485294520855, 'x8': -6.7607409507036, 'x9': -7.8326136991382}",5.946957558000577,125.686
