configs,runtime_traj,F1
"{'x0': 1.856892364500366, 'x1': 6.885314971620346, 'x2': 7.158912352455136, 'x3': 6.945034775682508, 'x4': 2.471273935719447, 'x5': -2.3123658541460035, 'x6': -4.049307869110555, 'x7': -8.865740453651137, 'x8': -4.546874108397736, 'x9': -0.4466976535730023}",5.006176422997669,59.563
"{'x0': 6.243374575509865, 'x1': -0.4004565524988539, 'x2': -2.144304077983405, 'x3': 6.72157527074755, 'x4': -3.2520767916546323, 'x5': 2.9634374410239435, 'x6': -2.63516920318904, 'x7': 9.143103179060926, 'x8': -7.192984391747097, 'x9': 7.401745167168727}",5.006188522998855,121.285
"{'x0': -0.52783909452579, 'x1': 6.018215039592885, 'x2': 0.4095495910240956, 'x3': 3.577590602379207, 'x4': 4.412653094518335, 'x5': 1.6403958415021425, 'x6': 0.747464588980213, 'x7': 5.172312486447144, 'x8': -7.881847856244157, 'x9': -0.5279916130668525}",5.006199543000548,40.763
"{'x0': -6.2733531334648, 'x1': 4.738363542579162, 'x2': -5.668992911512563, 'x3': -7.295636531890959, 'x4': -3.5171798441357183, 'x5': -7.006502656326337, 'x6': -5.553572234968247, 'x7': -2.2702203774827616, 'x8': 8.051969510588094, 'x9': -1.0010002017754474}",5.006156502997328,163.783
"{'x0': 2.261269157682648, 'x1': 8.046971663479685, 'x2': -8.014392992820522, 'x3': 9.396181354934974, 'x4': 3.062800715958753, 'x5': -6.581808297279097, 'x6': -2.8369566606095, 'x7': 5.013722824369125, 'x8': 2.156613374309355, 'x9': -3.499055419832951}",15.015720603998489,117.132
"{'x0': -9.231491470545306, 'x1': 2.6854811591467005, 'x2': 9.178985372490406, 'x3': 3.0558063401098163, 'x4': 2.701177472071276, 'x5': 9.905991353557752, 'x6': 1.6370065887706868, 'x7': -1.712628235472625, 'x8': -0.5060499542317416, 'x9': 2.4702020226373644}",15.015735093998956,138.428
"{'x0': -3.239847703222165, 'x1': 3.4950464451804137, 'x2': -3.6559651586140784, 'x3': 5.56690964051818, 'x4': 8.99142106901484, 'x5': 3.2505373390008856, 'x6': -9.728567287757803, 'x7': 2.4569219109333886, 'x8': 3.4731926167157887, 'x9': 9.438900049993316}",15.014177388999087,133.371
"{'x0': 7.56386942694354, 'x1': 0.192487534398003, 'x2': -8.885706125967873, 'x3': -0.9768157095814374, 'x4': -9.600246691824823, 'x5': -1.165781575023093, 'x6': 9.59173457625457, 'x7': -2.81111072061357, 'x8': -0.3821293832767445, 'x9': 3.773223656115407}",15.015701623997302,144.769
"{'x0': 7.60951778505191, 'x1': 8.364709327242895, 'x2': -5.663557247449143, 'x3': 1.303777332097507, 'x4': 7.3020512261077, 'x5': 0.1793792133402902, 'x6': 8.334459080389216, 'x7': 8.423152204743996, 'x8': -8.337750147387952, 'x9': -4.445628774379351}",25.0291576899981,76.633
"{'x0': -9.812865902869348, 'x1': 6.846841593354618, 'x2': 2.9434828037511096, 'x3': 6.827722383947087, 'x4': -4.705396714331007, 'x5': -2.043584944827419, 'x6': 1.0564295977514284, 'x7': -6.701190795162317, 'x8': -2.6038381450331998, 'x9': -7.071164745417756}",25.029144129999622,154.512
"{'x0': 1.392368118466134, 'x1': 4.0747455857983255, 'x2': -4.230471259029427, 'x3': -1.3342387603591188, 'x4': 5.1221338773008185, 'x5': -2.0780344915327547, 'x6': 7.92076775018154, 'x7': 2.778421524626257, 'x8': 7.83108874451354, 'x9': 3.6011113892682456}",25.029124639997463,29.587
"{'x0': -1.0160452356325589, 'x1': 9.57141856841434, 'x2': -7.675961807752111, 'x3': 5.340474071174535, 'x4': -1.7635972207031063, 'x5': 3.508781624004719, 'x6': -5.004074486900438, 'x7': -3.735633361080981, 'x8': 9.30832441039854, 'x9': 1.7693017013749888}",25.029169589997764,138.793
"{'x0': 3.1933682413882565, 'x1': 0.6641250783329653, 'x2': -5.389339529873403, 'x3': -2.102614130995417, 'x4': 2.376171291827143, 'x5': -0.5026496918211603, 'x6': -0.5973562148846963, 'x7': 4.321490624572864, 'x8': -4.24017991273439, 'x9': -2.330755499301043}",35.04305036000005,32.446
"{'x0': 4.983396743054493, 'x1': 7.569043805520842, 'x2': -7.942732826131236, 'x3': -8.152522210782037, 'x4': -2.919066758323796, 'x5': 1.036325182665177, 'x6': -9.32749813002336, 'x7': 9.379235305205473, 'x8': -3.5800551725300505, 'x9': -5.574746296324344}",35.04308583999955,130.406
"{'x0': -7.174721901482066, 'x1': -8.054801458736522, 'x2': 9.680844827282929, 'x3': -4.793181448251906, 'x4': 0.7404504275155936, 'x5': -1.0414765625854017, 'x6': -8.008618217783779, 'x7': -2.95376677598934, 'x8': -0.615016520195157, 'x9': 6.822802595711991}",35.043071860000055,111.192
"{'x0': 8.09295488419027, 'x1': -9.248812323437194, 'x2': 0.1663089715778181, 'x3': -6.663049739030007, 'x4': 5.581020392180713, 'x5': 7.298665912049852, 'x6': -1.772065524890909, 'x7': -7.200548290135966, 'x8': -9.335552294676454, 'x9': 9.65149919650387}",35.04126051599815,184.397
"{'x0': -2.534184984334904, 'x1': -1.5984926041877865, 'x2': -8.988237698915256, 'x3': -2.6900778747317933, 'x4': -9.667440525322654, 'x5': -5.385153291864087, 'x6': 5.2982339799371445, 'x7': 8.882470388709091, 'x8': 4.999984975402008, 'x9': -3.2119236110096283}",40.062119139998686,173.934
"{'x0': -0.2090212621781262, 'x1': -3.220297664404434, 'x2': -6.410194781642886, 'x3': -6.58026802633737, 'x4': -0.7309804523103409, 'x5': 7.491459152899932, 'x6': 8.882395018351271, 'x7': 2.165057317080258, 'x8': 1.933108125901061, 'x9': 5.672884906037769}",40.06213281999953,118.47
"{'x0': 0.0005259545860276, 'x1': -8.992598864849125, 'x2': 3.981961494370223, 'x3': 9.847927977772652, 'x4': -4.654749242370436, 'x5': 3.581812312548278, 'x6': 7.285628853724894, 'x7': 5.016884912568632, 'x8': 9.289795355788616, 'x9': 1.0848487016888058}",40.06209727999885,139.056
"{'x0': -5.752190022193828, 'x1': -5.551135512263626, 'x2': -5.625012525264563, 'x3': 1.39147069149476, 'x4': -0.9578192993314864, 'x5': 9.404733661922013, 'x6': 3.610893823855591, 'x7': -8.294088682825988, 'x8': -8.871633345720674, 'x9': -0.2432459128207149}",45.07090062199859,144.348
"{'x0': 7.620091244033496, 'x1': 9.52808773186085, 'x2': 2.353158321917604, 'x3': 0.8499755002079485, 'x4': 7.09227160621429, 'x5': 4.876690906195755, 'x6': -0.4280734876249976, 'x7': 3.541631480541706, 'x8': 2.140901222329033, 'x9': 4.293938724747141}",50.07733755299705,70.647
"{'x0': -0.6100563381765802, 'x1': -0.8797075356426554, 'x2': 8.128361741203424, 'x3': -7.2555915980561085, 'x4': -5.415613538268412, 'x5': 7.631707984211616, 'x6': 8.08849951378463, 'x7': 2.915691970037983, 'x8': -3.506340558670693, 'x9': 0.3942238731655241}",50.07957812599852,67.467
"{'x0': -9.99889286269983, 'x1': -3.7627955863562175, 'x2': -1.4909692409564812, 'x3': 7.706753192191712, 'x4': 3.5975891281353896, 'x5': -0.8774045575427607, 'x6': -0.3318276680249461, 'x7': 5.77478855064073, 'x8': -5.411163310579092, 'x9': 7.605952062300091}",50.07960663599806,129.211
"{'x0': -3.7261521498394057, 'x1': 9.149017113179074, 'x2': -0.564968582143976, 'x3': 4.231676341216277, 'x4': -6.92611389984407, 'x5': 4.608843531335886, 'x6': 2.925288746293697, 'x7': -5.702385264988436, 'x8': -6.27083561021323, 'x9': 6.151605377175748}",55.12769492299776,147.736
"{'x0': 4.9415894027846825, 'x1': 3.496946918573842, 'x2': -4.46212498365818, 'x3': -6.5018225138098495, 'x4': 4.08948516786988, 'x5': -0.7369960001973368, 'x6': 6.808570650708649, 'x7': -5.902684756391086, 'x8': -6.700822638264854, 'x9': -7.50333885019828}",60.13548212399837,134.442
"{'x0': 4.441613248054972, 'x1': -9.390940701167994, 'x2': 4.9398848039900685, 'x3': -8.14807669762973, 'x4': -5.650990145888564, 'x5': 4.9850883412647935, 'x6': 4.633875129293809, 'x7': -9.087707256982272, 'x8': -5.816859410383177, 'x9': -4.261699133987909}",60.13543361399934,160.026
"{'x0': 3.5452661067685387, 'x1': -8.739234206612466, 'x2': 1.1129848554029032, 'x3': -9.815198530269186, 'x4': 6.660761950187816, 'x5': 9.68658868696244, 'x6': 4.069895682694042, 'x7': -6.367375990159026, 'x8': 0.2478692659180748, 'x9': 1.6089427437626025}",60.13546856399989,189.348
"{'x0': 5.750843119100518, 'x1': 2.129509201371514, 'x2': -5.631942903761544, 'x3': -0.8966236961332541, 'x4': 7.577394835549416, 'x5': -0.1546351698968262, 'x6': 4.311223149180796, 'x7': -0.2768087937760466, 'x8': 4.170963000400061, 'x9': -0.0371954898505997}",60.13545508400057,47.972
