configs,runtime_traj,F1
"{'x0': 5.091172464014014, 'x1': 4.429387359627866, 'x2': -3.808005653203387, 'x3': 5.110174876919243, 'x4': -2.7024488760117653, 'x5': -1.0590133524886929, 'x6': -1.1477940105010442, 'x7': 1.7381994168676351, 'x8': 4.459920085053766, 'x9': 3.5462237868648154}",5.007404610001686,228.39
"{'x0': -1.9120791866135027, 'x1': 0.2513731540262025, 'x2': -0.5790423676973395, 'x3': -2.7691293314065866, 'x4': 0.3523984276174543, 'x5': 4.238971131691346, 'x6': -0.4382227662132401, 'x7': -0.7096466720285859, 'x8': 4.496668563697928, 'x9': 2.850705780086103}",5.0074524199990265,179.18
"{'x0': 2.21153808351605, 'x1': 3.100236840318616, 'x2': -4.169719719518843, 'x3': 0.1858821011649434, 'x4': 3.7378073802647895, 'x5': 3.3704643314395293, 'x6': 3.37513840019644, 'x7': -2.323968264020507, 'x8': -4.51334961867199, 'x9': 1.7462071303060016}",5.007426230000419,207.633
"{'x0': 0.9529909073721026, 'x1': 1.7577379576026555, 'x2': -0.9032921193568972, 'x3': -3.0970788046358404, 'x4': -2.154192480810881, 'x5': -3.664689812736441, 'x6': 2.901140200395635, 'x7': -0.895602263009013, 'x8': -4.770085773457009, 'x9': 1.2700670615280982}",5.0074393399991095,122.989
"{'x0': 1.6449098776371498, 'x1': -2.063408181728822, 'x2': -0.5515826576782743, 'x3': -2.845444633237762, 'x4': -4.368750881355781, 'x5': -0.3149974892734146, 'x6': -4.135196053038473, 'x7': 4.130510504743602, 'x8': -3.89641760787746, 'x9': 0.2539456191533622}",10.026418805999128,174.335
"{'x0': -4.263700433438451, 'x1': 4.268660065584419, 'x2': 4.202991429561359, 'x3': -2.058955650972507, 'x4': 0.8641445963563941, 'x5': 0.6749391612333371, 'x6': 1.16672837423161, 'x7': 4.674925124306147, 'x8': -2.447575248736698, 'x9': -2.754402076543089}",10.026430556001287,192.802
"{'x0': 0.3425125437969951, 'x1': 4.60736653857423, 'x2': -0.0710697621018017, 'x3': 0.4157492103541145, 'x4': 2.718567469474518, 'x5': -4.655659739395551, 'x6': -3.686746939476844, 'x7': 2.9942127185512364, 'x8': -4.814834092212293, 'x9': 3.923204872390893}",10.02638850600124,213.238
"{'x0': 0.4176710615138779, 'x1': -0.532682942254918, 'x2': 4.015471329299262, 'x3': -1.253536346612791, 'x4': 0.3934688694270472, 'x5': 1.5595405523306711, 'x6': -1.420687153033001, 'x7': 0.7271276665353472, 'x8': 1.4114455967710864, 'x9': -3.826535577140344}",10.026406135999425,179.906
"{'x0': 1.9476949786126865, 'x1': 1.512953853679079, 'x2': -1.4956637307053882, 'x3': 2.695506459802848, 'x4': -1.4691151507655174, 'x5': 2.588552736518187, 'x6': 3.904940335452273, 'x7': -5.00050745670765, 'x8': -0.0193631270068577, 'x9': -4.364369803257297}",15.501231610000104,194.294
"{'x0': 1.1431366916382046, 'x1': 2.274945514396701, 'x2': -4.839959866668683, 'x3': 3.930924189423144, 'x4': 0.1065490792445942, 'x5': 3.758980710670904, 'x6': 1.8332304827194923, 'x7': 4.319837154826451, 'x8': -2.6861842866536665, 'x9': -0.7529646415783278}",15.503101533999144,164.781
"{'x0': -3.3843850992521167, 'x1': -4.4572052471072645, 'x2': -4.690407827791727, 'x3': 3.1236654199078577, 'x4': -0.3575377462144162, 'x5': 0.4632925850146954, 'x6': 0.9155715124761272, 'x7': -1.1397378412317187, 'x8': 3.1126010712343346, 'x9': 2.7169633043307337}",15.503121503999864,191.709
"{'x0': 3.592973309436565, 'x1': -1.8896181185657257, 'x2': 4.77892524561939, 'x3': 0.3813560671226845, 'x4': -0.1463377425368461, 'x5': 5.016726965254853, 'x6': 3.3685302377746984, 'x7': -5.03668209431223, 'x8': 0.1095235697021026, 'x9': -0.7258190421002704}",15.50313429400194,182.923
"{'x0': 0.2413958790833348, 'x1': 0.9887999595437592, 'x2': 3.8660932971663575, 'x3': -3.692347511078867, 'x4': -3.07257282379782, 'x5': 1.0660704953287097, 'x6': 2.0811657864551583, 'x7': 2.3871120250322955, 'x8': -3.9555624981408473, 'x9': 0.283648045770958}",21.229270788000576,125.531
"{'x0': -3.7522186555593375, 'x1': 2.1824270468944373, 'x2': -4.312968190076074, 'x3': -1.5791053867827451, 'x4': -0.4075038228051202, 'x5': -2.3256247559814485, 'x6': 2.377282566119727, 'x7': 0.9987965427033608, 'x8': -4.889628524982676, 'x9': -2.69526840808771}",21.229289107999648,197.506
"{'x0': -2.580610732551461, 'x1': 4.161835249789662, 'x2': -3.132132134464541, 'x3': -0.8837018718503105, 'x4': -3.2229101624939847, 'x5': -3.868893732854285, 'x6': 4.104496367433311, 'x7': 4.54654325079068, 'x8': -5.088022401252313, 'x9': 0.0739080379205354}",21.22930616799931,188.344
"{'x0': -1.1282710057896377, 'x1': 3.798653455948972, 'x2': 0.0039864087185428, 'x3': -1.5643468542576238, 'x4': -4.637566898193698, 'x5': -5.013562072251768, 'x6': 4.035467818226581, 'x7': 5.100162562949852, 'x8': -3.7689690160690463, 'x9': -2.30180488369959}",21.22929804800151,196.555
"{'x0': 2.7521862797969296, 'x1': -3.6789430509721344, 'x2': 2.698548622596796, 'x3': -2.163995504871348, 'x4': -2.2804369634621837, 'x5': -3.162943121768855, 'x6': 3.4464833171889278, 'x7': 2.591426413333676, 'x8': -2.7687866781918524, 'x9': 3.7647077187740488}",26.703204777000792,203.358
"{'x0': 2.030292156579308, 'x1': 1.9837938912071715, 'x2': 4.314514189198447, 'x3': -2.6678460419823704, 'x4': -0.4415813168141485, 'x5': -3.9654681150570834, 'x6': 1.5871510027852107, 'x7': 4.588457339168248, 'x8': -4.357021655914343, 'x9': -3.180975857045114}",26.70522539200101,210.124
"{'x0': 5.004898518609179, 'x1': -1.649812719639741, 'x2': 2.432124636267834, 'x3': -4.078931406301175, 'x4': -3.4794774032101112, 'x5': 2.0736351709803467, 'x6': 1.4175179237189983, 'x7': 4.7712603224344, 'x8': -2.954640195434706, 'x9': 1.2661666403991214}",26.705261912000424,197.78
"{'x0': 4.158826945298423, 'x1': -5.0036516180977495, 'x2': 3.954880474710591, 'x3': -4.77184143573302, 'x4': -1.6583786782776713, 'x5': 0.2277095814645156, 'x6': 3.605325094838205, 'x7': 3.930588429069689, 'x8': -4.437594179425413, 'x9': -3.26392925793945}",26.70524784200097,228.941
"{'x0': 0.8722670024942083, 'x1': -3.619321653611349, 'x2': -1.48628081456503, 'x3': -2.971280956634128, 'x4': 4.820452785829679, 'x5': 2.8320545701389985, 'x6': -4.749035947054096, 'x7': -0.1920546249098853, 'x8': 2.664535475019877, 'x9': -2.4568135357965675}",32.784065892999934,194.412
"{'x0': 1.273625867767099, 'x1': -4.864355868910504, 'x2': -2.4287518191941286, 'x3': -3.100600321101715, 'x4': -0.6809034404055296, 'x5': 5.049750582873156, 'x6': -0.4579894239305613, 'x7': 3.633699324566504, 'x8': 0.0143946918412698, 'x9': -5.016468986169995}",32.784087792999344,192.295
