configs,runtime_traj,F1
"{'x0': -2.6670015753613883, 'x1': 1.813652189067584, 'x2': 4.599740618429888, 'x3': -1.195917383577164, 'x4': 0.8010066002966383, 'x5': -4.19256115951904, 'x6': 2.9313386273836306, 'x7': -2.7619330211288933, 'x8': -0.1944642278275692, 'x9': 3.3278753804779777}",5.021095508000144,169.164
"{'x0': 4.469062884423885, 'x1': -4.25199989828412, 'x2': 4.897760722366001, 'x3': -0.4693493809655589, 'x4': -4.404259112352786, 'x5': 0.634759871899754, 'x6': -2.9379495119247814, 'x7': -3.640360378654841, 'x8': -1.8560033873534767, 'x9': -1.3280669048914877}",5.021080498998344,231.407
"{'x0': -1.161775406774085, 'x1': -4.279927504762303, 'x2': -0.8480491308733873, 'x3': 0.841776962553273, 'x4': 4.319143289524841, 'x5': 0.147266539474292, 'x6': 2.177169317189043, 'x7': 0.4517937516259804, 'x8': -4.286883948181879, 'x9': -3.4808160272756483}",5.021038498998678,176.129
"{'x0': 3.2575161842213936, 'x1': 1.4961996564331352, 'x2': 4.193329162514215, 'x3': -0.8390145115749092, 'x4': 4.2525805960044805, 'x5': -1.7149457838259194, 'x6': -0.2688049568989274, 'x7': 0.6456956909869662, 'x8': 1.970127451587481, 'x9': 3.693929514830244}",5.02106369899775,175.103
"{'x0': -1.4973398021179651, 'x1': 4.041329173542068, 'x2': 1.2306700289390395, 'x3': 4.141169692571133, 'x4': -0.174854714309661, 'x5': 1.3654420996893917, 'x6': 4.973980556524515, 'x7': -4.22329231925221, 'x8': 1.6615979291309824, 'x9': -2.0275252801228603}",10.047126302000834,167.358
"{'x0': 1.8326220321490725, 'x1': -2.437902429925116, 'x2': -1.2105477519635213, 'x3': 1.4706954202165914, 'x4': 2.716294192237531, 'x5': 0.2309053703835433, 'x6': 4.511208919847609, 'x7': 4.106571318294516, 'x8': -4.327612198863969, 'x9': -2.748417425069239}",10.047153452000202,203.348
"{'x0': 0.340101639036102, 'x1': 3.8668843726274655, 'x2': -0.0525720945195731, 'x3': 3.839127652721266, 'x4': -0.7786505468576799, 'x5': 4.753835800421117, 'x6': 3.068601486946032, 'x7': 0.1342135267189315, 'x8': -1.590524184725829, 'x9': 1.812751258843737}",10.047139851998509,138.974
"{'x0': 0.1245390321627031, 'x1': 4.883604277967291, 'x2': 1.629337113324146, 'x3': 3.1925887862650137, 'x4': -4.453297359426696, 'x5': -3.0745525852267552, 'x6': -1.1233585714112144, 'x7': 2.495125185622907, 'x8': -1.488251462734405, 'x9': 3.3324204467781326}",10.047101591997489,194.041
"{'x0': 3.227389565630472, 'x1': 1.777735964831189, 'x2': 3.4052800432167407, 'x3': 4.835130063488653, 'x4': -0.6375467866045064, 'x5': 5.051349207369657, 'x6': 3.6694209932722304, 'x7': -2.733624847787296, 'x8': 3.906167514027224, 'x9': -5.035643830629069}",15.519647110999358,220.883
"{'x0': 5.1084124497590855, 'x1': 4.718253208857182, 'x2': -0.4538662780906524, 'x3': 1.079901727605295, 'x4': 4.497691418219953, 'x5': 4.629945692895995, 'x6': 1.7260438481070128, 'x7': -4.320547201351409, 'x8': 1.4149825580862467, 'x9': -0.419900266693352}",15.521302564000507,250.253
"{'x0': 0.0659473590600461, 'x1': 4.184142643224914, 'x2': -0.4996525034852741, 'x3': 1.680419176000207, 'x4': 3.5665585356412146, 'x5': 3.634801334843584, 'x6': 2.24252384719884, 'x7': -0.6957824555114875, 'x8': -4.143887994235547, 'x9': -3.0938056458156225}",15.521281713998178,183.968
"{'x0': 3.344333561806585, 'x1': 2.705752221882589, 'x2': -1.5674163853169478, 'x3': 3.0947384197984933, 'x4': -0.2771891760576546, 'x5': 3.540332336349988, 'x6': 4.235915203336799, 'x7': -3.303651850271696, 'x8': 1.1149981223253338, 'x9': 2.346647366763717}",15.521315863999916,199.934
"{'x0': 0.8979466651733663, 'x1': -1.3628869477011891, 'x2': 3.2840241748427674, 'x3': -4.192502417283024, 'x4': 0.969044207186843, 'x5': 4.549523260863055, 'x6': -0.0882193279087104, 'x7': 3.970962202091488, 'x8': 0.6459999468292104, 'x9': 4.177067531386624}",21.41850038099801,166.418
"{'x0': -0.465974347565889, 'x1': 4.6365928234659775, 'x2': 3.427342614299227, 'x3': -2.6174626920253967, 'x4': -1.6671864149390043, 'x5': 4.16280220910767, 'x6': 0.1724727921538669, 'x7': 4.85970555958163, 'x8': -1.5834009783855958, 'x9': 4.0755214387891785}",21.418489810999745,224.354
"{'x0': 0.0638979704019604, 'x1': 4.190303218748922, 'x2': 2.9608407652395448, 'x3': 1.0645112256144174, 'x4': 1.6875190114070735, 'x5': 4.330048119877506, 'x6': -3.2667227283921045, 'x7': 2.4650085084525264, 'x8': 1.6911692288170732, 'x9': 4.098445110863488}",21.4185094309978,168.627
"{'x0': -0.465974347565889, 'x1': 4.6365928234659775, 'x2': 3.427342614299227, 'x3': -2.6174626920253967, 'x4': -1.6671864149390043, 'x5': 4.16280220910767, 'x6': 0.1724727921538669, 'x7': 4.85970555958163, 'x8': -1.5834009783855958, 'x9': 4.0755214387891785}",21.418474190999405,224.354
"{'x0': -4.021301668592789, 'x1': -4.783842633843657, 'x2': 0.2959675752692963, 'x3': 4.107411897922996, 'x4': -1.5262699072889077, 'x5': 4.767382033989732, 'x6': -2.8818899127177806, 'x7': 0.8434807661069241, 'x8': -4.180063132450778, 'x9': 4.725247735851844}",26.859555979997825,206.066
"{'x0': -4.021301668592789, 'x1': -4.783842633843657, 'x2': 0.2959675752692963, 'x3': 4.107411897922996, 'x4': -1.5262699072889077, 'x5': 4.767382033989732, 'x6': -2.8818899127177806, 'x7': 0.8434807661069241, 'x8': -4.180063132450778, 'x9': 4.725247735851844}",26.8595324300004,206.066
"{'x0': -2.994342258577093, 'x1': 2.763658455536276, 'x2': 0.42963111635905, 'x3': 3.6516436811763056, 'x4': -2.7053307682690138, 'x5': 4.287671531651083, 'x6': -4.188660472980281, 'x7': -4.785262180151321, 'x8': 4.461963719815496, 'x9': 0.1485605807844034}",26.85559439699864,223.105
"{'x0': -4.021301668592789, 'x1': -4.783842633843657, 'x2': 0.2959675752692963, 'x3': 4.107411897922996, 'x4': -1.5262699072889077, 'x5': 4.767382033989732, 'x6': -2.8818899127177806, 'x7': 0.8434807661069241, 'x8': -4.180063132450778, 'x9': 4.725247735851844}",26.8595676799996,206.066
"{'x0': -1.8136344152840445, 'x1': -1.78199086320457, 'x2': -1.6825826268174522, 'x3': -1.3746381408647983, 'x4': -0.4835403751430309, 'x5': 4.882914131696274, 'x6': -4.517408796668607, 'x7': -0.6469349375192515, 'x8': 0.4451319153997612, 'x9': 3.951517714220095}",32.84705335399849,195.554
