configs,runtime_traj,F1
"{'x0': -4.871454527579694, 'x1': -4.306754182020484, 'x2': -0.2881664767422967, 'x3': 3.358894571769242, 'x4': 0.182583613352147, 'x5': -2.8261403708665807, 'x6': 3.0506077183760167, 'x7': 4.504701935932824, 'x8': -2.1887847260539024, 'x9': -2.995208476313716}",5.001834680999309,188.336
"{'x0': -1.901566638293791, 'x1': -3.337378833164136, 'x2': -3.910837582512512, 'x3': 4.55390579333896, 'x4': 3.0691782280489166, 'x5': -3.6397436520590314, 'x6': 3.1678576591203926, 'x7': 2.2017762252018214, 'x8': -3.279932878014747, 'x9': -4.86587921276108}",10.005782902000648,205.416
"{'x0': 1.0970901990696025, 'x1': -1.2878059618772726, 'x2': -3.426458706224936, 'x3': 3.0341824221451104, 'x4': -3.3301661715340494, 'x5': -0.4495485705015412, 'x6': 4.697570993282501, 'x7': -4.142746164146272, 'x8': -2.658105672251717, 'x9': 1.853309179558888}",15.013682133001566,188.905
"{'x0': 4.3699519402357305, 'x1': 4.723015722477945, 'x2': -1.280816930832326, 'x3': 2.115398951222564, 'x4': 4.141634697429761, 'x5': 0.1222147086881957, 'x6': 1.0336801406233471, 'x7': -3.7190117001622296, 'x8': -4.52178592257413, 'x9': 1.119394548066616}",20.027314909999404,185.516
"{'x0': -4.2511033014249735, 'x1': 0.9591547760556568, 'x2': 1.406874299075915, 'x3': 2.7843423566125605, 'x4': -0.5887803148487469, 'x5': -1.4834512243860072, 'x6': 1.5305499122324475, 'x7': 3.695040557380838, 'x8': -5.010096957500386, 'x9': 5.022780583992671}",25.040746794998995,205.942
"{'x0': 3.14159, 'x1': -2.71828, 'x2': 1.61803, 'x3': -1.41421, 'x4': 0.57735, 'x5': -0.69314, 'x6': 0.3183, 'x7': -0.7071, 'x8': 0.91023, 'x9': -0.44721}",50.91620159800004,156.126
"{'x0': 0.1, 'x1': -0.2, 'x2': 0.3, 'x3': -0.4, 'x4': 0.5, 'x5': -0.6, 'x6': 0.7, 'x7': -0.8, 'x8': 0.9, 'x9': -1.0}",55.92452235100063,103.85
"{'x0': -0.1, 'x1': 0.2, 'x2': -0.3, 'x3': 0.4, 'x4': -0.5, 'x5': 0.6, 'x6': -0.7, 'x7': 0.8, 'x8': -0.9, 'x9': 1.0}",60.93187361599848,103.85
"{'x0': -3.14159, 'x1': 2.71828, 'x2': -1.61803, 'x3': 1.41421, 'x4': -0.57735, 'x5': 0.69314, 'x6': -0.3183, 'x7': 0.7071, 'x8': -0.91023, 'x9': 0.44721}",65.93497513599868,156.126
"{'x0': -1.0, 'x1': -1.0, 'x2': -1.0, 'x3': -1.0, 'x4': -1.0, 'x5': -1.0, 'x6': -1.0, 'x7': -1.0, 'x8': -1.0, 'x9': -1.0}",89.33013984300123,10.0
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",94.33891890599988,0.0
"{'x0': 0.5, 'x1': -0.5, 'x2': 0.5, 'x3': -0.5, 'x4': 0.5, 'x5': -0.5, 'x6': 0.5, 'x7': -0.5, 'x8': 0.5, 'x9': -0.5}",99.34342870000182,202.5
"{'x0': 1.0, 'x1': 1.0, 'x2': 1.0, 'x3': 1.0, 'x4': 1.0, 'x5': 1.0, 'x6': 1.0, 'x7': 1.0, 'x8': 1.0, 'x9': 1.0}",104.352872165,10.0
"{'x0': 0.7, 'x1': -0.3, 'x2': 1.1, 'x3': -0.2, 'x4': 0.4, 'x5': -0.9, 'x6': 0.8, 'x7': -0.5, 'x8': 0.9, 'x9': -0.1}",132.76781815399954,90.239
"{'x0': 0.8, 'x1': -0.4, 'x2': 1.2, 'x3': -0.3, 'x4': 0.7, 'x5': -0.6, 'x6': 0.9, 'x7': -0.6, 'x8': 1.1, 'x9': -0.2}",137.77862694299984,110.6
"{'x0': 0.2, 'x1': -0.5, 'x2': 0.9, 'x3': -0.1, 'x4': 0.3, 'x5': -0.7, 'x6': 0.6, 'x7': -0.4, 'x8': 0.8, 'x9': -0.2}",142.7825389460013,109.8
"{'x0': 0.5, 'x1': -0.2, 'x2': 1.0, 'x3': -0.1, 'x4': 0.6, 'x5': -0.8, 'x6': 0.7, 'x7': -0.4, 'x8': 1.0, 'x9': -0.3}",147.7860579799999,102.13
"{'x0': 0.01, 'x1': -0.01, 'x2': 0.02, 'x3': -0.02, 'x4': 0.03, 'x5': -0.03, 'x6': 0.04, 'x7': -0.04, 'x8': 0.05, 'x9': -0.05}",171.7024706500015,2.17
"{'x0': -0.01, 'x1': 0.01, 'x2': -0.02, 'x3': 0.02, 'x4': -0.03, 'x5': 0.03, 'x6': -0.04, 'x7': 0.04, 'x8': -0.05, 'x9': 0.05}",176.71503908199884,2.17
"{'x0': -4.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': 0.0, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",181.7308723850001,16.0
"{'x0': 1.0, 'x1': -1.0, 'x2': 1.0, 'x3': -1.0, 'x4': 1.0, 'x5': -1.0, 'x6': 1.0, 'x7': -1.0, 'x8': 1.0, 'x9': -1.0}",186.7398605380004,10.0
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.05, 'x3': -0.05, 'x4': 0.02, 'x5': -0.02, 'x6': 0.01, 'x7': -0.01, 'x8': 0.0, 'x9': 0.0}",209.63060966299963,5.022
