configs,runtime_traj,F1
"{'x0': 4.757003060113973, 'x1': 8.561838301979208e-05, 'x2': 3.988685454808525, 'x3': -1.621876196647837, 'x4': 0.6875558669077426, 'x5': -0.7419293358478329, 'x6': -0.6477080266055779, 'x7': 2.831966054370307, 'x8': 0.3645867366160011, 'x9': 4.646320403915435}",0.5755477650000103,177.203
"{'x0': -0.3298561578772458, 'x1': -3.054149363046755, 'x2': 1.4377648662007276, 'x3': -0.1733648839500627, 'x4': 0.0536240129899434, 'x5': -1.158219252545953, 'x6': 3.006847533481749, 'x7': 0.8192427917087404, 'x8': -3.458062351336306, 'x9': 2.05570402925728}",0.5751206789991556,109.937
"{'x0': 0.0537199628462481, 'x1': -4.4514661950783685, 'x2': -0.7360273654027321, 'x3': -4.131523423635327, 'x4': -3.817881889778919, 'x5': 0.9906719639408212, 'x6': -2.8056371138126246, 'x7': -4.024876192665775, 'x8': -2.8640644395974686, 'x9': -1.5377788415662157}",0.5755554949992074,157.558
"{'x0': 1.24041044755758, 'x1': 0.2984150453968803, 'x2': -3.7419013596678807, 'x3': 0.1390399617612434, 'x4': -3.2313357757755874, 'x5': 2.9218319136427366, 'x6': 3.624706996628365, 'x7': -0.059014785209059, 'x8': 3.548789610060472, 'x9': -4.304430315427216}",0.567616824999277,176.036
"{'x0': -0.6554122020658815, 'x1': -4.854515386082393, 'x2': 0.5085437734779816, 'x3': -0.6622986995888445, 'x4': -0.8154337066241126, 'x5': -1.737371432920329, 'x6': -3.0243979874524927, 'x7': 1.2213346954307962, 'x8': -2.051536141572883, 'x9': -2.3876887029466456}",1.2732268489999117,146.894
"{'x0': 1.9735673427582, 'x1': -5.0846149921417, 'x2': 3.8616369056702, 'x3': -2.5093537425995, 'x4': -1.1549255943298, 'x5': -5.0166757488251, 'x6': 0.6990443611145, 'x7': 3.784273223877, 'x8': 2.5167081451416, 'x9': 3.8326742839813}",1.3361961650007288,188.76
"{'x0': -0.6654832839966, 'x1': 4.5436188793182, 'x2': -3.2727806091309, 'x3': 3.8552322387695, 'x4': 1.5528755092621, 'x5': 3.5236508846283, 'x6': -0.5052374649048, 'x7': -4.0720978736877, 'x8': -0.7410840320587, 'x9': -2.6520668697357}",1.3597425280004245,222.564
"{'x0': -3.8649306869507, 'x1': -1.7072239303589, 'x2': 1.5121824264526, 'x3': -2.9709917449951, 'x4': 4.9688964366913, 'x5': 1.9505636310577, 'x6': 4.8021218109131, 'x7': -1.1042206668854, 'x8': -4.8135747241974, 'x9': -2.3278991889954}",1.3733505780000996,176.845
"{'x0': 2.6166095638275, 'x1': 1.4457200241089, 'x2': -0.8234801673889, 'x3': 0.8245272541046, 'x4': -2.808290271759, 'x5': -0.869765253067, 'x6': -4.0734296607971, 'x7': 1.3120649814606, 'x8': 3.3692177581787, 'x9': 1.5872911453247}",1.9194893969997795,158.787
"{'x0': 4.2293788051605, 'x1': -0.8031916999817, 'x2': -4.2734855747223, 'x3': 2.1522457313538, 'x4': -4.214713306427, 'x5': -3.4848137187958, 'x6': 3.4710747814178, 'x7': -2.5336470794678, 'x8': -3.4614993667603, 'x9': -4.0102982139587}",2.1291936239995266,236.1
"{'x0': -2.8915266799927, 'x1': 1.0648128318787, 'x2': 3.6621854114532, 'x3': -4.2832804965973, 'x4': 3.3330929088593, 'x5': 4.5754949092865, 'x6': -3.0047703075409, 'x7': 0.1602168083191, 'x8': 4.9158631801605, 'x9': 4.8746577453613}",2.2114441609992355,203.499
"{'x0': -2.2583379745483, 'x1': -2.6262303829193, 'x2': -1.902773809433, 'x3': 2.6081021785736, 'x4': 0.3889475917816, 'x5': 1.0687379169464, 'x6': 2.5479045200348, 'x7': 4.8936018276215, 'x8': 0.6483734035492, 'x9': 0.0653876399994}",2.237280593999458,158.783
