configs,runtime_traj,F1
"{'x0': 2.0364689856056053, 'x1': 1.7717549438511466, 'x2': -1.5232022612813547, 'x3': 2.044069950767697, 'x4': -1.080979550404706, 'x5': -0.423605340995477, 'x6': -0.4591176042004177, 'x7': 0.695279766747054}",5.018271482000273,5846.886
"{'x0': 1.7839680340215065, 'x1': 1.418489514745926, 'x2': -0.7648316746454011, 'x3': 0.1005492616104812, 'x4': -0.231616947078936, 'x5': -1.1076517325626347, 'x6': 0.1409593710469816, 'x7': 1.695588452676538}",5.018231352001749,1656.639
"{'x0': -0.1752891064852961, 'x1': -0.2838586688114342, 'x2': 1.798667425479171, 'x3': 1.140282312034441, 'x4': 0.8846152334064201, 'x5': 1.2400947361274466, 'x6': -1.6678878878075376, 'x7': 0.0743528404659774}",5.018261141998664,2553.756
"{'x0': 1.4951229521059155, 'x1': 1.348185732575812, 'x2': 1.350055360078576, 'x3': -0.9295873056082028, 'x4': -1.805339847468796, 'x5': 0.6984828521224009, 'x6': 0.3811963629488408, 'x7': 0.7030951830410621}",5.018249492000905,2271.223
"{'x0': -0.3613168477427588, 'x1': -1.2388315218543362, 'x2': -0.8616769923243524, 'x3': -1.4658759250945763, 'x4': 1.1604560801582535, 'x5': -0.3582409052036051, 'x6': -1.9080343093828036, 'x7': 0.5080268246112389}",10.028382693999449,3060.538
"{'x0': 0.6579639510548598, 'x1': -0.825363272691529, 'x2': -0.2206330630713096, 'x3': -1.1381778532951048, 'x4': -1.7475003525423125, 'x5': -0.1259989957093656, 'x6': -1.654078421215389, 'x7': 1.6522042018974408}",10.028369824001857,2739.266
"{'x0': -1.558567043150984, 'x1': 0.1015782476613447, 'x2': -1.7054801733753808, 'x3': 1.707464026233768, 'x4': 1.6811965718245436, 'x5': -0.8235822603890028, 'x6': 0.3456578385425577, 'x7': 0.2699756644933351}",10.030420989001868,2497.742
"{'x0': 0.4666913496926441, 'x1': 1.869970049722459, 'x2': -0.9790300994946792, 'x3': -1.1017608306172355, 'x4': 0.1370050175187982, 'x5': 1.842946615429692, 'x6': -0.0284279048407207, 'x7': 0.1662996841416455}",10.028350084001431,4337.063
"{'x0': 1.0874269877898075, 'x1': -1.8622638957582205, 'x2': -1.4746987757907375, 'x3': 1.1976850874204945, 'x4': -1.9259336368849167, 'x5': 1.5692819489563572, 'x6': 0.1670684246055511, 'x7': -0.2130731769019671}",15.928411294000398,5609.442
"{'x0': 1.263091244982422, 'x1': -0.8751594890316214, 'x2': 1.7772560924932614, 'x3': -1.8893711319679205, 'x4': 1.0790025682776734, 'x5': -1.3161970030861123, 'x6': 1.245257639374917, 'x7': -1.1803910983679793}",15.929788486999314,5284.084
"{'x0': -0.1254464648116482, 'x1': -1.6970458968158642, 'x2': -1.6946834498250305, 'x3': 1.40500757801793, 'x4': 0.3614648688070407, 'x5': 1.540727104627098, 'x6': -1.124779325388443, 'x7': 2.031432608420504}",15.929804727002193,4364.104
"{'x0': -1.9739375978750888, 'x1': 1.064044171166679, 'x2': -1.047006600403933, 'x3': -0.8393980773575505, 'x4': 1.2196112887924002, 'x5': -1.531107157549291, 'x6': -1.2994325118200154, 'x7': 0.0709950740532221}",15.929815577001136,4206.963
"{'x0': -0.8982834572114615, 'x1': 0.3098677778522503, 'x2': 1.2510433429561516, 'x3': 1.916996281120888, 'x4': 0.4698197243319191, 'x5': -0.6398729684313589, 'x6': 1.3691243178545007, 'x7': 0.350314516533428}",21.728488041000677,1604.302
"{'x0': 1.084689785022983, 'x1': 2.009880184165721, 'x2': -0.2039947026608997, 'x3': 1.2461541150473203, 'x4': 0.2549883326381574, 'x5': -0.7111193390101052, 'x6': 0.9167522004979318, 'x7': -1.9673321418981984}",21.728514151000127,3055.337
"{'x0': -0.9756591269362312, 'x1': 1.732631365370637, 'x2': 0.3412184299228582, 'x3': 1.2091158387188714, 'x4': -0.4693289613760512, 'x5': -0.5915074403358227, 'x6': 1.0223364089688247, 'x7': 0.5263069804651961}",21.728504471000637,1408.969
"{'x0': 0.9526062991373888, 'x1': 1.512302450998146, 'x2': 0.2435247197110062, 'x3': 1.0287517963595365, 'x4': -1.975632254120016, 'x5': -1.3235391241315573, 'x6': 1.229015912447227, 'x7': 0.5289951080736648}",21.72852357100055,4339.262
"{'x0': -0.5342697536831043, 'x1': 1.5239067249997986, 'x2': 0.5857242932710185, 'x3': -1.182847332996997, 'x4': -1.004161741920533, 'x5': -0.817629694292431, 'x6': 1.1441851530049574, 'x7': 0.6071038236066446}",27.34898356800113,1685.606
"{'x0': -0.954912495950337, 'x1': 2.0475818791479323, 'x2': 0.7244716808030196, 'x3': -0.2247238042225043, 'x4': -1.5662534474960044, 'x5': 1.1350532802822415, 'x6': 0.427531573607526, 'x7': 1.411575157351685}",27.35082887200042,2061.607
"{'x0': 0.5340711414388273, 'x1': 1.621103841527895, 'x2': 1.5054083572187693, 'x3': 0.6767356137755458, 'x4': -0.7591728444263481, 'x5': -1.496715885069131, 'x6': 1.1631225930729383, 'x7': 1.6075650786978335}",27.35084599200127,1267.836
"{'x0': 1.7018997669603635, 'x1': 1.546623105811196, 'x2': 1.2131830321991597, 'x3': 1.9308090833187044, 'x4': -1.8334825453558323, 'x5': 0.353032204117961, 'x6': -1.0792524447031042, 'x7': 0.9072994309088456}",27.350857921999705,4506.501
"{'x0': 0.1843222006332707, 'x1': 1.7393998009866856, 'x2': 1.0275432249638277, 'x3': 0.0776149093953217, 'x4': 1.5885195192713812, 'x5': -1.6240018012681594, 'x6': 1.117883362432496, 'x7': 0.8355954331773083}",33.10957043999952,3013.589
"{'x0': -1.8059711325292649, 'x1': 1.705085418203702, 'x2': 1.6260475938528645, 'x3': 0.663021856798371, 'x4': 1.040814782346002, 'x5': -0.7649671891503107, 'x6': 1.5221595017271117, 'x7': 1.7977515533827364}",33.10959251999884,1303.629
"{'x0': -1.2662660046698415, 'x1': 1.5221379367838468, 'x2': -1.0733239450472638, 'x3': -1.5184989778106353, 'x4': 0.0824937486630612, 'x5': -1.932868185972628, 'x6': 1.4573757756615562, 'x7': 1.682859259324466}",33.10961553000016,3298.116
"{'x0': -1.3320005200671112, 'x1': 1.9647168975453777, 'x2': -1.9821976356777609, 'x3': -0.5850258089370259, 'x4': 0.4910852383992288, 'x5': -1.4632766940382609, 'x6': 1.276658070522044, 'x7': 0.6774932373269946}",33.10960417000024,5936.971
"{'x0': -0.263477501645831, 'x1': -0.821946398156139, 'x2': 1.4215259337362047, 'x3': 2.044870093522163, 'x4': 0.0532770911838507, 'x5': -0.7791914421356319, 'x6': 1.194215542250599, 'x7': 1.6130370252862236}",38.74433126599979,1948.771
"{'x0': 0.1586792642485122, 'x1': 1.1057279576128511, 'x2': 0.794122902813335, 'x3': 0.2177881577326581, 'x4': -0.3886950905815383, 'x5': -0.7351099683505677, 'x6': 1.6555038589165587, 'x7': 1.715082307362115}",38.7465907299993,485.998
