configs,runtime_traj,F1
"{'x0': 0.1093806512840718, 'x1': -0.3011647338627767, 'x2': 0.2618407415201877, 'x3': -1.6522607895539387, 'x4': 0.8422975584393826, 'x5': -0.1354812115326389, 'x6': 0.48117726457457, 'x7': -0.8751453147483277}",5.013929234002717,892.122
"{'x0': 0.8781103962060532, 'x1': -0.9452820840863188, 'x2': 2.036540548225393, 'x3': 0.5857136558538323, 'x4': 1.9436739385688135, 'x5': 0.4789809096270403, 'x6': -1.6766036511697144, 'x7': 1.5208372459584196}",5.013906034000684,3581.439
"{'x0': 0.5271811183335986, 'x1': -1.4677305004205468, 'x2': -1.2354234104051065, 'x3': -0.7304658756876721, 'x4': 1.096607824909425, 'x5': -1.6675527368504612, 'x6': -0.4929618038603771, 'x7': -1.1530001329636472}",5.013942624002084,4108.692
"{'x0': 1.3882862226350796, 'x1': -1.3180287799193031, 'x2': 1.2206398592116834, 'x3': 0.559873513438748, 'x4': -0.0457793906620986, 'x5': 0.913251367322394, 'x6': -1.1328604089001424, 'x7': 1.5370565163553451}",5.014129893002973,1667.074
"{'x0': -0.6504412359595895, 'x1': -1.4811690818203016, 'x2': 0.1067060018409469, 'x3': -0.4408592980279031, 'x4': 1.1603046405743842, 'x5': 1.3917666242142417, 'x6': 0.3061231709520666, 'x7': -0.1763318614993896}",10.034075105002556,1197.889
"{'x0': 0.6230190112064027, 'x1': -1.740395087859779, 'x2': 1.9659403226703465, 'x3': 0.5911165922590049, 'x4': -1.085382353690617, 'x5': 1.7492555440773754, 'x6': -0.6535826367132131, 'x7': 0.8588276755211446}",10.034096164999935,3290.369
"{'x0': 0.6768783908726403, 'x1': -0.9159694225767308, 'x2': -0.5055439559981423, 'x3': 0.3184432308529885, 'x4': -0.1528205749880327, 'x5': 0.7105817143718092, 'x6': 0.0012525525009943, 'x7': 0.7965990173292923}",10.034107895000488,521.433
"{'x0': 0.1835150790867632, 'x1': 1.9427268530019035, 'x2': -1.8503033425436877, 'x3': 0.2195544384029668, 'x4': 0.7626047193718897, 'x5': -1.841635332447558, 'x6': 1.1595298350499847, 'x7': -1.6726914221846865}",10.034118585001124,6619.788
"{'x0': 0.5585987093473856, 'x1': -0.351640852419397, 'x2': -0.7980681252185213, 'x3': -0.4039002347879887, 'x4': -0.4033812180619585, 'x5': 0.9422461847195956, 'x6': 0.3501984160004645, 'x7': 0.0607730499533736}",15.513640843000758,369.101
"{'x0': 1.6012263480539497, 'x1': -0.6813851963240114, 'x2': 0.2424872354553517, 'x3': -1.0448001906042974, 'x4': -1.9923233527221405, 'x5': 1.113493945678084, 'x6': 0.5389500843420345, 'x7': 0.1016173321156088}",15.513660953001818,3016.391
"{'x0': 0.8621497605141113, 'x1': -0.487575830735514, 'x2': -0.2923425660189709, 'x3': -0.9538165240132476, 'x4': -0.5230418097975511, 'x5': -0.7193369230358899, 'x6': 0.1621445525855178, 'x7': -0.7678543256026973}",15.511920981000005,680.883
"{'x0': 1.2453113516341965, 'x1': -0.3251671602505948, 'x2': -0.366917645837048, 'x3': -0.2730204845880426, 'x4': -1.90601167423194, 'x5': -0.6600044712499249, 'x6': 0.4184633125982393, 'x7': -0.4491858621555984}",15.513673743000254,2681.876
"{'x0': -1.8545200250895355, 'x1': 1.313597596830645, 'x2': -0.8316335703246491, 'x3': -1.9156916075113728, 'x4': 0.7275219584706427, 'x5': 0.0366047074101123, 'x6': 0.0242819937818117, 'x7': 0.4205183629560909}",21.22474310100006,2715.316
"{'x0': -1.8545200250895355, 'x1': 1.313597596830645, 'x2': -0.8316335703246491, 'x3': -1.9156916075113728, 'x4': 0.7275219584706427, 'x5': 0.0366047074101123, 'x6': 0.0242819937818117, 'x7': 0.4205183629560909}",21.224761481000314,2715.316
"{'x0': -1.8545200250895355, 'x1': 1.313597596830645, 'x2': -0.8316335703246491, 'x3': -1.9156916075113728, 'x4': 0.7275219584706427, 'x5': 0.0366047074101123, 'x6': 0.0242819937818117, 'x7': 0.4205183629560909}",21.22478184100328,2715.316
"{'x0': -1.8545200250895355, 'x1': 1.313597596830645, 'x2': -0.8316335703246491, 'x3': -1.9156916075113728, 'x4': 0.7275219584706427, 'x5': 0.0366047074101123, 'x6': 0.0242819937818117, 'x7': 0.4205183629560909}",21.22477265100315,2715.316
"{'x0': 1.1904944040882608, 'x1': 1.1008794064105718, 'x2': -0.6667815487245412, 'x3': -0.3860490347794025, 'x4': -0.1213914412413563, 'x5': -1.102154592058883, 'x6': -1.1136734532742298, 'x7': -1.0698264885078652}",26.79422863900254,1654.72
"{'x0': 0.6260539804652319, 'x1': 1.2557132310681167, 'x2': -0.7084054580399548, 'x3': -0.9389487118444308, 'x4': -0.6830826846964255, 'x5': -1.490036937273565, 'x6': -0.313720948593164, 'x7': 1.2408962582637582}",26.79420015900177,2222.343
