configs,runtime_traj,F1
"{'x0': -0.1796082392410172, 'x1': 0.2803054545659842, 'x2': -1.9710369774126892, 'x3': 0.4818349960227923, 'x4': 0.459144080271038, 'x5': 0.4789616511990044, 'x6': 1.8175921295959008, 'x7': 0.7447359451278679}",0.6566341280013148,2516.0
"{'x0': -1.5635479516408497, 'x1': 0.5731165033575376, 'x2': -1.460824934772546, 'x3': 1.821363884235096, 'x4': 0.0894907258882935, 'x5': -0.3495446937988153, 'x6': -0.964380212819448, 'x7': 1.1232611919225517}",0.6603890530004719,1876.697
"{'x0': -1.9651854440844256, 'x1': 1.362410887364354, 'x2': 1.1393300518905876, 'x3': 1.5155697592189714, 'x4': 1.960420729785401, 'x5': 1.2253534790316998, 'x6': -0.1577805322119911, 'x7': 1.1490475060693215}",0.6560010640005203,1790.763
"{'x0': 1.899162667012216, 'x1': -0.4774235388896146, 'x2': 1.194905755986594, 'x3': 0.1183535913078968, 'x4': 0.2787105222407469, 'x5': 1.7432438304467397, 'x6': -1.757036305621455, 'x7': -1.6911183884224892}",0.6621915160012577,6813.28
"{'x0': 0.1999401120863222, 'x1': 0.8814156446614301, 'x2': 0.4209187883894532, 'x3': 0.1838415175552894, 'x4': -0.3127099419078463, 'x5': 0.5975822871210235, 'x6': -0.2556427826680114, 'x7': 1.6047022112033988}",1.3326723680002033,400.087
"{'x0': 0.2997998466492, 'x1': -1.7233762321472, 'x2': -1.8375728607178, 'x3': -1.6535863838196, 'x4': -1.437625289917, 'x5': 1.5417783622742, 'x6': 1.7777300376892, 'x7': -1.8549040107727}",1.328072731001157,9519.554
"{'x0': -1.4094817466736, 'x1': 1.2753444671631, 'x2': 1.6270467376709, 'x3': 0.3456673126221, 'x4': 1.4880609016418, 'x5': -1.2671695785522, 'x6': -1.5541932411194, 'x7': 1.5734763069153}",1.3298827940016054,3067.729
"{'x0': -0.4943347129822, 'x1': -0.7414163513184, 'x2': -0.6828061485291, 'x3': -0.5306308898926, 'x4': 0.1240373878479, 'x5': -0.0028874320984, 'x6': 0.8256079559326, 'x7': 0.652288848877}",1.330695537000793,431.462
"{'x0': 1.348883769989, 'x1': 0.1653238868713, 'x2': 0.9883400611877, 'x3': 1.3426144065857, 'x4': -0.0496488037109, 'x5': 0.7560586700439, 'x6': -0.986063369751, 'x7': -0.9198415603638}",1.9890773050010464,1385.947
"{'x0': 1.6178792991638, 'x1': -0.3629173545837, 'x2': 1.438144908905, 'x3': 1.5948860473633, 'x4': -0.9693379898071, 'x5': 1.2912462463379, 'x6': 0.3580594215393, 'x7': 0.1730056381226}",2.017746546000126,2506.652
"{'x0': -0.7633380241394, 'x1': 0.8108228759766, 'x2': -1.2567354927063, 'x3': -0.2788676185608, 'x4': 0.9009727134705, 'x5': -2.0458247337341, 'x6': -0.3895182762146, 'x7': -0.4386248168945}",2.026787451000928,3750.189
