configs,runtime_traj,F1
"{'x0': 0.899022335340077, 'x1': 0.6611574310165306, 'x2': 0.1826888800191003, 'x3': 0.6934985315164318, 'x4': 0.3993995388102191, 'x5': 0.8595565843981704}",5.001625197000976,-0.037
"{'x0': 0.659121032793394, 'x1': 0.2452015282198412, 'x2': 0.7734519807053054, 'x3': 0.5622877660303789, 'x4': 0.5924872990221507, 'x5': 0.311852665266634}",10.005650766001054,-0.072
"{'x0': 0.1774899339923753, 'x1': 0.6822543224400456, 'x2': 0.4293795199279219, 'x3': 0.6494733984665052, 'x4': 0.7896275103162401, 'x5': 0.950012621915612}",15.009493550000116,-0.032
"{'x0': 0.5667607731759474, 'x1': 0.6950827799111197, 'x2': 0.7611813884280911, 'x3': 0.55128860749102, 'x4': 0.1658539295882232, 'x5': 0.5713312999542568}",20.017796264000932,-0.26
"{'x0': 0.9286421114521564, 'x1': 0.3421044284427443, 'x2': 0.7106202518097565, 'x3': 0.9777784061711754, 'x4': 0.638067626305754, 'x5': 0.6547390397107349}",25.04350020399943,-0.016
"{'x0': 0.05, 'x1': 0.05, 'x2': 0.05, 'x3': 0.05, 'x4': 0.05, 'x5': 0.05}",41.98705897299988,-0.021
"{'x0': 0.1, 'x1': 0.2, 'x2': 0.3, 'x3': 0.4, 'x4': 0.5, 'x5': 0.6}",46.99725094399946,-1.407
"{'x0': 0.6, 'x1': 0.5, 'x2': 0.4, 'x3': 0.3, 'x4': 0.2, 'x5': 0.1}",52.000397117999455,-0.315
"{'x0': 0.08, 'x1': 0.16, 'x2': 0.24, 'x3': 0.32, 'x4': 0.4, 'x5': 0.48}",57.00473560799946,-1.847
"{'x0': 0.11, 'x1': 0.22, 'x2': 0.33, 'x3': 0.44, 'x4': 0.55, 'x5': 0.66}",73.5079867000004,-0.984
"{'x0': 0.66, 'x1': 0.55, 'x2': 0.44, 'x3': 0.33, 'x4': 0.22, 'x5': 0.11}",78.52037885400023,-0.294
"{'x0': 0.33, 'x1': 0.33, 'x2': 0.33, 'x3': 0.34, 'x4': 0.34, 'x5': 0.34}",83.53880044899961,-1.172
"{'x0': 0.4, 'x1': 0.6, 'x2': 0.5, 'x3': 0.4, 'x4': 0.6, 'x5': 0.5}",88.54522608700063,-0.403
"{'x0': 0.2, 'x1': 0.2, 'x2': 0.2, 'x3': 0.2, 'x4': 0.2, 'x5': 0.2}",105.49776855799972,-0.408
"{'x0': 0.35, 'x1': 0.35, 'x2': 0.35, 'x3': 0.65, 'x4': 0.65, 'x5': 0.65}",110.51482159999978,-0.15
