configs,runtime_traj,F1
"{'x0': -6.045613132548944, 'x1': -8.312233627911269, 'x2': 7.251688729517536, 'x3': 9.188213871226164, 'x4': 2.023316953609214, 'x5': 6.5217933074838434, 'x6': 1.8831809785484488, 'x7': -2.4576157355734303, 'x8': 1.883221684732588, 'x9': 8.285181191326913}",5.204617409999628,114.072
"{'x0': 4.667202423103076, 'x1': 4.696324470985829, 'x2': 7.18680849480619, 'x3': 0.0530926241332103, 'x4': 7.098829268879523, 'x5': 0.0673347979159277, 'x6': 2.5765488166441983, 'x7': -8.233576325715221, 'x8': -4.0445268039812765, 'x9': 0.3212282160777029}",10.209240490999946,32.442
"{'x0': -5.48269113626493, 'x1': 4.400123411712379, 'x2': -5.091845948166752, 'x3': -7.354152180824583, 'x4': 0.1888520654789118, 'x5': -7.051371613269366, 'x6': 7.511584134084565, 'x7': -6.153973979113028, 'x8': -7.756886467362549, 'x9': 7.186704883094958}",15.213419081999746,141.962
"{'x0': 9.036843284840486, 'x1': -3.108148458989179, 'x2': -5.182754386581352, 'x3': -2.127790855002269, 'x4': 8.458406780579075, 'x5': 9.251029632030992, 'x6': 8.080321801363798, 'x7': -3.762133653670265, 'x8': 4.523738362967848, 'x9': 4.6946289011746085}",20.230419112000163,129.067
"{'x0': -7.8544182577111155, 'x1': 7.827929164520782, 'x2': 7.273388196284575, 'x3': 0.9833812982122048, 'x4': 7.777714363712395, 'x5': -2.050838495897665, 'x6': 7.973768844160531, 'x7': 5.458114942095364, 'x8': -0.981335657283486, 'x9': -3.9290803393080553}",25.23802143499961,49.323
"{'x0': 2.2, 'x1': 0.7, 'x2': -5.9, 'x3': 4.6, 'x4': -1.2, 'x5': -7.6, 'x6': 9.1, 'x7': -6.2, 'x8': 6.0, 'x9': -0.5}",47.57309976800025,142.062
"{'x0': -0.4, 'x1': 7.5, 'x2': -7.2, 'x3': -1.1, 'x4': 9.9, 'x5': -0.8, 'x6': 5.4, 'x7': 0.2, 'x8': -4.7, 'x9': 3.6}",52.58606524899915,104.934
"{'x0': -7.5, 'x1': 3.4, 'x2': 5.0, 'x3': -0.3, 'x4': -9.0, 'x5': 7.9, 'x6': 2.8, 'x7': -4.6, 'x8': 1.9, 'x9': 4.4}",57.59144201500021,62.229
"{'x0': 4.1, 'x1': 9.3, 'x2': -1.3, 'x3': -6.4, 'x4': 5.9, 'x5': 1.7, 'x6': -8.6, 'x7': 3.1, 'x8': -3.5, 'x9': -5.3}",62.60417091899944,118.899
"{'x0': 1.8, 'x1': -6.4, 'x2': 8.1, 'x3': 5.6, 'x4': -2.1, 'x5': 9.8, 'x6': -5.9, 'x7': -3.5, 'x8': 6.7, 'x9': -1.6}",84.3829797519993,166.812
"{'x0': -8.5, 'x1': 4.6, 'x2': 9.3, 'x3': -3.9, 'x4': 1.7, 'x5': 2.0, 'x6': -6.8, 'x7': -0.3, 'x8': -2.7, 'x9': 7.7}",89.39578624999922,108.083
"{'x0': -1.4, 'x1': -7.2, 'x2': 7.6, 'x3': 6.9, 'x4': 4.4, 'x5': -5.6, 'x6': -2.2, 'x7': 9.9, 'x8': 8.7, 'x9': 0.5}",94.39988650699888,151.793
"{'x0': -9.1, 'x1': -0.5, 'x2': 3.5, 'x3': -2.0, 'x4': 5.0, 'x5': 7.9, 'x6': 8.9, 'x7': -6.7, 'x8': -1.3, 'x9': 2.9}",99.40374503800012,116.596
"{'x0': -6.5, 'x1': 5.1, 'x2': 3.1, 'x3': -1.3, 'x4': -8.2, 'x5': 7.3, 'x6': 4.5, 'x7': -7.7, 'x8': 1.5, 'x9': -4.4}",121.23823313200046,80.629
"{'x0': -9.5, 'x1': 8.2, 'x2': -2.7, 'x3': -5.1, 'x4': 9.1, 'x5': -8.9, 'x6': 6.3, 'x7': -1.4, 'x8': -7.2, 'x9': 4.8}",126.24946453899976,183.914
"{'x0': -4.3, 'x1': 9.1, 'x2': 1.7, 'x3': -7.3, 'x4': -3.0, 'x5': -0.7, 'x6': 6.9, 'x7': 2.7, 'x8': 7.2, 'x9': -5.6}",131.25565468599962,94.202
"{'x0': -9.9, 'x1': -2.1, 'x2': 6.8, 'x3': 4.7, 'x4': -1.6, 'x5': 3.0, 'x6': 7.5, 'x7': -5.3, 'x8': 8.0, 'x9': -0.3}",136.2614403179996,126.986
"{'x0': 4.2, 'x1': 4.9, 'x2': 7.5, 'x3': 0.3, 'x4': 6.7, 'x5': 0.2, 'x6': 2.1, 'x7': -8.5, 'x8': -4.3, 'x9': 0.7}",158.66690409799958,35.022
"{'x0': -7.0, 'x1': 3.8, 'x2': 4.6, 'x3': -0.6, 'x4': -9.3, 'x5': 7.5, 'x6': 2.4, 'x7': -4.9, 'x8': 1.5, 'x9': 4.0}",163.6794447760003,91.16
"{'x0': -7.1, 'x1': 8.5, 'x2': 6.7, 'x3': 1.8, 'x4': 7.3, 'x5': -2.3, 'x6': 7.5, 'x7': 5.8, 'x8': -0.6, 'x9': -4.2}",168.68366734600022,93.526
"{'x0': -6.8, 'x1': 4.5, 'x2': 3.5, 'x3': -1.7, 'x4': -8.5, 'x5': 7.0, 'x6': 4.1, 'x7': -8.0, 'x8': 1.1, 'x9': -4.8}",173.69100520400025,70.626
"{'x0': 4.5, 'x1': 7.6, 'x2': -2.4, 'x3': -5.2, 'x4': 9.4, 'x5': -1.1, 'x6': 3.6, 'x7': 0.3, 'x8': -7.4, 'x9': 6.1}",195.93002275599972,100.124
"{'x0': -4.6, 'x1': 8.4, 'x2': -0.6, 'x3': -7.6, 'x4': 2.2, 'x5': -2.8, 'x6': 9.6, 'x7': 0.8, 'x8': -5.3, 'x9': 4.0}",200.9463518169996,109.186
"{'x0': -7.7, 'x1': 5.6, 'x2': 2.4, 'x3': -3.0, 'x4': -8.2, 'x5': 7.9, 'x6': 5.0, 'x7': -1.7, 'x8': 2.1, 'x9': -4.4}",205.96193442000003,62.497
"{'x0': -2.5, 'x1': 8.0, 'x2': -1.0, 'x3': -7.0, 'x4': 3.0, 'x5': -4.0, 'x6': 9.0, 'x7': 1.5, 'x8': -6.0, 'x9': 5.0}",210.96615566199944,115.122
"{'x0': 4.0, 'x1': 4.5, 'x2': 7.7, 'x3': 0.2, 'x4': 6.8, 'x5': 0.3, 'x6': 2.0, 'x7': -8.3, 'x8': -4.2, 'x9': 0.6}",233.27225310299943,26.832
"{'x0': 4.5, 'x1': 4.3, 'x2': 7.6, 'x3': 0.0, 'x4': 7.0, 'x5': 0.4, 'x6': 2.4, 'x7': -8.0, 'x8': -4.0, 'x9': 0.9}",238.28666093399988,28.021
"{'x0': 4.2, 'x1': 4.7, 'x2': 7.4, 'x3': 0.4, 'x4': 6.6, 'x5': 0.1, 'x6': 2.2, 'x7': -8.4, 'x8': -4.4, 'x9': 0.7}",243.2910254649996,33.813
"{'x0': 4.8, 'x1': 4.0, 'x2': 7.9, 'x3': 0.1, 'x4': 6.9, 'x5': 0.5, 'x6': 2.3, 'x7': -8.1, 'x8': -4.1, 'x9': 0.8}",248.2950674299991,29.605
"{'x0': 3.9, 'x1': 4.9, 'x2': 7.7, 'x3': 0.0, 'x4': 7.0, 'x5': 0.4, 'x6': 2.1, 'x7': -8.1, 'x8': -4.0, 'x9': 0.9}",270.4390366200005,29.157
"{'x0': 4.7, 'x1': 4.4, 'x2': 7.2, 'x3': 0.0, 'x4': 7.1, 'x5': 0.3, 'x6': 2.5, 'x7': -8.0, 'x8': -4.1, 'x9': 0.8}",275.4571421189994,31.929
"{'x0': 4.0, 'x1': 4.6, 'x2': 7.6, 'x3': 0.1, 'x4': 6.9, 'x5': 0.2, 'x6': 2.2, 'x7': -8.2, 'x8': -4.1, 'x9': 0.7}",280.4607015099991,26.951
