configs,runtime_traj,F1
"{'x0': 8.755194568851955, 'x1': -3.298443528986647, 'x2': 5.37811533210369, 'x3': -8.858072698347684, 'x4': 3.665388934124636, 'x5': -7.263515330227223, 'x6': 9.201992682355144, 'x7': 9.076563287261578, 'x8': 9.386565470374414, 'x9': 8.542146139890207}",5.001952218008228,211.83
"{'x0': 5.967898253209228, 'x1': -8.316989346767876, 'x2': -1.5688323342822468, 'x3': 2.249715311217459, 'x4': -0.8610246636489283, 'x5': -3.245766687888054, 'x6': 8.595920477286327, 'x7': 8.673299113585923, 'x8': 1.0355920473841422, 'x9': 0.7662405845818654}",10.00578203200712,72.848
"{'x0': -6.311425670415229, 'x1': -0.8147342046693229, 'x2': 8.004050814871547, 'x3': -3.264185895135432, 'x4': -7.600513675937652, 'x5': -4.320586455074025, 'x6': 8.252658302535252, 'x7': 0.0517310963280053, 'x8': 7.7129681961644145, 'x9': -3.697454520476602}",15.012716414988972,81.071
"{'x0': -0.7810565962999938, 'x1': -6.239948631953476, 'x2': 8.127761043571738, 'x3': -3.195581977704334, 'x4': -7.309832981769453, 'x5': -0.878178576818403, 'x6': -8.073026906941651, 'x7': -1.4626155803123293, 'x8': -1.6676659444934536, 'x9': 3.300586345822115}",20.025745280989213,89.907
"{'x0': 1.2105699994982544, 'x1': 3.776830600767955, 'x2': -7.633263298568435, 'x3': -5.626897358158707, 'x4': 5.575119418901359, 'x5': -8.65101553312256, 'x6': 2.785619954239065, 'x7': -0.3004275843853072, 'x8': 9.135936069272027, 'x9': 0.5336986345019596}",25.03185812200536,103.172
"{'x0': -5.0, 'x1': 2.5, 'x2': 7.0, 'x3': -2.0, 'x4': -6.0, 'x5': 0.0, 'x6': 5.0, 'x7': -7.5, 'x8': 3.0, 'x9': -1.0}",38.059104657993885,86.579
"{'x0': 1.0, 'x1': -7.0, 'x2': -1.5, 'x3': 8.0, 'x4': 3.5, 'x5': -4.5, 'x6': -9.5, 'x7': 6.0, 'x8': -2.5, 'x9': 9.0}",43.07414634700399,124.815
"{'x0': 6.0, 'x1': -1.0, 'x2': -5.0, 'x3': 4.0, 'x4': -8.0, 'x5': 7.0, 'x6': 2.0, 'x7': -3.0, 'x8': 8.5, 'x9': -6.0}",48.07924135599751,73.6
"{'x0': 9.0, 'x1': 9.0, 'x2': -9.0, 'x3': 9.0, 'x4': -9.0, 'x5': 9.0, 'x6': -9.0, 'x7': 9.0, 'x8': -9.0, 'x9': 9.0}",53.08310052799061,263.596
"{'x0': 3.0, 'x1': -8.0, 'x2': 4.0, 'x3': -3.0, 'x4': 7.0, 'x5': -2.0, 'x6': 9.0, 'x7': 8.0, 'x8': -4.0, 'x9': 2.0}",75.28773603000445,72.158
"{'x0': 0.0, 'x1': -5.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': 0.0, 'x6': -0.149, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",80.30050699799904,10.17
"{'x0': 7.0, 'x1': -2.0, 'x2': -7.0, 'x3': 3.0, 'x4': 4.0, 'x5': -6.0, 'x6': 5.0, 'x7': -0.1, 'x8': -8.0, 'x9': 1.0}",85.30623968498548,97.698
"{'x0': -2.5, 'x1': 1.0, 'x2': -5.0, 'x3': 6.0, 'x4': -3.0, 'x5': -1.0, 'x6': -0.5, 'x7': -4.0, 'x8': 2.0, 'x9': 7.0}",90.31578075498692,48.051
"{'x0': 0.5, 'x1': 0.5, 'x2': -0.5, 'x3': -0.5, 'x4': 0.5, 'x5': -0.5, 'x6': 0.1, 'x7': -0.5, 'x8': -0.1, 'x9': 0.5}",115.39760413698968,1.291
"{'x0': -1.0, 'x1': 0.0, 'x2': -2.0, 'x3': 5.0, 'x4': -6.0, 'x5': 2.0, 'x6': 3.0, 'x7': -2.0, 'x8': -0.2, 'x9': -3.0}",120.41367483700742,57.047
"{'x0': -1.0, 'x1': -2.0, 'x2': 6.0, 'x3': -8.0, 'x4': 4.0, 'x5': -5.0, 'x6': 7.0, 'x7': 5.0, 'x8': 4.0, 'x9': 1.0}",125.41861477700876,59.102
"{'x0': 2.0, 'x1': -8.0, 'x2': 6.0, 'x3': -2.0, 'x4': 8.0, 'x5': -6.0, 'x6': -0.149, 'x7': -1.0, 'x8': 1.0, 'x9': -7.0}",130.43266501300968,72.749
"{'x0': 0.8, 'x1': -0.5, 'x2': 0.2, 'x3': -0.8, 'x4': 0.6, 'x5': -0.3, 'x6': 0.05, 'x7': -0.2, 'x8': -0.1, 'x9': 0.4}",156.11686995698255,1.316
"{'x0': 0.1, 'x1': -0.1, 'x2': 0.1, 'x3': -0.1, 'x4': 0.1, 'x5': -0.1, 'x6': 0.1, 'x7': 0.8, 'x8': 0.7, 'x9': -0.1}",161.12870368000586,1.26
"{'x0': -1.5, 'x1': 0.5, 'x2': -2.5, 'x3': 1.5, 'x4': 0.0, 'x5': -0.5, 'x6': 0.2, 'x7': -0.2, 'x8': 0.8, 'x9': 0.0}",166.13649162399815,12.896
"{'x0': 0.0, 'x1': 0.0, 'x2': 0.0, 'x3': 0.0, 'x4': 0.0, 'x5': -9.0, 'x6': -0.149, 'x7': 0.0, 'x8': 0.0, 'x9': 0.0}",171.14449854698614,25.847
"{'x0': 0.9, 'x1': -0.9, 'x2': 0.9, 'x3': -0.9, 'x4': 0.9, 'x5': -0.9, 'x6': 0.01, 'x7': 0.79, 'x8': 0.7, 'x9': -0.9}",200.9158247599844,2.581
"{'x0': 0.2, 'x1': -0.2, 'x2': 0.2, 'x3': -0.2, 'x4': 0.2, 'x5': -0.2, 'x6': 0.07, 'x7': 0.9, 'x8': 0.8, 'x9': -0.2}",205.93020967100165,1.188
