configs,runtime_traj,F1
"{'x0': -1.3580568091981182, 'x1': 0.2443030898597822, 'x2': 0.4402846949514853, 'x3': -0.9857632467789998, 'x4': 0.0084191744121113, 'x5': 1.2078465877130276, 'x6': -0.5737496325262537, 'x7': 1.9101936146521117}",5.002698716998566,1325.321
"{'x0': -0.5866170919853371, 'x1': -1.2513304400415164, 'x2': -0.2286336961482371, 'x3': -0.8342917736687756, 'x4': -1.4008602147561169, 'x5': -0.3336728007399288, 'x6': 1.5636091649616577, 'x7': -0.2283709193270842}",10.010729274999903,2567.908
"{'x0': -1.1326239054794147, 'x1': -1.165259977868423, 'x2': 0.8777810045406449, 'x3': -0.0006076264653942, 'x4': 1.554072516656261, 'x5': 0.063169880427655, 'x6': -0.7612971652093405, 'x7': -1.920172790601791}",15.01615431800019,2174.493
"{'x0': 1.4073966701022655, 'x1': 0.979678862054203, 'x2': 0.8723789244519486, 'x3': 0.2125701332067442, 'x4': -0.2855828608785942, 'x5': 0.923847076048613, 'x6': -1.4583623074303709, 'x7': 0.0108868315123475}",20.0293619160002,1203.64
"{'x0': -1.861567953242265, 'x1': -0.7410258775016205, 'x2': -0.4439113386145163, 'x3': 0.0544220731549596, 'x4': -1.6707072107268122, 'x5': 1.3464447298010596, 'x6': -0.9796853781551128, 'x7': -1.0231229324205198}",25.03363800200168,3557.367
"{'x0': 1.0, 'x1': 1.0, 'x2': 1.0, 'x3': 1.0, 'x4': 1.0, 'x5': 1.0, 'x6': 1.0, 'x7': 1.0}",44.55521675400087,0.0
"{'x0': 0.8, 'x1': -0.2, 'x2': 0.7, 'x3': -0.9, 'x4': 0.3, 'x5': -0.6, 'x6': 0.1, 'x7': -0.4}",49.567684933001146,413.56
"{'x0': 0.7, 'x1': -0.9, 'x2': 1.2, 'x3': -0.4, 'x4': 0.1, 'x5': 0.3, 'x6': -1.5, 'x7': 0.8}",54.57117292199837,1032.06
"{'x0': 1.9, 'x1': -0.4, 'x2': 0.1, 'x3': -1.3, 'x4': 0.8, 'x5': -0.2, 'x6': 1.5, 'x7': -0.7}",59.5743829109997,3023.76
"{'x0': 0.9, 'x1': -0.8, 'x2': 0.6, 'x3': -0.5, 'x4': 0.2, 'x5': -0.3, 'x6': 0.0, 'x7': -0.7}",79.58085944699997,403.94
"{'x0': -0.7, 'x1': 0.9, 'x2': -0.4, 'x3': 0.2, 'x4': -0.9, 'x5': 0.7, 'x6': -1.0, 'x7': 0.5}",84.5924222729991,513.16
"{'x0': -0.5, 'x1': 0.4, 'x2': 1.7, 'x3': -1.2, 'x4': -0.2, 'x5': -0.7, 'x6': 0.9, 'x7': 0.1}",89.59690262200093,2315.44
"{'x0': 0.3, 'x1': 0.7, 'x2': -0.9, 'x3': 1.0, 'x4': -0.1, 'x5': 0.5, 'x6': 0.8, 'x7': -1.3}",94.59998936600095,791.34
"{'x0': -0.1, 'x1': 0.1, 'x2': -0.2, 'x3': 0.2, 'x4': -0.3, 'x5': 0.3, 'x6': -0.4, 'x7': 0.4}",114.38489407499948,61.76
