configs,runtime_traj,F1,F2
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.5, 'x3': 0.5, 'problem': 'welded_beam'}",5.113964419000013,0.312,35.123
"{'x0': 0.3470626021991051, 'x1': 0.677479485418203, 'x2': 0.777768436132985, 'x3': 0.7979683252286911, 'problem': 'welded_beam'}",5.114080868999963,0.528,5.847
"{'x0': 0.0212929422675892, 'x1': 0.9573405427895136, 'x2': 0.9592044861221558, 'x3': 0.5818945542467895, 'problem': 'welded_beam'}",5.114046719000044,0.402,4.275
"{'x0': 0.4067936746367743, 'x1': 0.7326304693210808, 'x2': 0.237560430317248, 'x3': 0.6150964271950266, 'problem': 'welded_beam'}",5.114100118000124,0.238,266.2
"{'x0': 0.293057185586941, 'x1': 0.2867537737003325, 'x2': 0.0673738680243852, 'x3': 0.60531611960732, 'problem': 'welded_beam'}",5.114065278999988,0.055,11858.163
"{'x0': 0.8812133871078845, 'x1': 0.1272784975015405, 'x2': 0.955830271280986, 'x3': 0.7060263610406551, 'problem': 'welded_beam'}",5.113993488999995,0.568,3.56
"{'x0': 0.1531560291909841, 'x1': 0.7564771197676036, 'x2': 0.1461813519177424, 'x3': 0.7936743156492027, 'problem': 'welded_beam'}",5.114014449000024,0.102,885.433
"{'x0': 0.0434378583710708, 'x1': 0.6103082073609463, 'x2': 0.0937557612489787, 'x3': 0.0512174207572582, 'problem': 'welded_beam'}",5.114113527999962,0.005,52007.083
"{'x0': 0.718220112689696, 'x1': 0.1794961340579389, 'x2': 0.6831803787572371, 'x3': 0.561076123189058, 'problem': 'welded_beam'}",5.114032079000026,0.364,12.27
"{'x0': 0.6018293481437079, 'x1': 0.5160336519426341, 'x2': 0.6756550754102303, 'x3': 0.791154389300555, 'problem': 'welded_beam'}",5.114125688000058,0.58,8.996
"{'x0': 0.6515975683846402, 'x1': 0.1942722466784674, 'x2': 0.3696633227442834, 'x3': 0.711502634062292, 'problem': 'welded_beam'}",10.576175855999963,0.271,61.077
"{'x0': 0.0, 'x1': 1.0, 'x2': 1.0, 'x3': 1.0, 'problem': 'welded_beam'}",10.576196006000146,0.722,2.195
"{'x0': 0.7144849886113076, 'x1': 1.0, 'x2': 0.4116413277816672, 'x3': 0.6435079358524189, 'problem': 'welded_beam'}",10.576210086000174,0.755,48.906
"{'x0': 0.2382083923418506, 'x1': 0.4750439689434524, 'x2': 0.3566431561966258, 'x3': 1.0, 'problem': 'welded_beam'}",10.576233966000018,0.278,48.392
"{'x0': 0.3590375724420687, 'x1': 1.0, 'x2': 0.3587360569417952, 'x3': 0.7887975060589086, 'problem': 'welded_beam'}",10.576222116000054,0.347,60.281
"{'x0': 0.3094830457765062, 'x1': 0.0, 'x2': 0.3954091960747452, 'x3': 0.7322968604851205, 'problem': 'welded_beam'}",10.576245056000062,0.195,48.489
"{'x0': 1.0, 'x1': 1.0, 'x2': 0.0, 'x3': 1.0, 'problem': 'welded_beam'}",10.5762555660001,1.105,inf
"{'x0': 0.0, 'x1': 1.0, 'x2': 1.0, 'x3': 0.0, 'problem': 'welded_beam'}",10.576275546000034,0.0,inf
"{'x0': 0.6968582138349655, 'x1': 1.0, 'x2': 0.3107572442595682, 'x3': 0.7749592777435066, 'problem': 'welded_beam'}",10.57626528600008,0.71,94.391
"{'x0': 0.145949309095036, 'x1': 1.0, 'x2': 0.3800373312815564, 'x3': 0.6821633940464883, 'problem': 'welded_beam'}",10.576285515000109,0.211,58.628
"{'x0': 0.678616518551011, 'x1': 0.8795620196892447, 'x2': 0.7765589417583125, 'x3': 0.2094410070836009, 'problem': 'welded_beam'}",15.97221332800018,0.564,22.381
"{'x0': 0.8032497206831758, 'x1': 0.6003510958013015, 'x2': 1.0, 'x3': 0.2438492770648306, 'problem': 'welded_beam'}",15.974127140000064,0.599,9.002
"{'x0': 0.90175224128257, 'x1': 0.753550931696294, 'x2': 0.6031565854113395, 'x3': 1.0, 'problem': 'welded_beam'}",15.974112630000036,1.105,10.004
"{'x0': 0.910508565136712, 'x1': 0.8002268777934605, 'x2': 0.818290494542906, 'x3': 1.0, 'problem': 'welded_beam'}",15.974087001000044,1.316,4.006
"{'x0': 0.8265921643359272, 'x1': 0.6172481690796033, 'x2': 0.5137595616156146, 'x3': 1.0, 'problem': 'welded_beam'}",15.974150969999982,0.827,16.188
"{'x0': 0.2582758339534869, 'x1': 0.8491698031753014, 'x2': 0.5701345007325562, 'x3': 0.6239633497104493, 'problem': 'welded_beam'}",15.974139320000177,0.317,18.984
"{'x0': 0.8460735763670602, 'x1': 0.5913492417553202, 'x2': 0.7504894184547214, 'x3': 1.0, 'problem': 'welded_beam'}",15.97416175000012,0.994,5.193
"{'x0': 0.3493579252219594, 'x1': 0.6267992128734075, 'x2': 0.5163770301411559, 'x3': 0.902587537018777, 'problem': 'welded_beam'}",15.974183089999997,0.412,17.664
"{'x0': 0.9833506466302588, 'x1': 0.027956256406864, 'x2': 0.8579388088409348, 'x3': 1.0, 'problem': 'welded_beam'}",15.97417242000006,0.609,3.476
"{'x0': 0.9947067938922892, 'x1': 0.993473310708405, 'x2': 0.6496598715290813, 'x3': 0.3799494564928949, 'problem': 'welded_beam'}",15.974193109999987,1.264,21.071
"{'x0': 0.9029788903700754, 'x1': 0.2239153536423755, 'x2': 0.8568026386236975, 'x3': 0.3350575461732243, 'problem': 'welded_beam'}",21.395893978000004,0.398,10.416
"{'x0': 0.7300168601969765, 'x1': 0.5006268360790799, 'x2': 0.7882229263698823, 'x3': 0.3668289675440212, 'problem': 'welded_beam'}",21.39592173799997,0.496,12.22
