configs,runtime_traj,F1,F2
"{'x0': 0.7616515403548016, 'x1': 0.1879786394841536, 'x2': 0.5900227914924996, 'x3': 0.9670531765556564, 'problem': 'welded_beam'}",5.102303379999967,0.51,11.051
"{'x0': 0.7888684189547797, 'x1': 0.8959148299505252, 'x2': 0.1736176380279738, 'x3': 0.2880064735239315, 'problem': 'welded_beam'}",10.103826805999915,0.652,1456.432
"{'x0': 0.9830028943647974, 'x1': 0.3716718221744269, 'x2': 0.0767912000146068, 'x3': 0.0629609957533312, 'problem': 'welded_beam'}",15.10528720100001,0.4,76995.996
"{'x0': 0.4792320186633617, 'x1': 0.9471581139647428, 'x2': 0.6089780649270511, 'x3': 0.4554880040913445, 'problem': 'welded_beam'}",20.116246319000084,0.44,21.34
"{'x0': 0.8488028154261764, 'x1': 0.4975845639676914, 'x2': 0.738429035458695, 'x3': 0.8956271750945286, 'problem': 'welded_beam'}",25.11774566300005,0.857,6.087
"{'x0': 0.9809252654602908, 'x1': 0.2974103556153864, 'x2': 0.5955529636294989, 'x3': 0.7772813764677713, 'problem': 'welded_beam'}",30.11921834700001,0.635,13.37
"{'x0': 0.2910985720193544, 'x1': 0.5134927214893465, 'x2': 0.4532584242192147, 'x3': 0.1787397717907742, 'problem': 'welded_beam'}",35.13422764699999,0.105,131.891
"{'x0': 0.983739689001694, 'x1': 0.695040141496942, 'x2': 0.3107772335718459, 'x3': 0.1593530776674679, 'problem': 'welded_beam'}",40.13550111099994,0.778,458.951
"{'x0': 0.1196247107176278, 'x1': 0.8605137939869985, 'x2': 0.1992257111646003, 'x3': 0.0528001571033591, 'problem': 'welded_beam'}",45.13693776500008,0.021,5257.784
"{'x0': 0.3337935551432359, 'x1': 0.6285641781798968, 'x2': 0.7226496252767808, 'x3': 0.142568701127876, 'problem': 'welded_beam'}",50.14819810900008,0.15,40.801
"{'x0': 0.5941309790693141, 'x1': 0.2602719419520657, 'x2': 0.1065974413942878, 'x3': 0.1704338554568849, 'problem': 'welded_beam'}",55.14980483,0.114,10633.54
"{'x0': 0.7750959122248574, 'x1': 0.0148314865758706, 'x2': 0.592672328403698, 'x3': 0.1009901878009029, 'problem': 'welded_beam'}",60.1512268030001,0.05,104.412
"{'x0': 0.2389345088483798, 'x1': 0.7128740100446578, 'x2': 0.1095630999037546, 'x3': 0.848314211021433, 'problem': 'welded_beam'}",65.16331007200006,0.111,1967.544
"{'x0': 0.1078841101818365, 'x1': 0.4844640966303831, 'x2': 0.8952108893964589, 'x3': 0.6751642697701392, 'problem': 'welded_beam'}",70.16758778300004,0.427,4.532
"{'x0': 0.8269393242939092, 'x1': 0.7037245362623346, 'x2': 0.3267275799740415, 'x3': 0.8265857083043225, 'problem': 'welded_beam'}",75.16894524400004,0.723,76.143
"{'x0': 0.9832745922471106, 'x1': 0.0183746480906656, 'x2': 0.5728373942559756, 'x3': 0.0196040603274384, 'problem': 'welded_beam'}",80.18178448000003,0.027,595.709
"{'x0': 0.3368968811923594, 'x1': 0.8141860607440518, 'x2': 0.1913538459969722, 'x3': 0.1335248428871778, 'problem': 'welded_beam'}",85.1831181120001,0.12,2346.391
"{'x0': 0.9900044270635788, 'x1': 0.7803236639487089, 'x2': 0.7389336430531119, 'x3': 0.771731966441104, 'problem': 'welded_beam'}",90.18444151499988,1.25,7.05
"{'x0': 0.7111582629690061, 'x1': 0.57153167797054, 'x2': 0.2723755718408029, 'x3': 0.9928688656644592, 'problem': 'welded_beam'}",95.19819422699992,0.509,109.415
"{'x0': 0.831855184385941, 'x1': 0.1301945360263973, 'x2': 0.5008743824378749, 'x3': 0.2812765852843194, 'problem': 'welded_beam'}",100.19961303800004,0.195,62.109
"{'x0': 0.9830153644441634, 'x1': 0.0183746480906656, 'x2': 0.5728373942559756, 'x3': 0.0197329070346771, 'problem': 'welded_beam'}",105.20998060200009,0.027,591.819
"{'x0': 0.4792623103211885, 'x1': 0.4975845639676914, 'x2': 0.6134822222926349, 'x3': 0.8956271750945286, 'problem': 'welded_beam'}",110.22881989300004,0.509,10.616
"{'x0': 0.6482404008082014, 'x1': 0.8605137939869985, 'x2': 0.1992257111646003, 'x3': 0.1687692143585531, 'problem': 'welded_beam'}",115.23022098299998,0.424,1644.92
"{'x0': 0.7870745187265467, 'x1': 0.8141860607440518, 'x2': 0.1078182641024636, 'x3': 0.085036052063453, 'problem': 'welded_beam'}",120.231849711,0.564,20596.527
"{'x0': 0.7111582629690061, 'x1': 0.5664312385072187, 'x2': 0.1028716265151238, 'x3': 0.8543100028121464, 'problem': 'welded_beam'}",125.25117089700008,0.378,2360.325
"{'x0': 0.7750959122248574, 'x1': 0.0148314865758706, 'x2': 0.4167567571517919, 'x3': 0.058241608223582, 'problem': 'welded_beam'}",130.2524736989999,0.026,520.706
"{'x0': 0.9352146287604846, 'x1': 0.4822608625008376, 'x2': 0.7389336430531119, 'x3': 0.6513719906588215, 'problem': 'welded_beam'}",135.2539020480001,0.801,8.353
"{'x0': 0.9990030882691482, 'x1': 0.695040141496942, 'x2': 0.3267583356313215, 'x3': 0.1593530776674679, 'problem': 'welded_beam'}",140.27890773199988,0.803,394.851
"{'x0': 0.7576655867729089, 'x1': 0.1301945360263973, 'x2': 0.5607712816292004, 'x3': 0.3159853006369664, 'problem': 'welded_beam'}",145.2805458989999,0.203,39.396
"{'x0': 0.9832621221677446, 'x1': 0.3716718221744269, 'x2': 0.0321579869997996, 'x3': 0.0628321715620424, 'problem': 'welded_beam'}",150.28186982900002,0.398,1050571.121
"{'x0': 0.854959354557965, 'x1': 0.9471581139647428, 'x2': 0.7339248780931003, 'x3': 0.4554880040913445, 'problem': 'welded_beam'}",155.30315267700007,1.005,12.191
"{'x0': 0.0661976804844829, 'x1': 0.1322967044994364, 'x2': 0.2367091039370502, 'x3': 0.0156758311485891, 'problem': 'welded_beam'}",160.30475941400005,0.003,10558.413
"{'x0': 0.3386906021384674, 'x1': 0.8996068090904047, 'x2': 0.1873813117517382, 'x3': 0.2719508335930277, 'problem': 'welded_beam'}",165.30614665300004,0.151,1226.888
"{'x0': 0.9809252654602908, 'x1': 0.2974103556153864, 'x2': 0.5952765528700223, 'x3': 0.801649304128748, 'problem': 'welded_beam'}",170.328842055,0.644,12.982
"{'x0': 0.2389345088483798, 'x1': 0.7179744495079143, 'x2': 0.2790670651231785, 'x3': 0.9907032578689904, 'problem': 'welded_beam'}",175.333544458,0.241,101.954
"{'x0': 0.2910985720193544, 'x1': 0.5134927214893465, 'x2': 0.5982017993960997, 'x3': 0.1787397717907742, 'problem': 'welded_beam'}",180.33539216400004,0.123,57.373
"{'x0': 0.1525344917942325, 'x1': 0.7825268946760057, 'x2': 0.8952108893964589, 'x3': 0.8065216656358418, 'problem': 'welded_beam'}",185.357969896,0.534,3.794
"{'x0': 0.8269393242939092, 'x1': 0.7037245362623346, 'x2': 0.3387900125183999, 'x3': 0.8265857083043225, 'problem': 'welded_beam'}",190.3595088330001,0.73,68.296
"{'x0': 0.835841137967826, 'x1': 0.1879786394841536, 'x2': 0.5903458887281582, 'x3': 0.9708944268677524, 'problem': 'welded_beam'}",195.3611831190001,0.536,10.99
"{'x0': 0.8488028154261764, 'x1': 0.484081379322586, 'x2': 0.7427722792521803, 'x3': 0.8956271750945286, 'problem': 'welded_beam'}",200.385808002,0.849,5.981
"{'x0': 0.9830153644441634, 'x1': 0.0183746480906656, 'x2': 0.5459616244111763, 'x3': 0.0197329070346771, 'problem': 'welded_beam'}",205.38998510700003,0.027,683.592
"{'x0': 0.4932087302709971, 'x1': 0.1374746095430529, 'x2': 0.4957491195903641, 'x3': 0.2812765852843194, 'problem': 'welded_beam'}",210.3952272680001,0.132,64.055
"{'x0': 0.7559402559106397, 'x1': 0.0150842617503123, 'x2': 0.5979017355479711, 'x3': 0.0987834491927269, 'problem': 'welded_beam'}",215.423030529,0.049,103.968
"{'x0': 0.895046478439693, 'x1': 0.4975845639676914, 'x2': 0.738429035458695, 'x3': 0.8956271750945286, 'problem': 'welded_beam'}",220.42449141299997,0.902,6.087
"{'x0': 0.8488028154261764, 'x1': 0.0224219851241052, 'x2': 0.7427722792521803, 'x3': 0.8956271750945286, 'problem': 'welded_beam'}",225.425855018,0.467,5.981
"{'x0': 0.3526810137034581, 'x1': 0.0938559350341319, 'x2': 0.560146020475639, 'x3': 0.3159853006369664, 'problem': 'welded_beam'}",230.452223283,0.133,39.528
"{'x0': 0.4792623103211885, 'x1': 0.4975845639676914, 'x2': 0.8981179027992308, 'x3': 0.8956271750945286, 'problem': 'welded_beam'}",235.4535562890001,0.687,3.383
