configs,runtime_traj,F1,F2
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.5, 'x3': 0.5, 'problem': 'welded_beam'}",5.114708883000048,0.312,35.123
"{'x0': 0.7340429696347311, 'x1': 0.5043868931613189, 'x2': 0.640364332564056, 'x3': 0.3997920777187144, 'problem': 'welded_beam'}",5.114746792999995,0.479,20.91
"{'x0': 0.971397651214524, 'x1': 0.3992014618504318, 'x2': 0.19401821305908, 'x3': 0.6812535355671672, 'problem': 'welded_beam'}",5.114768022999897,0.508,441.202
"{'x0': 0.4531698258951118, 'x1': 0.7038818157656254, 'x2': 0.6778443501212649, 'x3': 0.5711862915010029, 'problem': 'welded_beam'}",5.1147611730000335,0.434,12.34
"{'x0': 0.4333667528204988, 'x1': 0.7180421762649241, 'x2': 0.9070783962814556, 'x3': 0.5148575064802305, 'problem': 'welded_beam'}",5.11472667299995,0.48,5.713
"{'x0': 0.4692010930848463, 'x1': 0.6796321284103066, 'x2': 0.0032636883353964, 'x3': 0.3965148684141295, 'problem': 'welded_beam'}",5.114775972999951,0.166,159253350.869
"{'x0': 0.7318931376466036, 'x1': 0.8638796017487235, 'x2': 0.0382016593167963, 'x3': 0.5877027950265935, 'problem': 'welded_beam'}",5.114738132999946,0.527,66999.206
"{'x0': 0.4265565864231826, 'x1': 0.1720903268117185, 'x2': 0.0284795165563022, 'x3': 0.2866160192754476, 'problem': 'welded_beam'}",5.1147541729999375,0.04,331570.432
"{'x0': 0.608754102832726, 'x1': 0.6855344528676377, 'x2': 0.040359629979555, 'x3': 0.6465394960178321, 'problem': 'welded_beam'}",5.114782503000015,0.299,51646.097
"{'x0': 0.5981574221816082, 'x1': 0.8341555634765404, 'x2': 0.5863880505057937, 'x3': 0.3204258787213321, 'problem': 'welded_beam'}",5.114787813000021,0.464,33.977
"{'x0': 0.0811467023759087, 'x1': 0.4282276329904267, 'x2': 0.0562288781214489, 'x3': 0.0232782032369937, 'problem': 'welded_beam'}",10.12430891300005,0.004,530452.356
"{'x0': 0.7355883628074417, 'x1': 0.8678331744756569, 'x2': 0.3534827890132617, 'x3': 0.2392958377386221, 'problem': 'welded_beam'}",10.124335372999894,0.579,207.699
"{'x0': 0.9334035671807428, 'x1': 0.9304550535324608, 'x2': 0.1463008723097185, 'x3': 0.7028375086463912, 'problem': 'welded_beam'}",10.124353062999944,0.969,997.421
"{'x0': 0.9091007390046756, 'x1': 0.839636107676414, 'x2': 0.2518139081994501, 'x3': 0.2361720675635813, 'problem': 'welded_beam'}",10.124368422000089,0.809,582.112
"{'x0': 0.6597377501112043, 'x1': 0.2492071264595919, 'x2': 0.9492917877870732, 'x3': 0.2009813360824245, 'problem': 'welded_beam'}",10.124347873000032,0.251,12.768
"{'x0': 0.9040597380329524, 'x1': 0.7319530922222683, 'x2': 0.481166503007624, 'x3': 0.1028821675819938, 'problem': 'welded_beam'}",10.124342142999922,0.696,191.535
"{'x0': 0.1580997917581154, 'x1': 0.0390674602041951, 'x2': 0.8283655416090964, 'x3': 0.3611241318992939, 'problem': 'welded_beam'}",10.124363353000035,0.203,10.694
"{'x0': 0.0012385814181785, 'x1': 0.4161031699003555, 'x2': 0.483265677588464, 'x3': 0.3443097317133045, 'problem': 'welded_beam'}",10.124357962999966,0.115,56.489
"{'x0': 0.1742167552858812, 'x1': 0.2451505118601846, 'x2': 0.6578266915877256, 'x3': 0.3102979735377194, 'problem': 'welded_beam'}",10.124328702999946,0.148,24.852
"{'x0': 0.304868672895063, 'x1': 0.9936151276183488, 'x2': 0.0794678532411052, 'x3': 0.8375520343273689, 'problem': 'welded_beam'}",10.124321442999872,0.15,5222.613
"{'x0': 0.9923442924070656, 'x1': 0.2583625915237029, 'x2': 0.8175615530160192, 'x3': 0.2101872139918207, 'problem': 'welded_beam'}",15.13544676299989,0.399,19.112
"{'x0': 0.4321175770865605, 'x1': 0.9101584746277772, 'x2': 0.3141464524534073, 'x3': 0.3101254382090114, 'problem': 'welded_beam'}",15.13542312300001,0.258,228.318
"{'x0': 0.4547334926207584, 'x1': 0.1126334804490412, 'x2': 0.8189502049172696, 'x3': 0.7649880474439681, 'problem': 'welded_beam'}",15.135409342999992,0.451,5.225
"{'x0': 0.8029123535402766, 'x1': 0.2664740109262207, 'x2': 0.4958213460024868, 'x3': 0.2220013303877696, 'problem': 'welded_beam'}",15.135435102999963,0.265,81.123
"{'x0': 0.8877934596585055, 'x1': 0.5974884286036032, 'x2': 0.7345690237330048, 'x3': 0.8913244884714991, 'problem': 'welded_beam'}",15.135396922999917,0.98,6.214
"{'x0': 0.7889310611541558, 'x1': 0.3515743184932539, 'x2': 0.9388534783065032, 'x3': 0.0051525568813796, 'problem': 'welded_beam'}",15.133328501000053,0.245,514.823
"{'x0': 0.8103137684142562, 'x1': 0.7406673582027717, 'x2': 0.3601202342999534, 'x3': 0.887565710323787, 'problem': 'welded_beam'}",15.135428993000003,0.764,52.958
"{'x0': 0.1388997208947593, 'x1': 0.0287736121226432, 'x2': 0.1642617257101725, 'x3': 0.4857009166479422, 'problem': 'welded_beam'}",15.13541670299992,0.054,1019.755
