configs,runtime_traj,F1,F2
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.5, 'x3': 0.5, 'problem': 'welded_beam'}",5.11138976999996,0.312,35.123
"{'x0': 0.3470626021991051, 'x1': 0.677479485418203, 'x2': 0.777768436132985, 'x3': 0.7979683252286911, 'problem': 'welded_beam'}",5.111440469999934,0.528,5.847
"{'x0': 0.0212929422675892, 'x1': 0.9573405427895136, 'x2': 0.9592044861221558, 'x3': 0.5818945542467895, 'problem': 'welded_beam'}",5.111417439999968,0.402,4.275
"{'x0': 0.4067936746367743, 'x1': 0.7326304693210808, 'x2': 0.237560430317248, 'x3': 0.6150964271950266, 'problem': 'welded_beam'}",5.111377989999937,0.238,266.2
"{'x0': 0.293057185586941, 'x1': 0.2867537737003325, 'x2': 0.0673738680243852, 'x3': 0.60531611960732, 'problem': 'welded_beam'}",5.111446690000093,0.055,11858.163
"{'x0': 0.8812133871078845, 'x1': 0.1272784975015405, 'x2': 0.955830271280986, 'x3': 0.7060263610406551, 'problem': 'welded_beam'}",5.111433490000081,0.568,3.56
"{'x0': 0.1531560291909841, 'x1': 0.7564771197676036, 'x2': 0.1461813519177424, 'x3': 0.7936743156492027, 'problem': 'welded_beam'}",5.111424769999985,0.102,885.433
"{'x0': 0.0434378583710708, 'x1': 0.6103082073609463, 'x2': 0.0937557612489787, 'x3': 0.0512174207572582, 'problem': 'welded_beam'}",5.111398969999982,0.005,52007.083
"{'x0': 0.718220112689696, 'x1': 0.1794961340579389, 'x2': 0.6831803787572371, 'x3': 0.561076123189058, 'problem': 'welded_beam'}",5.111406219999935,0.364,12.27
"{'x0': 0.6018293481437079, 'x1': 0.5160336519426341, 'x2': 0.6756550754102303, 'x3': 0.791154389300555, 'problem': 'welded_beam'}",5.111361120000083,0.58,8.996
"{'x0': 0.0626796728205922, 'x1': 0.6258321274398914, 'x2': 0.2293758146196723, 'x3': 0.6399372494869153, 'problem': 'welded_beam'}",10.477473071000077,0.106,284.246
"{'x0': 0.0429403297510196, 'x1': 0.3351448654057023, 'x2': 0.2099029264280372, 'x3': 0.9070217911752464, 'problem': 'welded_beam'}",10.477492791000032,0.132,261.698
"{'x0': 0.2360319413641107, 'x1': 0.0703654236914085, 'x2': 0.2876198403257617, 'x3': 0.6601833545622873, 'problem': 'welded_beam'}",10.47749910099992,0.133,139.75
"{'x0': 0.0012832671437543, 'x1': 0.6681186967008562, 'x2': 0.3116002402011086, 'x3': 0.7406401666125931, 'problem': 'welded_beam'}",10.477512470999956,0.163,97.966
"{'x0': 0.2156911841592701, 'x1': 0.2130357901114165, 'x2': 0.1965363888923006, 'x3': 0.876642351873359, 'problem': 'welded_beam'}",10.477518591000036,0.129,329.855
"{'x0': 0.0833963639773973, 'x1': 0.5241765862056152, 'x2': 0.2601023331352102, 'x3': 0.6403108075921536, 'problem': 'welded_beam'}",10.477485140999988,0.12,194.828
"{'x0': 0.0513097453203257, 'x1': 0.8364126261834314, 'x2': 0.2067818506992763, 'x3': 0.934384929064666, 'problem': 'welded_beam'}",10.477524680999975,0.14,265.712
