prompt_tokens,completion_tokens,total_tokens
2238,1362,3600
3022,102,3124
2238,1362,3600
3022,98,3120
2238,1362,3600
3022,98,3120
2238,1362,3600
3022,98,3120
2238,1362,3600
3022,98,3120
2238,1362,3600
3022,102,3124
2238,1362,3600
3022,98,3120
2238,1362,3600
2238,1362,3600
3022,98,3120
3022,98,3120
2238,1362,3600
3022,98,3120
3394,1362,4756
4178,102,4280
3394,1362,4756
4178,102,4280
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,102,4280
3394,1362,4756
3394,1362,4756
3394,1362,4756
4178,98,4276
4178,88,4266
4178,98,4276
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,102,5436
4550,1362,5912
5334,102,5436
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,102,5436
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,102,5436
4550,1362,5912
4550,1362,5912
5334,102,5436
5334,102,5436
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
5706,1362,7068
5706,1362,7068
6490,102,6592
6490,102,6592
6490,98,6588
5706,1353,7059
5706,1362,7068
6490,102,6592
5706,272,5978
6490,98,6588
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,102,7748
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,102,7748
6862,1362,8224
6862,276,7138
7646,98,7744
6862,1362,8224
6862,1362,8224
7646,98,7744
7646,98,7744
6862,1362,8224
7646,102,7748
6862,1362,8224
7646,102,7748
6862,1362,8224
7646,102,7748
8018,1362,9380
8802,102,8904
8018,1362,9380
8802,102,8904
8018,1362,9380
8802,102,8904
8018,1362,9380
8018,274,8292
8802,102,8904
8018,1362,9380
8802,102,8904
8018,1362,9380
8018,1362,9380
8802,102,8904
8802,98,8900
8018,1362,9380
8018,1362,9380
8018,1362,9380
8802,102,8904
8802,98,8900
8802,98,8900
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,102,10060
9174,1362,10536
9958,102,10060
9174,1362,10536
9958,102,10060
9174,1362,10536
9174,1362,10536
9174,1362,10536
9958,98,10056
9958,98,10056
9958,102,10060
9174,1362,10536
9174,1362,10536
9958,98,10056
9958,98,10056
10330,1362,11692
11114,98,11212
10330,1362,11692
10330,272,10602
11114,98,11212
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,102,11216
10330,1362,11692
10330,1362,11692
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,98,11212
11114,98,11212
10330,272,10602
10330,1362,11692
11114,98,11212
11114,98,11212
11486,1362,12848
12270,98,12368
11486,1362,12848
12270,102,12372
11486,1362,12848
12270,98,12368
11486,1362,12848
12270,98,12368
11486,1362,12848
12270,102,12372
11486,1362,12848
11486,1362,12848
11486,1362,12848
12270,102,12372
11486,1362,12848
12270,98,12368
12270,98,12368
12270,102,12372
11486,1353,12839
11486,276,11762
12270,98,12368
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,102,13528
12642,1362,14004
13426,102,13528
12642,1362,14004
13426,102,13528
12642,1362,14004
13426,98,13524
12642,1362,14004
12642,1362,14004
12642,1362,14004
13426,98,13524
13426,98,13524
12642,1091,13733
12642,1091,13733
12642,276,12918
13426,102,13528
13798,1362,15160
14582,98,14680
13798,1362,15160
14582,98,14680
13798,1362,15160
14582,98,14680
13798,1362,15160
14582,102,14684
13798,1353,15151
13798,276,14074
14582,98,14680
13798,1362,15160
13798,1362,15160
13798,1362,15160
14582,98,14680
13798,1362,15160
13798,1362,15160
14582,98,14680
14582,98,14680
14582,98,14680
14582,102,14684
14954,1362,16316
15738,102,15840
14954,1362,16316
15738,98,15836
14954,1362,16316
14954,276,15230
15738,102,15840
14954,1362,16316
15738,98,15836
14954,1362,16316
14954,276,15230
14954,272,15226
14954,274,15228
15738,98,15836
14954,1362,16316
14954,1362,16316
14954,1362,16316
15738,98,15836
14954,1362,16316
15738,98,15836
14954,549,15503
14954,1362,16316
14954,274,15228
15738,98,15836
15738,98,15836
14954,307,15261
15738,102,15840
