candidate_evaluations,hypervolume_contributions
"[{'F1': 0.38, 'F2': 4.9}, {'F1': 0.41, 'F2': 5.1}, {'F1': 0.4, 'F2': 5.05}, {'F1': 0.39, 'F2': 4.95}, {'F1': 0.42, 'F2': 5.15}]","[0.3147518833275731, 0.022776500447200698, 0.06254254603387954, 0.1867979479845101, 0.0014334659936561245]"
"[{'F1': 0.5, 'F2': 5.0}, {'F1': 0.25, 'F2': 4.0}, {'F1': 0.35, 'F2': 4.5}, {'F1': 0.4, 'F2': 5.0}, {'F1': 0.1, 'F2': 2.0}]","[0.0, 0.0, 0.0, 0.0, 0.5014882033924607]"
"[{'F1': 0.15, 'F2': 2.5}, {'F1': 0.18, 'F2': 2.8}, {'F1': 0.3, 'F2': 3.5}, {'F1': 0.35, 'F2': 4.0}, {'F1': 0.25, 'F2': 3.2}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.2, 'F2': 3.0}, {'F1': 0.12, 'F2': 2.2}, {'F1': 0.18, 'F2': 2.8}, {'F1': 0.15, 'F2': 2.5}, {'F1': 0.22, 'F2': 3.2}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.3, 'F2': 3.5}, {'F1': 0.15, 'F2': 2.1}, {'F1': 0.4, 'F2': 4.5}, {'F1': 0.2, 'F2': 2.5}, {'F1': 0.1, 'F2': 2.0}]","[0.0, 0.0, 0.0, 0.0, 0.016775353133976934]"
"[{'F1': 0.12, 'F2': 2.11}, {'F1': 0.15, 'F2': 2.25}, {'F1': 0.4, 'F2': 4.75}, {'F1': 0.25, 'F2': 2.35}, {'F1': 0.3, 'F2': 3.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.75, 'F2': 6.0}, {'F1': 0.25, 'F2': 3.0}, {'F1': 0.55, 'F2': 5.5}, {'F1': 0.05, 'F2': 2.0}, {'F1': 0.05, 'F2': 2.0}]","[0.0, 0.0, 0.0, 0.0016249770092564564, 0.0016249770092564564]"
"[{'F1': 0.03, 'F2': 1.75}, {'F1': 0.06, 'F2': 2.25}, {'F1': 0.12, 'F2': 2.05}, {'F1': 0.2, 'F2': 2.5}, {'F1': 0.15, 'F2': 3.5}]","[0.017636225698301367, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.25, 'F2': 2.4}, {'F1': 0.3, 'F2': 2.7}, {'F1': 0.1, 'F2': 2.05}, {'F1': 0.15, 'F2': 2.2}, {'F1': 0.05, 'F2': 1.9}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.35, 'F2': 3.65}, {'F1': 0.45, 'F2': 4.5}, {'F1': 0.1, 'F2': 2.1}, {'F1': 0.25, 'F2': 3.0}, {'F1': 0.02, 'F2': 1.0}]","[0.0, 0.0, 0.0, 0.0, 0.09871839644026048]"
