configs,runtime_traj,F1,F2
"{'x0': 0.1112950617947643, 'x1': 0.9636433581999968, 'x2': 0.3263095321512841, 'x3': 0.7601501826703767, 'x4': 0.7259237041591876, 'x5': 0.7701873147495188, 'x6': 0.9805193127785988, 'x7': 0.7425620226332798, 'x8': 0.6328077544179443, 'x9': 0.6298916612451773, 'x10': 0.6437975428454321, 'x11': 0.6128999706889496, 'x12': 0.928534140634749, 'x13': 0.1521995472379644, 'x14': 0.136658334826459, 'x15': 0.893649341658202, 'x16': 0.7973725473837981, 'x17': 0.3819825557966194, 'x18': 0.7936808464375584, 'x19': 0.489595223111371, 'x20': 0.4760420711453479, 'x21': 0.0647815819112496, 'x22': 0.0168037919916884, 'x23': 0.3159281208588319, 'x24': 0.7498990987966829, 'x25': 0.6541340741656126, 'x26': 0.3762529315742502, 'x27': 0.7325990789175969, 'x28': 0.1483621732667556, 'x29': 0.141875387258008, 'problem': 'zdt3'}",15.104153530000076,0.111,5.201
"{'x0': 0.0746821932139553, 'x1': 0.1781578236340689, 'x2': 0.1008865562154589, 'x3': 0.8023478802669375, 'x4': 0.5965355918192788, 'x5': 0.0604224396131884, 'x6': 0.735622418348195, 'x7': 0.0392411656541097, 'x8': 0.1965563704355986, 'x9': 0.6019448144719232, 'x10': 0.9203388740638648, 'x11': 0.0748734215858, 'x12': 0.9812623582775802, 'x13': 0.2646325395912944, 'x14': 0.9961291277799978, 'x15': 0.7573860366256429, 'x16': 0.4581936697422032, 'x17': 0.8998444519831703, 'x18': 0.3409552449022407, 'x19': 0.5468521022237114, 'x20': 0.7877212610373815, 'x21': 0.0143296175280368, 'x22': 0.0259621149081071, 'x23': 0.6824497531448627, 'x24': 0.3932679283065101, 'x25': 0.1155777796595274, 'x26': 0.1618489871176032, 'x27': 0.8639258201168584, 'x28': 0.0014593258569099, 'x29': 0.9740709027316644, 'problem': 'zdt3'}",30.143182919000537,0.075,4.535
"{'x0': 0.5572095610047523, 'x1': 0.8284808412197936, 'x2': 0.8571855731057998, 'x3': 0.0580545626922331, 'x4': 0.867975620353216, 'x5': 0.967066057792552, 'x6': 0.8999745431837333, 'x7': 0.9274014548883128, 'x8': 0.667523666723061, 'x9': 0.5544584876256142, 'x10': 0.2306736160454313, 'x11': 0.1711050173991978, 'x12': 0.8500296481591413, 'x13': 0.1939161090547453, 'x14': 0.1763953765166449, 'x15': 0.9957638529049296, 'x16': 0.910547516265485, 'x17': 0.1348429905817085, 'x18': 0.60567183955069, 'x19': 0.7233211983367898, 'x20': 0.1964507948918715, 'x21': 0.7362495426662884, 'x22': 0.8673947276421613, 'x23': 0.2753482482313304, 'x24': 0.1661627815625925, 'x25': 0.60551444474203, 'x26': 0.0485576260950316, 'x27': 0.6594952847634307, 'x28': 0.9179027958494204, 'x29': 0.0774327495047307, 'problem': 'zdt3'}",45.19026818800012,0.557,4.73
"{'x0': 0.0483229822915608, 'x1': 0.5931908318292138, 'x2': 0.5779820984935238, 'x3': 0.7339624651045866, 'x4': 0.2581568943052744, 'x5': 0.360504294979991, 'x6': 0.2508465749437073, 'x7': 0.7730568968855779, 'x8': 0.7212971275278356, 'x9': 0.1471992017257944, 'x10': 0.6709847246277876, 'x11': 0.3040986776277181, 'x12': 0.9733552958765468, 'x13': 0.8898293673174322, 'x14': 0.206790492219334, 'x15': 0.210752271829919, 'x16': 0.6065854381684144, 'x17': 0.9963019637339168, 'x18': 0.899371652550324, 'x19': 0.0189979294507622, 'x20': 0.7072507503921143, 'x21': 0.7071295666850187, 'x22': 0.3113315168632704, 'x23': 0.9653383363000252, 'x24': 0.5618874976672796, 'x25': 0.4350570737942252, 'x26': 0.3621610891169545, 'x27': 0.1311109915026301, 'x28': 0.2807934866340948, 'x29': 0.9228677029594242, 'problem': 'zdt3'}",60.22967932000029,0.048,5.255
"{'x0': 0.5712959473933383, 'x1': 0.3872370391407199, 'x2': 0.2152449159234944, 'x3': 0.660947578556485, 'x4': 0.0412807312421252, 'x5': 0.9735414153278136, 'x6': 0.9132804372581972, 'x7': 0.621431552737517, 'x8': 0.3418055558799786, 'x9': 0.1619732455994248, 'x10': 0.5524865702572951, 'x11': 0.2464824290603168, 'x12': 0.9903465651412086, 'x13': 0.9241761914582572, 'x14': 0.2000851394460744, 'x15': 0.0085404756655307, 'x16': 0.8569503500199653, 'x17': 0.5124206894285311, 'x18': 0.2624620901277932, 'x19': 0.6488074325530323, 'x20': 0.3532101614926685, 'x21': 0.6392133977797547, 'x22': 0.572220829939868, 'x23': 0.5017081066559304, 'x24': 0.9869652082980253, 'x25': 0.637050203231823, 'x26': 0.1171764356879734, 'x27': 0.5906593947202166, 'x28': 0.3046112735179026, 'x29': 0.7536485520457866, 'problem': 'zdt3'}",75.27517257399995,0.571,4.3
"{'x0': 0.5158613956258143, 'x1': 0.6855006552769388, 'x2': 0.6146327696688008, 'x3': 0.5132645816006564, 'x4': 0.3506459413858488, 'x5': 0.7891020605088519, 'x6': 0.1976100993694503, 'x7': 0.0286758064678572, 'x8': 0.6812115225232164, 'x9': 0.4567749199944051, 'x10': 0.4442396038857482, 'x11': 0.1606492527029644, 'x12': 0.7028931813540714, 'x13': 0.779442980754676, 'x14': 0.1480915269936503, 'x15': 0.1563074177980216, 'x16': 0.4477625918445493, 'x17': 0.0216966829256907, 'x18': 0.9807107323234896, 'x19': 0.514763085415052, 'x20': 0.7419668487509006, 'x21': 0.3936057128506137, 'x22': 0.8327516602458025, 'x23': 0.7828281390533027, 'x24': 0.3307620058755866, 'x25': 0.0406538040193619, 'x26': 0.6188487050447489, 'x27': 0.505929007009449, 'x28': 0.0275325328127101, 'x29': 0.0506694761297226, 'problem': 'zdt3'}",90.31300264600031,0.516,3.669
"{'x0': 0.3123735987239727, 'x1': 0.7720104553695022, 'x2': 0.2606234911092749, 'x3': 0.6103408575520952, 'x4': 0.4365182387364159, 'x5': 0.402473673977666, 'x6': 0.0877629128290662, 'x7': 0.3817081077613511, 'x8': 0.2870641859949195, 'x9': 0.1051709227825118, 'x10': 0.0807880370963926, 'x11': 0.8671181008976369, 'x12': 0.3271959990859591, 'x13': 0.1198489680720977, 'x14': 0.3867772510179647, 'x15': 0.4348968635808654, 'x16': 0.142435143465696, 'x17': 0.4974125581464307, 'x18': 0.7303471077005956, 'x19': 0.6048227354213148, 'x20': 0.4214774368143889, 'x21': 0.2509533329011294, 'x22': 0.527933007737066, 'x23': 0.9629624898775332, 'x24': 0.766362769024321, 'x25': 0.920392258582858, 'x26': 0.7715874349882876, 'x27': 0.2873342990772787, 'x28': 0.975205817379042, 'x29': 0.7411891292656339, 'problem': 'zdt3'}",105.36419102699983,0.312,4.215
"{'x0': 0.7085137438818426, 'x1': 0.817772013765357, 'x2': 0.2019382724519058, 'x3': 0.8312274545157132, 'x4': 0.3806506503859106, 'x5': 0.0815720704960234, 'x6': 0.2850325392381846, 'x7': 0.9572916546091254, 'x8': 0.9796784519816836, 'x9': 0.1831750915734498, 'x10': 0.8486976432109244, 'x11': 0.1986095798351769, 'x12': 0.7266482106018027, 'x13': 0.5183147764657753, 'x14': 0.4060148555295955, 'x15': 0.471816627169318, 'x16': 0.6101676048192067, 'x17': 0.5863132418068856, 'x18': 0.2480029413187504, 'x19': 0.1298773035937992, 'x20': 0.4223475081536929, 'x21': 0.1774790500408793, 'x22': 0.6063506136531903, 'x23': 0.9133273701170068, 'x24': 0.4447940459363437, 'x25': 0.1432925891986286, 'x26': 0.7800970484589043, 'x27': 0.0631738042228192, 'x28': 0.1614814382324909, 'x29': 0.7024862164651432, 'problem': 'zdt3'}",120.40423781699974,0.709,3.555
"{'x0': 0.3858223941866749, 'x1': 0.0986141001741653, 'x2': 0.2671619092028801, 'x3': 0.7297646075821504, 'x4': 0.8946623162655892, 'x5': 0.3132056463252107, 'x6': 0.4885736142233455, 'x7': 0.2407061004696004, 'x8': 0.9923454153891742, 'x9': 0.2645994529252918, 'x10': 0.1648969707936912, 'x11': 0.0114799248156445, 'x12': 0.4134714877805018, 'x13': 0.2177027300305125, 'x14': 0.4995080624712151, 'x15': 0.5614757669453664, 'x16': 0.7127588988239365, 'x17': 0.6078825738577428, 'x18': 0.0197996699231733, 'x19': 0.2072688870655324, 'x20': 0.8051440625301627, 'x21': 0.9361612073317348, 'x22': 0.7116734732566644, 'x23': 0.6693197445206207, 'x24': 0.2328484996112529, 'x25': 0.6989333165695987, 'x26': 0.8138668590983329, 'x27': 0.6138132710187896, 'x28': 0.4283453015570164, 'x29': 0.3367520607552063, 'problem': 'zdt3'}",135.44550209299996,0.386,4.062
"{'x0': 0.4661098824345127, 'x1': 0.1934971277089082, 'x2': 0.6221624017656434, 'x3': 0.4321637961162448, 'x4': 0.2361803551587948, 'x5': 0.9374916771899467, 'x6': 0.853992255971828, 'x7': 0.9563394952570996, 'x8': 0.9310024181904422, 'x9': 0.4437208760339148, 'x10': 0.1301661809046407, 'x11': 0.4215241679001231, 'x12': 0.8384090664561051, 'x13': 0.6491218976389777, 'x14': 0.7841573590951446, 'x15': 0.3918407035168104, 'x16': 0.5861585729594478, 'x17': 0.4815023662386368, 'x18': 0.0493576258184972, 'x19': 0.9695203548958704, 'x20': 0.3638449250382677, 'x21': 0.1845782100293695, 'x22': 0.2853566938478458, 'x23': 0.7515586782661756, 'x24': 0.8666722011930086, 'x25': 0.5703801918636314, 'x26': 0.0317666100370137, 'x27': 0.533864391850372, 'x28': 0.1403511718410557, 'x29': 0.8701390861717673, 'problem': 'zdt3'}",150.496100802,0.466,3.759
