prompt_tokens,completion_tokens,total_tokens
473,1362,1835
2786,1362,4148
2871,92,2963
2871,98,2969
2871,92,2963
2871,92,2963
2871,98,2969
3075,1361,4436
3160,98,3258
3160,98,3258
3160,97,3257
3160,92,3252
3160,98,3258
3364,1362,4726
3449,98,3547
3449,98,3547
3449,92,3541
3449,98,3547
3449,92,3541
3653,1362,5015
3738,92,3830
3738,98,3836
3738,98,3836
3738,98,3836
3738,98,3836
3942,1362,5304
4027,98,4125
4027,98,4125
4027,98,4125
4027,98,4125
4027,92,4119
4231,1362,5593
4316,98,4414
4316,98,4414
4316,98,4414
4316,98,4414
4316,98,4414
4520,1362,5882
4605,98,4703
4605,98,4703
4605,92,4697
4605,98,4703
4605,92,4697
4809,1362,6171
4894,98,4992
4894,102,4996
4894,92,4986
4894,92,4986
4894,98,4992
5098,1362,6460
5183,91,5274
5183,98,5281
5183,98,5281
5183,92,5275
5183,98,5281
5387,1362,6749
5387,272,5659
5472,97,5569
5472,98,5570
5472,92,5564
5472,98,5570
5472,92,5564
5676,1362,7038
5676,272,5948
5761,98,5859
5761,92,5853
5761,92,5853
5761,92,5853
5761,98,5859
5965,1362,7327
5965,549,6514
5965,272,6237
5965,272,6237
6050,92,6142
6050,98,6148
6050,102,6152
6050,98,6148
6050,98,6148
6254,1362,7616
6339,98,6437
6339,98,6437
6339,101,6440
6339,98,6437
6339,92,6431
6543,1362,7905
6543,272,6815
6628,92,6720
6628,92,6720
6628,98,6726
6628,98,6726
6628,92,6720
6832,1361,8193
6917,92,7009
6917,98,7015
6917,92,7009
6917,92,7009
6917,98,7015
7121,1362,8483
7121,820,7941
7206,98,7304
7206,98,7304
7206,98,7304
7206,98,7304
7206,98,7304
7410,1353,8763
7495,98,7593
7495,98,7593
7486,98,7584
7495,98,7593
7495,98,7593
7699,1362,9061
7784,98,7882
7784,98,7882
7784,98,7882
7784,98,7882
7784,98,7882
7988,1362,9350
7988,272,8260
7988,271,8259
8073,98,8171
8073,92,8165
8073,92,8165
8073,92,8165
8073,98,8171
8277,1362,9639
8362,98,8460
8362,92,8454
8362,98,8460
8362,102,8464
8362,98,8460
8566,1362,9928
8566,546,9112
8651,92,8743
8651,98,8749
8651,92,8743
8651,98,8749
8651,98,8749
8855,1362,10217
8940,102,9042
8940,98,9038
8940,92,9032
8940,98,9038
8940,97,9037
9144,1353,10497
9144,272,9416
9229,98,9327
9229,98,9327
