candidate_evaluations,hypervolume_contributions
"[{'F1': 0.6, 'F2': 4.576}, {'F1': 0.2, 'F2': 3.671}, {'F1': 0.7, 'F2': 4.853}, {'F1': 0.33, 'F2': 3.778}, {'F1': 0.15, 'F2': 4.065}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.4, 'F2': 3.76}, {'F1': 0.15, 'F2': 4.873}, {'F1': 0.2, 'F2': 4.321}, {'F1': 0.3, 'F2': 3.987}, {'F1': 0.7, 'F2': 3.39}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.01, 'F2': 1.879}, {'F1': 0.665, 'F2': 4.263}, {'F1': 0.438, 'F2': 4.244}, {'F1': 0.307, 'F2': 3.896}, {'F1': 0.726, 'F2': 4.727}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.2, 'F2': 2.867}, {'F1': 0.45, 'F2': 3.842}, {'F1': 0.7, 'F2': 3.271}, {'F1': 0.15, 'F2': 2.561}, {'F1': 0.3, 'F2': 3.135}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.9, 'F2': 5.068}, {'F1': 0.7, 'F2': 4.061}, {'F1': 0.25, 'F2': 3.842}, {'F1': 0.1, 'F2': 3.455}, {'F1': 0.33, 'F2': 4.2}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.33, 'F2': 4.267}, {'F1': 0.05, 'F2': 2.511}, {'F1': 0.1, 'F2': 3.213}, {'F1': 0.21, 'F2': 3.915}, {'F1': 0.7, 'F2': 3.654}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.15, 'F2': 3.36}, {'F1': 0.4, 'F2': 3.77}, {'F1': 0.05, 'F2': 2.24}, {'F1': 0.25, 'F2': 4.28}, {'F1': 0.7, 'F2': 3.38}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.21, 'F2': 3.76}, {'F1': 0.1, 'F2': 3.26}, {'F1': 0.02, 'F2': 5.37}, {'F1': 0.3, 'F2': 4.01}, {'F1': 0.5, 'F2': 3.6}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.25, 'F2': 3.726}, {'F1': 0.8, 'F2': 3.06}, {'F1': 0.3, 'F2': 4.426}, {'F1': 0.25, 'F2': 3.977}, {'F1': 0.7, 'F2': 3.388}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.12, 'F2': 4.417}, {'F1': 0.25, 'F2': 3.961}, {'F1': 0.7, 'F2': 3.674}, {'F1': 0.6, 'F2': 3.512}, {'F1': 0.02, 'F2': 2.613}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.25, 'F2': 4.268}, {'F1': 0.7, 'F2': 3.57}, {'F1': 0.1, 'F2': 3.842}, {'F1': 0.05, 'F2': 4.83}, {'F1': 0.3, 'F2': 4.466}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.3, 'F2': 3.76}, {'F1': 0.7, 'F2': 4.15}, {'F1': 0.05, 'F2': 2.48}, {'F1': 0.1, 'F2': 4.62}, {'F1': 0.2, 'F2': 3.65}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.01, 'F2': 2.281}, {'F1': 0.05, 'F2': 3.842}, {'F1': 0.1, 'F2': 4.617}, {'F1': 0.2, 'F2': 3.613}, {'F1': 0.7, 'F2': 3.271}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.1, 'F2': 4.56}, {'F1': 0.9, 'F2': 2.87}, {'F1': 0.05, 'F2': 3.81}, {'F1': 0.4, 'F2': 4.08}, {'F1': 0.2, 'F2': 4.21}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.08, 'F2': 4.761}, {'F1': 0.2, 'F2': 3.613}, {'F1': 0.51, 'F2': 3.926}, {'F1': 0.3, 'F2': 4.255}, {'F1': 0.18, 'F2': 4.184}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.18, 'F2': 4.417}, {'F1': 0.7, 'F2': 3.686}, {'F1': 0.05, 'F2': 5.071}, {'F1': 0.2, 'F2': 3.421}, {'F1': 0.02, 'F2': 2.134}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.3, 'F2': 4.106}, {'F1': 0.2, 'F2': 3.613}, {'F1': 0.05, 'F2': 4.912}, {'F1': 0.4, 'F2': 4.044}, {'F1': 0.15, 'F2': 4.867}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.25, 'F2': 4.011}, {'F1': 0.1, 'F2': 2.281}, {'F1': 0.05, 'F2': 2.066}, {'F1': 0.02, 'F2': 5.133}, {'F1': 0.4, 'F2': 3.227}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.2, 'F2': 3.667}, {'F1': 0.1, 'F2': 2.603}, {'F1': 0.3, 'F2': 4.106}, {'F1': 0.7, 'F2': 4.822}, {'F1': 0.05, 'F2': 2.221}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.3, 'F2': 4.106}, {'F1': 0.08, 'F2': 4.912}, {'F1': 0.18, 'F2': 3.972}, {'F1': 0.7, 'F2': 3.453}, {'F1': 0.2, 'F2': 3.613}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.05, 'F2': 5.321}, {'F1': 0.4, 'F2': 3.728}, {'F1': 0.02, 'F2': 2.113}, {'F1': 0.15, 'F2': 4.275}, {'F1': 0.2, 'F2': 3.561}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.45, 'F2': 4.011}, {'F1': 0.02, 'F2': 5.113}, {'F1': 0.15, 'F2': 4.287}, {'F1': 0.08, 'F2': 4.987}, {'F1': 0.22, 'F2': 3.825}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.01, 'F2': 5.266}, {'F1': 0.2, 'F2': 3.952}, {'F1': 0.77, 'F2': 4.098}, {'F1': 0.1, 'F2': 4.481}, {'F1': 0.4, 'F2': 3.813}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.01, 'F2': 5.411}, {'F1': 0.1, 'F2': 4.617}, {'F1': 0.2, 'F2': 3.613}, {'F1': 0.9, 'F2': 2.992}, {'F1': 0.5, 'F2': 3.842}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.1, 'F2': 4.617}, {'F1': 0.05, 'F2': 2.281}, {'F1': 0.25, 'F2': 4.466}, {'F1': 0.8, 'F2': 3.271}, {'F1': 0.3, 'F2': 3.778}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.9, 'F2': 3.063}, {'F1': 0.05, 'F2': 5.019}, {'F1': 0.2, 'F2': 3.67}, {'F1': 0.01, 'F2': 5.379}, {'F1': 0.4, 'F2': 3.914}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.364, 'F2': 4.257}, {'F1': 0.495, 'F2': 3.961}, {'F1': 0.703, 'F2': 3.068}, {'F1': 0.25, 'F2': 3.842}, {'F1': 0.147, 'F2': 4.563}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.05, 'F2': 5.059}, {'F1': 0.2, 'F2': 3.613}, {'F1': 0.15, 'F2': 4.344}, {'F1': 0.3, 'F2': 4.466}, {'F1': 0.6, 'F2': 3.271}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.05, 'F2': 4.912}, {'F1': 0.01, 'F2': 5.411}, {'F1': 0.25, 'F2': 3.437}, {'F1': 0.12, 'F2': 2.652}, {'F1': 0.3, 'F2': 3.751}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.15, 'F2': 4.376}, {'F1': 0.3, 'F2': 3.763}, {'F1': 0.02, 'F2': 5.112}, {'F1': 0.4, 'F2': 3.981}, {'F1': 0.2, 'F2': 4.024}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
