x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.1,0.2,0.3,0.4,0.5,0.6,0.7
0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.05,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95
0.6,0.2,0.8,0.1,0.7,0.3,0.9,0.05,0.6,0.4,0.5,0.15,0.75,0.25,0.85,0.01,0.6,0.3,0.9,0.01,0.7,0.4,0.5,0.2,0.8,0.1,0.7,0.3,0.9,0.1
0.35,0.65,0.15,0.85,0.25,0.75,0.05,0.95,0.3,0.7,0.1,0.8,0.2,0.9,0.3,0.7,0.1,0.8,0.2,0.9,0.3,0.7,0.1,0.8,0.2,0.9,0.3,0.7,0.1,0.8
0.4,0.6,0.2,0.8,0.4,0.6,0.2,0.8,0.4,0.6,0.2,0.8,0.4,0.6,0.2,0.8,0.4,0.6,0.2,0.8,0.4,0.6,0.2,0.8,0.4,0.6,0.2,0.8,0.4,0.6
0.4,0.1,0.9,0.2,0.7,0.3,0.8,0.4,0.6,0.5,0.2,0.1,0.7,0.4,0.9,0.3,0.8,0.5,0.6,0.7,0.8,0.9,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2,0.21,0.22,0.23,0.24,0.25,0.26,0.27,0.28,0.29,0.3
