F1,F2
0.0,1.0
1.0,6.838
0.0,5.655
1.0,3.033
0.5,3.842
0.2,4.367
0.4,3.244
0.3,4.133
0.3,3.999
0.6,3.658
0.05,3.636
0.25,3.237
0.15,4.497
0.45,2.178
0.01,2.281
0.33,4.466
0.7,2.557
0.11,4.869
0.2,4.199
0.75,3.48
0.9,3.176
0.05,4.852
0.1,2.355
0.1,4.874
0.3,3.697
0.2,4.535
0.15,4.591
0.1,4.536
0.07,5.046
0.22,3.939
0.5,1.183
0.3,3.699
0.01,5.411
0.05,5.059
0.25,3.58
0.7,3.487
0.02,5.301
0.5,3.815
0.2,3.602
0.1,1.907
0.1,4.556
0.7,3.372
0.08,4.912
0.03,3.954
0.1,1.439
0.9,1.237
0.02,3.59
0.5,1.242
0.05,7.614
0.01,7.206
0.05,4.719
0.4,3.923
0.2,6.049
0.2,6.263
0.05,3.176
0.05,1.131
0.5,3.723
0.4,3.912
0.01,2.599
0.1,3.183
0.1,4.536
0.1,4.657
0.1,3.477
0.15,4.841
0.1,1.437
0.05,4.822
0.05,4.719
0.3,4.136
0.01,3.849
0.2,3.09
0.08,4.411
0.2,2.703
0.01,5.366
0.05,4.424
0.1,4.874
0.08,4.423
0.25,4.011
0.2,5.844
0.2,4.263
0.05,4.869
0.02,4.916
0.2,3.311
0.01,5.354
0.05,3.615
0.01,5.083
0.01,5.369
0.08,4.126
0.2,2.27
0.01,5.29
0.05,4.527
0.1,1.966
0.01,5.156
0.05,4.719
0.01,5.159
0.7,3.362
0.02,2.495
0.2,2.24
0.1,3.463
0.15,4.117
0.2,3.338
