surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.6, 'F2': 4.576}","{'F1': 0.6, 'F2': 3.271}"
"{'F1': 0.4, 'F2': 3.76}","{'F1': 0.4, 'F2': 4.044}"
"{'F1': 0.01, 'F2': 1.879}","{'F1': 0.01, 'F2': 2.281}"
"{'F1': 0.2, 'F2': 2.867}","{'F1': 0.2, 'F2': 3.613}"
"{'F1': 0.9, 'F2': 5.068}","{'F1': 0.9, 'F2': 2.992}"
"{'F1': 0.33, 'F2': 4.267}","{'F1': 0.33, 'F2': 4.466}"
"{'F1': 0.15, 'F2': 3.36}","{'F1': 0.15, 'F2': 4.344}"
"{'F1': 0.21, 'F2': 3.76}","{'F1': 0.21, 'F2': 4.139}"
"{'F1': 0.25, 'F2': 3.726}","{'F1': 0.1, 'F2': 4.617}"
"{'F1': 0.12, 'F2': 4.417}","{'F1': 0.12, 'F2': 4.867}"
"{'F1': 0.25, 'F2': 4.268}","{'F1': 0.25, 'F2': 3.897}"
"{'F1': 0.3, 'F2': 3.76}","{'F1': 0.3, 'F2': 4.106}"
"{'F1': 0.01, 'F2': 2.281}","{'F1': 0.01, 'F2': 5.411}"
"{'F1': 0.1, 'F2': 4.56}","{'F1': 0.1, 'F2': 2.652}"
"{'F1': 0.08, 'F2': 4.761}","{'F1': 0.08, 'F2': 4.912}"
"{'F1': 0.18, 'F2': 4.417}","{'F1': 0.18, 'F2': 3.972}"
"{'F1': 0.3, 'F2': 4.106}","{'F1': 0.3, 'F2': 3.751}"
"{'F1': 0.25, 'F2': 4.011}","{'F1': 0.25, 'F2': 3.437}"
"{'F1': 0.2, 'F2': 3.667}","{'F1': 0.2, 'F2': 4.535}"
"{'F1': 0.3, 'F2': 4.106}","{'F1': 0.3, 'F2': 3.778}"
"{'F1': 0.05, 'F2': 5.321}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.45, 'F2': 4.011}","{'F1': 0.45, 'F2': 3.49}"
"{'F1': 0.01, 'F2': 5.266}","{'F1': 0.01, 'F2': 5.369}"
"{'F1': 0.01, 'F2': 5.411}","{'F1': 0.01, 'F2': 5.411}"
"{'F1': 0.1, 'F2': 4.617}","{'F1': 0.1, 'F2': 4.718}"
"{'F1': 0.9, 'F2': 3.063}","{'F1': 0.9, 'F2': 2.837}"
"{'F1': 0.364, 'F2': 4.257}","{'F1': 0.123, 'F2': 5.317}"
"{'F1': 0.05, 'F2': 5.059}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.05, 'F2': 4.912}","{'F1': 0.05, 'F2': 5.044}"
"{'F1': 0.15, 'F2': 4.376}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.02, 'F2': 5.402}","{'F1': 0.02, 'F2': 5.301}"
"{'F1': 0.7, 'F2': 3.667}","{'F1': 0.7, 'F2': 3.5}"
"{'F1': 0.2, 'F2': 3.613}","{'F1': 0.2, 'F2': 4.367}"
"{'F1': 0.15, 'F2': 4.576}","{'F1': 0.15, 'F2': 4.352}"
"{'F1': 0.8, 'F2': 4.361}","{'F1': 0.8, 'F2': 3.327}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.827}"
"{'F1': 0.1, 'F2': 4.718}","{'F1': 0.1, 'F2': 4.44}"
"{'F1': 0.02, 'F2': 5.301}","{'F1': 0.02, 'F2': 5.301}"
"{'F1': 0.08, 'F2': 4.912}","{'F1': 0.08, 'F2': 4.912}"
"{'F1': 0.15, 'F2': 4.75}","{'F1': 0.15, 'F2': 4.245}"
"{'F1': 0.4, 'F2': 4.044}","{'F1': 0.4, 'F2': 3.99}"
"{'F1': 0.3, 'F2': 3.778}","{'F1': 0.2, 'F2': 4.031}"
"{'F1': 0.5, 'F2': 3.842}","{'F1': 0.5, 'F2': 3.842}"
"{'F1': 0.35, 'F2': 3.91}","{'F1': 0.35, 'F2': 3.963}"
"{'F1': 0.05, 'F2': 5.059}","{'F1': 0.05, 'F2': 4.837}"
"{'F1': 0.1, 'F2': 4.44}","{'F1': 0.1, 'F2': 4.44}"
"{'F1': 0.12, 'F2': 4.867}","{'F1': 0.12, 'F2': 4.81}"
"{'F1': 0.3, 'F2': 4.106}","{'F1': 0.3, 'F2': 3.86}"
"{'F1': 0.2, 'F2': 4.673}","{'F1': 0.2, 'F2': 4.535}"
"{'F1': 0.11, 'F2': 4.961}","{'F1': 0.11, 'F2': 4.869}"
"{'F1': 0.05, 'F2': 5.059}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.42, 'F2': 3.87}","{'F1': 0.42, 'F2': 3.755}"
"{'F1': 0.02, 'F2': 5.301}","{'F1': 0.02, 'F2': 5.301}"
"{'F1': 0.3, 'F2': 3.778}","{'F1': 0.3, 'F2': 3.806}"
"{'F1': 0.18, 'F2': 4.876}","{'F1': 0.18, 'F2': 4.701}"
"{'F1': 0.02, 'F2': 5.301}","{'F1': 0.01, 'F2': 5.411}"
"{'F1': 0.15, 'F2': 5.059}","{'F1': 0.15, 'F2': 4.827}"
"{'F1': 0.4, 'F2': 3.99}","{'F1': 0.4, 'F2': 3.883}"
"{'F1': 0.21, 'F2': 4.617}","{'F1': 0.21, 'F2': 4.442}"
"{'F1': 0.01, 'F2': 5.411}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.05, 'F2': 5.021}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.25, 'F2': 4.535}","{'F1': 0.25, 'F2': 4.147}"
"{'F1': 0.07, 'F2': 5.03}","{'F1': 0.07, 'F2': 4.949}"
"{'F1': 0.1, 'F2': 4.44}","{'F1': 0.1, 'F2': 4.874}"
"{'F1': 0.1, 'F2': 4.617}","{'F1': 0.1, 'F2': 4.663}"
"{'F1': 0.2, 'F2': 4.031}","{'F1': 0.2, 'F2': 4.115}"
"{'F1': 0.05, 'F2': 5.044}","{'F1': 0.05, 'F2': 5.044}"
"{'F1': 0.2, 'F2': 4.535}","{'F1': 0.2, 'F2': 4.535}"
"{'F1': 0.1, 'F2': 5.059}","{'F1': 0.1, 'F2': 4.845}"
"{'F1': 0.2, 'F2': 4.367}","{'F1': 0.2, 'F2': 4.451}"
"{'F1': 0.3, 'F2': 3.778}","{'F1': 0.3, 'F2': 5.815}"
"{'F1': 0.38, 'F2': 3.755}","{'F1': 0.38, 'F2': 4.31}"
"{'F1': 0.05, 'F2': 5.059}","{'F1': 0.05, 'F2': 5.014}"
"{'F1': 0.1, 'F2': 4.874}","{'F1': 0.1, 'F2': 4.874}"
"{'F1': 0.056, 'F2': 5.02}","{'F1': 0.1, 'F2': 4.758}"
"{'F1': 0.3, 'F2': 3.86}","{'F1': 0.3, 'F2': 4.27}"
"{'F1': 0.25, 'F2': 4.147}","{'F1': 0.25, 'F2': 4.147}"
"{'F1': 0.1, 'F2': 4.663}","{'F1': 0.1, 'F2': 4.758}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.05, 'F2': 5.014}","{'F1': 0.05, 'F2': 4.999}"
"{'F1': 0.25, 'F2': 4.147}","{'F1': 0.25, 'F2': 4.147}"
"{'F1': 0.35, 'F2': 3.963}","{'F1': 0.35, 'F2': 4.354}"
"{'F1': 0.02, 'F2': 5.301}","{'F1': 0.02, 'F2': 5.301}"
"{'F1': 0.3, 'F2': 4.27}","{'F1': 0.3, 'F2': 4.27}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.1, 'F2': 4.758}","{'F1': 0.1, 'F2': 4.758}"
"{'F1': 0.2, 'F2': 4.946}","{'F1': 0.2, 'F2': 4.521}"
"{'F1': 0.05, 'F2': 5.059}","{'F1': 0.05, 'F2': 5.044}"
"{'F1': 0.05, 'F2': 5.044}","{'F1': 0.05, 'F2': 5.044}"
"{'F1': 0.7, 'F2': 3.5}","{'F1': 0.7, 'F2': 3.487}"
"{'F1': 0.1, 'F2': 4.44}","{'F1': 0.1, 'F2': 4.845}"
"{'F1': 0.18, 'F2': 4.701}","{'F1': 0.18, 'F2': 4.701}"
"{'F1': 0.2, 'F2': 4.115}","{'F1': 0.2, 'F2': 4.115}"
"{'F1': 0.35, 'F2': 4.147}","{'F1': 0.35, 'F2': 4.503}"
