candidate_evaluations,hypervolume_contributions
"[{'F1': 0.342, 'F2': 4.253}, {'F1': 0.617, 'F2': 4.013}, {'F1': 0.287, 'F2': 4.211}, {'F1': 0.491, 'F2': 4.16}, {'F1': 0.47, 'F2': 4.021}]","[0.006315668174385003, 0.0, 0.03270423415581336, 0.0, 0.0]"
"[{'F1': 0.25, 'F2': 4.367}, {'F1': 0.155, 'F2': 4.667}, {'F1': 0.5, 'F2': 4.367}, {'F1': 0.45, 'F2': 4.305}, {'F1': 0.55, 'F2': 4.429}]","[0.0, 0.010162424879945009, 0.0, 0.0, 0.0]"
"[{'F1': 0.7, 'F2': 4.267}, {'F1': 0.1, 'F2': 4.367}, {'F1': 0.5, 'F2': 4.267}, {'F1': 0.25, 'F2': 4.267}, {'F1': 0.33, 'F2': 4.267}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.15, 'F2': 4.426}, {'F1': 0.5, 'F2': 3.661}, {'F1': 0.2, 'F2': 4.652}, {'F1': 0.05, 'F2': 2.234}, {'F1': 0.7, 'F2': 3.563}, {'F1': 0.3, 'F2': 4.484}, {'F1': 0.6, 'F2': 3.822}, {'F1': 0.4, 'F2': 4.279}, {'F1': 0.1, 'F2': 4.825}]","[0.007415700456284702, 0.0, 0.0, 0.023884185450266937, 0.0, 0.0]"
"[{'F1': 0.15, 'F2': 4.426}, {'F1': 0.5, 'F2': 3.661}, {'F1': 0.2, 'F2': 4.652}, {'F1': 0.05, 'F2': 2.234}, {'F1': 0.7, 'F2': 3.563}, {'F1': 0.3, 'F2': 4.484}, {'F1': 0.6, 'F2': 3.822}, {'F1': 0.4, 'F2': 4.279}, {'F1': 0.1, 'F2': 4.825}]","[0.007415700456284702, 0.0, 0.0, 0.023884185450266937, 0.0, 0.0]"
"[{'F1': 0.1, 'F2': 4.667}, {'F1': 0.02, 'F2': 2.041}, {'F1': 0.5, 'F2': 3.563}, {'F1': 0.25, 'F2': 4.159}, {'F1': 0.6, 'F2': 3.883}, {'F1': 0.001, 'F2': 1.61}, {'F1': 0.15, 'F2': 4.306}, {'F1': 0.3, 'F2': 4.11}, {'F1': 0.9, 'F2': 4.02}]","[0.006374937868727004, 0.0, 0.0, 0.0, 0.0, 0.013907273952147747]"
"[{'F1': 0.25, 'F2': 4.276}, {'F1': 0.9, 'F2': 3.51}, {'F1': 0.05, 'F2': 4.306}, {'F1': 0.5, 'F2': 4.072}, {'F1': 0.1, 'F2': 4.623}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.6, 'F2': 3.563}, {'F1': 0.7, 'F2': 3.679}, {'F1': 0.45, 'F2': 4.021}, {'F1': 0.1, 'F2': 4.367}, {'F1': 0.2, 'F2': 4.215}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.01, 'F2': 1.11}, {'F1': 0.2, 'F2': 4.367}, {'F1': 0.5, 'F2': 3.658}, {'F1': 0.45, 'F2': 3.883}, {'F1': 0.1, 'F2': 4.306}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.002, 'F2': 1.021}, {'F1': 0.1, 'F2': 2.631}, {'F1': 0.4, 'F2': 3.012}, {'F1': 0.07, 'F2': 1.367}, {'F1': 0.2, 'F2': 1.803}, {'F1': 0.6, 'F2': 3.268}, {'F1': 0.015, 'F2': 1.083}, {'F1': 0.3, 'F2': 2.208}, {'F1': 0.7, 'F2': 3.421}]","[0.0, 0.0, 0.0, 0.0005333905718951648, 0.0, 0.0]"
"[{'F1': 0.0005, 'F2': 1.04}, {'F1': 0.15, 'F2': 1.848}, {'F1': 0.5, 'F2': 3.226}, {'F1': 0.02, 'F2': 1.397}, {'F1': 0.4, 'F2': 2.424}, {'F1': 0.75, 'F2': 3.826}, {'F1': 0.0001, 'F2': 0.96}, {'F1': 0.3, 'F2': 2.789}, {'F1': 0.85, 'F2': 3.98}]","[0.00021038386998917247, 0.0, 0.0, 0.010847013178158171, 0.0, 0.0]"
"[{'F1': 0.005, 'F2': 1.626}, {'F1': 0.15, 'F2': 1.876}, {'F1': 0.5, 'F2': 3.658}, {'F1': 0.001, 'F2': 0.983}, {'F1': 0.2, 'F2': 2.099}, {'F1': 0.75, 'F2': 3.125}, {'F1': 0.003, 'F2': 1.11}, {'F1': 0.4, 'F2': 2.713}, {'F1': 0.9, 'F2': 3.933}]","[0.0, 0.0, 0.0, 0.00011244779811114824, 0.0, 0.0]"
"[{'F1': 0.02, 'F2': 4.871}, {'F1': 0.1, 'F2': 3.884}, {'F1': 0.5, 'F2': 2.099}, {'F1': 0.4, 'F2': 4.051}, {'F1': 0.21, 'F2': 4.667}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.4, 'F2': 4.016}, {'F1': 0.27, 'F2': 4.14}, {'F1': 0.5, 'F2': 4.364}, {'F1': 0.3, 'F2': 4.052}, {'F1': 0.1, 'F2': 4.653}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.2, 'F2': 4.367}, {'F1': 0.01, 'F2': 4.934}, {'F1': 0.7, 'F2': 3.563}, {'F1': 0.5, 'F2': 3.094}, {'F1': 0.1, 'F2': 4.2}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.0005, 'F2': 1.001}, {'F1': 0.15, 'F2': 4.673}, {'F1': 0.5, 'F2': 4.211}, {'F1': 0.002, 'F2': 1.237}, {'F1': 0.75, 'F2': 3.489}, {'F1': 0.2, 'F2': 4.36}, {'F1': 0.07, 'F2': 2.716}, {'F1': 0.9, 'F2': 3.209}, {'F1': 0.33, 'F2': 4.348}]","[0.0, 0.0, 0.0, 4.509317204082208e-07, 0.0, 0.0]"
"[{'F1': 0.0005, 'F2': 0.977}, {'F1': 0.15, 'F2': 1.876}, {'F1': 0.55, 'F2': 3.394}, {'F1': 0.02, 'F2': 1.237}, {'F1': 0.3, 'F2': 2.099}, {'F1': 0.7, 'F2': 3.563}, {'F1': 0.008, 'F2': 0.98}, {'F1': 0.22, 'F2': 1.963}, {'F1': 0.65, 'F2': 3.48}]","[0.0, 0.0, 0.0, 7.4763732893501356e-06, 0.0, 0.0]"
"[{'F1': 0.1, 'F2': 4.28}, {'F1': 0.5, 'F2': 2.666}, {'F1': 0.0001, 'F2': 0.976}, {'F1': 0.2, 'F2': 4.242}, {'F1': 0.3, 'F2': 4.041}, {'F1': 0.6, 'F2': 3.766}, {'F1': 0.4, 'F2': 4.129}, {'F1': 0.15, 'F2': 1.684}, {'F1': 0.7, 'F2': 3.293}]","[1.0895705523594756e-05, 0.0, 0.0, 0.0, 0.0, 0.0003729608071556534]"
"[{'F1': 0.1, 'F2': 4.28}, {'F1': 0.5, 'F2': 2.666}, {'F1': 0.0001, 'F2': 0.976}, {'F1': 0.2, 'F2': 4.242}, {'F1': 0.3, 'F2': 4.041}, {'F1': 0.6, 'F2': 3.766}, {'F1': 0.4, 'F2': 4.129}, {'F1': 0.15, 'F2': 1.684}, {'F1': 0.7, 'F2': 3.293}]","[1.0895705523594756e-05, 0.0, 0.0, 0.0, 0.0, 0.0003729608071556534]"
"[{'F1': 0.3, 'F2': 4.026}, {'F1': 0.5, 'F2': 1.963}, {'F1': 0.1, 'F2': 3.01}, {'F1': 0.7, 'F2': 3.861}, {'F1': 0.05, 'F2': 2.66}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.1, 'F2': 4.667}, {'F1': 0.01, 'F2': 4.496}, {'F1': 0.7, 'F2': 3.74}, {'F1': 0.2, 'F2': 4.35}, {'F1': 0.5, 'F2': 2.06}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.5, 'F2': 3.761}, {'F1': 0.7, 'F2': 3.853}, {'F1': 0.1, 'F2': 4.785}, {'F1': 0.21, 'F2': 4.287}, {'F1': 0.001, 'F2': 4.856}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.15, 'F2': 1.926}, {'F1': 0.8, 'F2': 3.496}, {'F1': 0.0005, 'F2': 0.977}, {'F1': 0.4, 'F2': 3.609}, {'F1': 0.6, 'F2': 3.943}, {'F1': 0.2, 'F2': 4.367}, {'F1': 0.01, 'F2': 4.594}, {'F1': 0.5, 'F2': 2.941}, {'F1': 0.75, 'F2': 3.236}]","[7.83278192528769e-06, 0.0, 0.0, 0.0, 0.0, 4.3515455141474035e-06]"
"[{'F1': 0.0, 'F2': 0.998}, {'F1': 0.15, 'F2': 4.267}, {'F1': 0.5, 'F2': 3.771}, {'F1': 0.005, 'F2': 0.977}, {'F1': 0.3, 'F2': 4.106}, {'F1': 0.7, 'F2': 3.563}, {'F1': 0.0005, 'F2': 0.977}, {'F1': 0.45, 'F2': 3.966}, {'F1': 0.6, 'F2': 3.658}]","[0.0, 0.0, 3.504486987271349e-06, 0.0, 0.0]"
"[{'F1': 0.001, 'F2': 1.07}, {'F1': 0.15, 'F2': 4.76}, {'F1': 0.5, 'F2': 3.86}, {'F1': 0.001, 'F2': 0.982}, {'F1': 0.07, 'F2': 4.46}, {'F1': 0.25, 'F2': 2.25}, {'F1': 0.0, 'F2': 0.998}, {'F1': 0.3, 'F2': 4.04}, {'F1': 0.6, 'F2': 3.65}]","[0.00034328264270011566, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.5, 'F2': 3.771}, {'F1': 0.3, 'F2': 4.106}, {'F1': 0.2, 'F2': 4.367}, {'F1': 0.05, 'F2': 4.306}, {'F1': 0.01, 'F2': 4.934}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
