F1,F2
0.809,3.125
0.052,5.082
0.356,3.883
0.388,4.11
0.991,3.933
0.2,4.367
0.01,2.281
0.7,3.563
0.005,1.626
0.05,4.306
0.001,1.11
0.25,2.099
0.6,3.658
0.01,0.983
0.002,1.237
0.0,1.004
0.001,0.977
0.02,4.934
0.4,4.189
0.2,4.146
0.001,1.049
0.001,0.982
0.0,0.998
0.0,0.998
0.3,4.106
0.1,4.594
0.5,3.771
0.0,0.991
0.0,0.993
0.0,0.985
0.5,3.797
0.213,4.187
0.21,4.165
0.001,0.979
0.0,0.988
0.0,0.984
0.41,3.898
0.08,4.65
0.55,3.66
0.001,0.98
0.001,0.982
0.001,0.982
0.7,3.461
0.3,4.024
0.4,4.044
0.0,0.989
0.001,0.982
0.0,0.991
0.05,4.852
0.7,3.487
0.1,4.62
0.0,0.988
0.0,0.988
0.001,0.982
0.15,2.663
0.75,4.156
0.2,4.288
0.0,0.985
0.001,0.973
0.0,0.999
0.3,3.204
0.1,4.594
0.2,4.2
0.001,0.981
0.001,0.982
0.0,0.991
0.25,3.903
0.3,4.136
0.2,4.263
0.05,1.119
0.0,0.991
0.0,0.986
0.4,4.124
0.5,3.086
0.01,1.246
0.8,0.659
0.7,0.591
0.5,0.516
0.25,2.101
0.3,2.927
0.5,3.815
0.3,0.629
0.4,0.513
0.3,0.536
0.25,2.096
0.0,1.269
0.05,3.633
0.2,0.635
0.2,0.778
0.45,0.281
0.1,1.464
0.5,2.513
0.3,4.27
0.1,1.018
0.0,0.994
0.35,1.004
0.2,4.076
0.2,0.635
0.2,4.451
0.25,1.29
0.1,0.741
0.15,0.81
0.25,0.373
0.15,4.435
0.1,3.483
0.1,0.805
0.05,0.756
0.01,2.235
0.4,1.25
0.8,0.659
0.01,2.967
0.1,3.294
0.0,0.991
0.0,0.988
0.12,0.806
0.2,0.778
0.4,2.557
0.2,3.186
0.4,0.686
0.001,0.977
0.4,0.928
0.1,0.991
0.001,0.982
0.05,1.128
0.2,1.028
0.0,0.991
0.05,0.951
