fval,trial
"{'F1': 0.7, 'F2': 3.334}",0
"{'F1': 0.01, 'F2': 5.411}",0
"{'F1': 0.2, 'F2': 4.592}",0
"{'F1': 0.75, 'F2': 4.03}",0
"{'F1': 0.15, 'F2': 4.682}",0
"{'F1': 0.25, 'F2': 4.003}",0
"{'F1': 0.18, 'F2': 4.529}",0
"{'F1': 0.38, 'F2': 4.105}",0
"{'F1': 0.22, 'F2': 4.349}",0
"{'F1': 0.28, 'F2': 3.743}",1
"{'F1': 0.1, 'F2': 4.874}",2
"{'F1': 0.4, 'F2': 4.044}",2
"{'F1': 0.2, 'F2': 4.356}",0
"{'F1': 0.2, 'F2': 4.115}",1
"{'F1': 0.18, 'F2': 4.701}",2
"{'F1': 0.6, 'F2': 3.505}",0
"{'F1': 0.15, 'F2': 4.841}",1
"{'F1': 0.15, 'F2': 4.841}",2
"{'F1': 0.03, 'F2': 5.21}",0
"{'F1': 0.4, 'F2': 3.808}",1
"{'F1': 0.02, 'F2': 5.301}",2
"{'F1': 0.04, 'F2': 5.13}",2
"{'F1': 0.001, 'F2': 5.58}",0
"{'F1': 0.005, 'F2': 5.485}",1
"{'F1': 0.02, 'F2': 5.301}",2
"{'F1': 0.002, 'F2': 5.548}",0
"{'F1': 0.008, 'F2': 5.438}",1
"{'F1': 0.38, 'F2': 4.243}",2
"{'F1': 0.02, 'F2': 5.301}",0
"{'F1': 0.0, 'F2': 5.631}",1
"{'F1': 0.001, 'F2': 5.602}",2
"{'F1': 0.0, 'F2': 5.621}",0
"{'F1': 0.001, 'F2': 5.602}",1
"{'F1': 0.62, 'F2': 3.258}",2
"{'F1': 0.68, 'F2': 3.12}",0
"{'F1': 0.6, 'F2': 3.658}",1
"{'F1': 0.001, 'F2': 5.602}",2
"{'F1': 0.2, 'F2': 4.535}",0
"{'F1': 0.68, 'F2': 3.12}",1
"{'F1': 0.7, 'F2': 3.487}",2
"{'F1': 0.005, 'F2': 5.485}",0
"{'F1': 0.001, 'F2': 5.602}",1
"{'F1': 0.72, 'F2': 3.877}",2
"{'F1': 0.005, 'F2': 5.485}",0
"{'F1': 0.5, 'F2': 3.842}",1
"{'F1': 0.65, 'F2': 2.921}",2
"{'F1': 0.0, 'F2': 5.631}",0
"{'F1': 0.003, 'F2': 5.524}",1
"{'F1': 0.0, 'F2': 5.631}",2
"{'F1': 0.58, 'F2': 4.034}",0
"{'F1': 0.001, 'F2': 5.602}",1
"{'F1': 0.001, 'F2': 5.602}",2
