surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.3, 'F2': 3.4}","{'F1': 0.1, 'F2': 4.614}"
"{'F1': 0.3, 'F2': 3.7}","{'F1': 0.3, 'F2': 3.942}"
"{'F1': 0.2, 'F2': 3.962}","{'F1': 0.2, 'F2': 4.451}"
,"{'F1': 0.7, 'F2': 3.334}"
,"{'F1': 0.01, 'F2': 5.411}"
,"{'F1': 0.2, 'F2': 4.592}"
"{'F1': 0.05, 'F2': 4.87}","{'F1': 0.05, 'F2': 4.645}"
"{'F1': 0.25, 'F2': 4.026}","{'F1': 0.25, 'F2': 4.147}"
"{'F1': 0.15, 'F2': 4.283}","{'F1': 0.15, 'F2': 4.841}"
,"{'F1': 0.75, 'F2': 4.03}"
,"{'F1': 0.15, 'F2': 4.682}"
,"{'F1': 0.25, 'F2': 4.003}"
,"{'F1': 0.18, 'F2': 4.529}"
,"{'F1': 0.38, 'F2': 4.105}"
"{'F1': 0.35, 'F2': 3.815}","{'F1': 0.35, 'F2': 4.192}"
"{'F1': 0.09, 'F2': 4.485}","{'F1': 0.09, 'F2': 4.888}"
"{'F1': 0.2, 'F2': 4.4}","{'F1': 0.2, 'F2': 4.507}"
,"{'F1': 0.22, 'F2': 4.349}"
,"{'F1': 0.28, 'F2': 3.743}"
,"{'F1': 0.1, 'F2': 4.874}"
,"{'F1': 0.4, 'F2': 4.044}"
"{'F1': 0.123, 'F2': 4.776}","{'F1': 0.123, 'F2': 4.867}"
"{'F1': 0.05, 'F2': 4.645}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.2, 'F2': 4.253}","{'F1': 0.2, 'F2': 4.535}"
,"{'F1': 0.2, 'F2': 4.356}"
,"{'F1': 0.2, 'F2': 4.115}"
,"{'F1': 0.18, 'F2': 4.701}"
"{'F1': 0.25, 'F2': 4.05}","{'F1': 0.25, 'F2': 3.867}"
"{'F1': 0.02, 'F2': 5.1}","{'F1': 0.02, 'F2': 5.301}"
"{'F1': 0.01, 'F2': 5.285}","{'F1': 0.01, 'F2': 5.411}"
,"{'F1': 0.6, 'F2': 3.505}"
,"{'F1': 0.15, 'F2': 4.841}"
,"{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.3, 'F2': 3.942}","{'F1': 0.3, 'F2': 4.215}"
"{'F1': 0.3, 'F2': 4.761}","{'F1': 0.3, 'F2': 4.098}"
"{'F1': 0.08, 'F2': 4.92}","{'F1': 0.08, 'F2': 4.898}"
,"{'F1': 0.03, 'F2': 5.21}"
,"{'F1': 0.4, 'F2': 3.808}"
,"{'F1': 0.02, 'F2': 5.301}"
,"{'F1': 0.04, 'F2': 5.13}"
"{'F1': 0.07, 'F2': 5.17}","{'F1': 0.07, 'F2': 4.949}"
"{'F1': 0.1, 'F2': 4.874}","{'F1': 0.1, 'F2': 4.556}"
"{'F1': 0.28, 'F2': 3.91}","{'F1': 0.28, 'F2': 4.155}"
,"{'F1': 0.001, 'F2': 5.58}"
,"{'F1': 0.005, 'F2': 5.485}"
,"{'F1': 0.02, 'F2': 5.301}"
"{'F1': 0.01, 'F2': 5.35}","{'F1': 0.01, 'F2': 5.411}"
"{'F1': 0.2, 'F2': 5.301}","{'F1': 0.2, 'F2': 4.535}"
"{'F1': 0.09, 'F2': 4.92}","{'F1': 0.09, 'F2': 4.888}"
,"{'F1': 0.002, 'F2': 5.548}"
,"{'F1': 0.008, 'F2': 5.438}"
,"{'F1': 0.38, 'F2': 4.243}"
"{'F1': 0.22, 'F2': 4.773}","{'F1': 0.22, 'F2': 4.349}"
"{'F1': 0.33, 'F2': 4.476}","{'F1': 0.33, 'F2': 4.466}"
"{'F1': 0.35, 'F2': 4.192}","{'F1': 0.35, 'F2': 4.503}"
,"{'F1': 0.02, 'F2': 5.301}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.001, 'F2': 5.602}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.71}"
"{'F1': 0.01, 'F2': 5.323}","{'F1': 0.01, 'F2': 5.35}"
"{'F1': 0.15, 'F2': 4.71}","{'F1': 0.15, 'F2': 4.736}"
,"{'F1': 0.0, 'F2': 5.621}"
,"{'F1': 0.001, 'F2': 5.602}"
,"{'F1': 0.62, 'F2': 3.258}"
"{'F1': 0.18, 'F2': 4.76}","{'F1': 0.18, 'F2': 4.701}"
"{'F1': 0.03, 'F2': 5.13}","{'F1': 0.03, 'F2': 5.21}"
"{'F1': 0.2, 'F2': 4.061}","{'F1': 0.2, 'F2': 4.446}"
,"{'F1': 0.68, 'F2': 3.12}"
,"{'F1': 0.6, 'F2': 3.658}"
,"{'F1': 0.001, 'F2': 5.602}"
"{'F1': 0.25, 'F2': 4.003}","{'F1': 0.25, 'F2': 4.033}"
"{'F1': 0.15, 'F2': 4.71}","{'F1': 0.15, 'F2': 4.827}"
"{'F1': 0.25, 'F2': 4.147}","{'F1': 0.25, 'F2': 4.147}"
,"{'F1': 0.2, 'F2': 4.535}"
,"{'F1': 0.68, 'F2': 3.12}"
,"{'F1': 0.7, 'F2': 3.487}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.1, 'F2': 5.071}","{'F1': 0.1, 'F2': 4.874}"
"{'F1': 0.18, 'F2': 4.701}","{'F1': 0.18, 'F2': 4.701}"
,"{'F1': 0.005, 'F2': 5.485}"
,"{'F1': 0.001, 'F2': 5.602}"
,"{'F1': 0.72, 'F2': 3.877}"
"{'F1': 0.05, 'F2': 5.059}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.05, 'F2': 5.059}","{'F1': 0.05, 'F2': 4.929}"
"{'F1': 0.001, 'F2': 5.602}","{'F1': 0.001, 'F2': 5.602}"
,"{'F1': 0.005, 'F2': 5.485}"
,"{'F1': 0.5, 'F2': 3.842}"
,"{'F1': 0.65, 'F2': 2.921}"
"{'F1': 0.001, 'F2': 5.548}","{'F1': 0.001, 'F2': 5.58}"
"{'F1': 0.28, 'F2': 4.155}","{'F1': 0.28, 'F2': 4.155}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.1, 'F2': 4.735}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.003, 'F2': 5.524}"
,"{'F1': 0.0, 'F2': 5.631}"
"{'F1': 0.4, 'F2': 4.697}","{'F1': 0.4, 'F2': 4.044}"
"{'F1': 0.15, 'F2': 4.71}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.15, 'F2': 4.827}","{'F1': 0.1, 'F2': 4.831}"
,"{'F1': 0.58, 'F2': 4.034}"
,"{'F1': 0.001, 'F2': 5.602}"
,"{'F1': 0.001, 'F2': 5.602}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.28, 'F2': 4.155}","{'F1': 0.28, 'F2': 4.155}"
"{'F1': 0.12, 'F2': 4.867}","{'F1': 0.12, 'F2': 4.867}"
