candidate_evaluations,hypervolume_contributions
"[{'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.02, 'F2': 4.8}, {'F1': 0.05, 'F2': 5.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.5}, {'F1': 0.25, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.3, 'F2': 4.2}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.8, 'F2': 3.0}, {'F1': 0.7, 'F2': 3.5}, {'F1': 0.3, 'F2': 4.5}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.1, 'F2': 5.5}, {'F1': 0.05, 'F2': 4.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.0}, {'F1': 0.18, 'F2': 3.5}, {'F1': 0.02, 'F2': 5.5}]","[0.0, 0.01586582211196519, 0.0, 0.0, 0.01586582211196519, 0.047718339006943555, 0.011312271181626699, 0.0, 0.002471923577541446, 0.021790761919562085, 0.0, 0.04345855621973049, 0.002471923577541446, 0.0, 0.01586582211196519, 0.020777028862124514, 0.019839775665529302, 0.0, 0.0, 0.005295105659484767, 0.0465529913736098, 0.002471923577541446, 0.030038590049600744, 0.08124860510645271, 0.015176908021155011]"
"[{'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.02, 'F2': 4.8}, {'F1': 0.05, 'F2': 5.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.5}, {'F1': 0.25, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.3, 'F2': 4.2}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.8, 'F2': 3.0}, {'F1': 0.7, 'F2': 3.5}, {'F1': 0.3, 'F2': 4.5}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.1, 'F2': 5.5}, {'F1': 0.05, 'F2': 4.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.0}, {'F1': 0.18, 'F2': 3.5}, {'F1': 0.02, 'F2': 5.5}]","[0.0, 0.01586582211196519, 0.0, 0.0, 0.01586582211196519, 0.047718339006943555, 0.011312271181626699, 0.0, 0.002471923577541446, 0.021790761919562085, 0.0, 0.04345855621973049, 0.002471923577541446, 0.0, 0.01586582211196519, 0.020777028862124514, 0.019839775665529302, 0.0, 0.0, 0.005295105659484767, 0.0465529913736098, 0.002471923577541446, 0.030038590049600744, 0.08124860510645271, 0.015176908021155011]"
"[{'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.02, 'F2': 4.8}, {'F1': 0.05, 'F2': 5.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.5}, {'F1': 0.25, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.3, 'F2': 4.2}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.8, 'F2': 3.0}, {'F1': 0.7, 'F2': 3.5}, {'F1': 0.3, 'F2': 4.5}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.1, 'F2': 5.5}, {'F1': 0.05, 'F2': 4.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.0}, {'F1': 0.18, 'F2': 3.5}, {'F1': 0.02, 'F2': 5.5}]","[0.0, 0.01586582211196519, 0.0, 0.0, 0.01586582211196519, 0.047718339006943555, 0.011312271181626699, 0.0, 0.002471923577541446, 0.021790761919562085, 0.0, 0.04345855621973049, 0.002471923577541446, 0.0, 0.01586582211196519, 0.020777028862124514, 0.019839775665529302, 0.0, 0.0, 0.005295105659484767, 0.0465529913736098, 0.002471923577541446, 0.030038590049600744, 0.08124860510645271, 0.015176908021155011]"
"[{'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.02, 'F2': 4.8}, {'F1': 0.05, 'F2': 5.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.5}, {'F1': 0.25, 'F2': 4.0}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.3, 'F2': 4.2}, {'F1': 0.5, 'F2': 3.7}, {'F1': 0.8, 'F2': 3.0}, {'F1': 0.7, 'F2': 3.5}, {'F1': 0.3, 'F2': 4.5}, {'F1': 0.5, 'F2': 4.0}, {'F1': 0.1, 'F2': 5.5}, {'F1': 0.05, 'F2': 4.5}, {'F1': 0.01, 'F2': 5.9}, {'F1': 0.1, 'F2': 4.0}, {'F1': 0.18, 'F2': 3.5}, {'F1': 0.02, 'F2': 5.5}]","[0.0, 0.01586582211196519, 0.0, 0.0, 0.01586582211196519, 0.047718339006943555, 0.011312271181626699, 0.0, 0.002471923577541446, 0.021790761919562085, 0.0, 0.04345855621973049, 0.002471923577541446, 0.0, 0.01586582211196519, 0.020777028862124514, 0.019839775665529302, 0.0, 0.0, 0.005295105659484767, 0.0465529913736098, 0.002471923577541446, 0.030038590049600744, 0.08124860510645271, 0.015176908021155011]"
"[{'F1': 0.5, 'F2': 4.5}, {'F1': 0.14, 'F2': 4.0}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.15, 'F2': 4.8}, {'F1': 0.8, 'F2': 3.5}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.03, 'F2': 4.5}, {'F1': 0.05, 'F2': 4.0}, {'F1': 0.12, 'F2': 4.2}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.16, 'F2': 4.0}, {'F1': 0.18, 'F2': 4.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.145, 'F2': 4.1}, {'F1': 0.17, 'F2': 4.3}, {'F1': 0.16, 'F2': 4.5}, {'F1': 0.5, 'F2': 3.8}, {'F1': 0.7, 'F2': 4.0}, {'F1': 0.145, 'F2': 3.6}, {'F1': 0.2, 'F2': 4.2}, {'F1': 0.03, 'F2': 4.0}, {'F1': 0.01, 'F2': 4.5}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.05, 'F2': 3.7}, {'F1': 0.12, 'F2': 4.2}]","[0.0, 0.0, 0.018055830815152607, 0.0, 0.002339138473451685, 0.018055830815152607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017947354016252248, 0.007511760330604078, 0.0, 0.0, 0.0]"
"[{'F1': 0.5, 'F2': 4.5}, {'F1': 0.14, 'F2': 4.0}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.15, 'F2': 4.8}, {'F1': 0.8, 'F2': 3.5}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.03, 'F2': 4.5}, {'F1': 0.05, 'F2': 4.0}, {'F1': 0.12, 'F2': 4.2}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.16, 'F2': 4.0}, {'F1': 0.18, 'F2': 4.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.145, 'F2': 4.1}, {'F1': 0.17, 'F2': 4.3}, {'F1': 0.16, 'F2': 4.5}, {'F1': 0.5, 'F2': 3.8}, {'F1': 0.7, 'F2': 4.0}, {'F1': 0.145, 'F2': 3.6}, {'F1': 0.2, 'F2': 4.2}, {'F1': 0.03, 'F2': 4.0}, {'F1': 0.01, 'F2': 4.5}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.05, 'F2': 3.7}, {'F1': 0.12, 'F2': 4.2}]","[0.0, 0.0, 0.018055830815152607, 0.0, 0.002339138473451685, 0.018055830815152607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017947354016252248, 0.007511760330604078, 0.0, 0.0, 0.0]"
"[{'F1': 0.5, 'F2': 4.5}, {'F1': 0.14, 'F2': 4.0}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.15, 'F2': 4.8}, {'F1': 0.8, 'F2': 3.5}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.03, 'F2': 4.5}, {'F1': 0.05, 'F2': 4.0}, {'F1': 0.12, 'F2': 4.2}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.16, 'F2': 4.0}, {'F1': 0.18, 'F2': 4.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.145, 'F2': 4.1}, {'F1': 0.17, 'F2': 4.3}, {'F1': 0.16, 'F2': 4.5}, {'F1': 0.5, 'F2': 3.8}, {'F1': 0.7, 'F2': 4.0}, {'F1': 0.145, 'F2': 3.6}, {'F1': 0.2, 'F2': 4.2}, {'F1': 0.03, 'F2': 4.0}, {'F1': 0.01, 'F2': 4.5}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.05, 'F2': 3.7}, {'F1': 0.12, 'F2': 4.2}]","[0.0, 0.0, 0.018055830815152607, 0.0, 0.002339138473451685, 0.018055830815152607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017947354016252248, 0.007511760330604078, 0.0, 0.0, 0.0]"
"[{'F1': 0.5, 'F2': 4.5}, {'F1': 0.14, 'F2': 4.0}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.15, 'F2': 4.8}, {'F1': 0.8, 'F2': 3.5}, {'F1': 0.01, 'F2': 3.6}, {'F1': 0.03, 'F2': 4.5}, {'F1': 0.05, 'F2': 4.0}, {'F1': 0.12, 'F2': 4.2}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.16, 'F2': 4.0}, {'F1': 0.18, 'F2': 4.5}, {'F1': 0.15, 'F2': 4.2}, {'F1': 0.145, 'F2': 4.1}, {'F1': 0.17, 'F2': 4.3}, {'F1': 0.16, 'F2': 4.5}, {'F1': 0.5, 'F2': 3.8}, {'F1': 0.7, 'F2': 4.0}, {'F1': 0.145, 'F2': 3.6}, {'F1': 0.2, 'F2': 4.2}, {'F1': 0.03, 'F2': 4.0}, {'F1': 0.01, 'F2': 4.5}, {'F1': 0.08, 'F2': 3.8}, {'F1': 0.05, 'F2': 3.7}, {'F1': 0.12, 'F2': 4.2}]","[0.0, 0.0, 0.018055830815152607, 0.0, 0.002339138473451685, 0.018055830815152607, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0017947354016252248, 0.007511760330604078, 0.0, 0.0, 0.0]"
"[{'F1': 0.2, 'F2': 3.5}, {'F1': 0.7, 'F2': 3.8}, {'F1': 0.14, 'F2': 0.95}, {'F1': 0.15, 'F2': 2.5}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.8, 'F2': 3.0}, {'F1': 0.14, 'F2': 1.0}, {'F1': 0.95, 'F2': 3.0}, {'F1': 0.2, 'F2': 4.0}, {'F1': 0.05, 'F2': 3.8}, {'F1': 0.1, 'F2': 4.5}, {'F1': 0.02, 'F2': 3.0}, {'F1': 0.08, 'F2': 4.2}, {'F1': 0.01, 'F2': 1.0}, {'F1': 0.15, 'F2': 3.8}, {'F1': 0.2, 'F2': 4.5}, {'F1': 0.14, 'F2': 0.95}, {'F1': 0.5, 'F2': 3.0}, {'F1': 0.14, 'F2': 3.5}, {'F1': 0.145, 'F2': 1.1}, {'F1': 0.7, 'F2': 3.5}, {'F1': 0.5, 'F2': 3.0}, {'F1': 0.9, 'F2': 2.5}, {'F1': 0.16, 'F2': 4.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048897358240908906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.2, 'F2': 3.5}, {'F1': 0.7, 'F2': 3.8}, {'F1': 0.14, 'F2': 0.95}, {'F1': 0.15, 'F2': 2.5}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.5, 'F2': 3.5}, {'F1': 0.8, 'F2': 3.0}, {'F1': 0.14, 'F2': 1.0}, {'F1': 0.95, 'F2': 3.0}, {'F1': 0.2, 'F2': 4.0}, {'F1': 0.05, 'F2': 3.8}, {'F1': 0.1, 'F2': 4.5}, {'F1': 0.02, 'F2': 3.0}, {'F1': 0.08, 'F2': 4.2}, {'F1': 0.01, 'F2': 1.0}, {'F1': 0.15, 'F2': 3.8}, {'F1': 0.2, 'F2': 4.5}, {'F1': 0.14, 'F2': 0.95}, {'F1': 0.5, 'F2': 3.0}, {'F1': 0.14, 'F2': 3.5}, {'F1': 0.145, 'F2': 1.1}, {'F1': 0.7, 'F2': 3.5}, {'F1': 0.5, 'F2': 3.0}, {'F1': 0.9, 'F2': 2.5}, {'F1': 0.16, 'F2': 4.0}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.048897358240908906, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
