F1,F2
0.651,3.098
0.439,3.191
0.415,3.605
0.502,3.585
0.423,3.294
0.1,1.574
0.1,1.464
0.05,1.159
0.3,1.988
0.01,0.983
0.05,1.131
0.425,0.109
0.08,4.196
0.28,3.883
0.15,2.384
0.35,3.268
0.45,2.646
0.9,4.773
0.01,1.882
0.32,3.416
0.35,3.601
0.02,1.923
0.25,1.354
0.38,4.399
0.33,3.576
0.4,1.209
0.35,2.01
0.33,1.41
0.6,2.285
0.4,1.148
0.15,3.925
0.5,2.277
0.34,3.952
0.005,1.053
0.55,2.335
0.05,2.015
0.35,3.057
0.01,1.355
0.4,1.185
0.38,2.183
0.7,3.208
0.001,1.095
0.4,3.408
0.4,3.342
0.45,2.308
0.7,2.154
0.7,0.642
0.5,2.5
0.4,2.406
0.3,3.395
0.25,4.025
0.05,1.385
0.2,1.1
0.2,1.585
0.4,1.124
0.38,1.815
0.4,3.856
0.36,2.161
0.05,2.753
0.01,3.538
0.3,4.038
0.3,1.046
0.02,2.593
0.36,3.098
0.38,2.592
