surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.1, 'F2': 4.5}","{'F1': 0.1, 'F2': 2.313}"
"{'F1': 0.1, 'F2': 4.5}","{'F1': 0.5, 'F2': 2.633}"
"{'F1': 0.1, 'F2': 4.5}","{'F1': 0.25, 'F2': 2.569}"
"{'F1': 0.1, 'F2': 4.5}","{'F1': 0.05, 'F2': 4.35}"
"{'F1': 0.01, 'F2': 2.2}","{'F1': 0.01, 'F2': 1.716}"
"{'F1': 0.01, 'F2': 2.2}","{'F1': 0.01, 'F2': 2.428}"
"{'F1': 0.01, 'F2': 2.2}","{'F1': 0.01, 'F2': 1.574}"
"{'F1': 0.01, 'F2': 2.2}","{'F1': 0.02, 'F2': 5.057}"
"{'F1': 0.005, 'F2': 1.5}","{'F1': 0.005, 'F2': 1.199}"
"{'F1': 0.005, 'F2': 1.5}","{'F1': 0.005, 'F2': 1.184}"
"{'F1': 0.005, 'F2': 1.5}","{'F1': 0.02, 'F2': 2.617}"
"{'F1': 0.005, 'F2': 1.5}","{'F1': 0.11, 'F2': 3.483}"
"{'F1': 0.001, 'F2': 1.0}","{'F1': 0.001, 'F2': 1.455}"
"{'F1': 0.001, 'F2': 1.0}","{'F1': 0.002, 'F2': 1.596}"
"{'F1': 0.001, 'F2': 1.0}","{'F1': 0.06, 'F2': 1.09}"
"{'F1': 0.001, 'F2': 1.0}","{'F1': 0.055, 'F2': 2.241}"
"{'F1': 0.4, 'F2': 3.0}","{'F1': 0.05, 'F2': 0.99}"
"{'F1': 0.4, 'F2': 3.0}","{'F1': 0.15, 'F2': 1.898}"
"{'F1': 0.4, 'F2': 3.0}","{'F1': 0.06, 'F2': 1.384}"
"{'F1': 0.4, 'F2': 3.0}","{'F1': 0.15, 'F2': 2.274}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.001, 'F2': 0.977}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.001, 'F2': 1.286}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.005, 'F2': 1.257}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.02, 'F2': 1.395}"
"{'F1': 0.06, 'F2': 2.8}","{'F1': 0.005, 'F2': 1.351}"
"{'F1': 0.06, 'F2': 2.8}","{'F1': 0.06, 'F2': 1.667}"
"{'F1': 0.06, 'F2': 2.8}","{'F1': 0.05, 'F2': 1.17}"
"{'F1': 0.06, 'F2': 2.8}","{'F1': 0.1, 'F2': 3.291}"
"{'F1': 0.0001, 'F2': 1.6}","{'F1': 0.0, 'F2': 1.237}"
"{'F1': 0.0001, 'F2': 1.6}","{'F1': 0.05, 'F2': 1.127}"
"{'F1': 0.0001, 'F2': 1.6}","{'F1': 0.04, 'F2': 2.968}"
"{'F1': 0.0001, 'F2': 1.6}","{'F1': 0.06, 'F2': 1.741}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.001, 'F2': 1.04}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.001, 'F2': 2.418}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.001, 'F2': 2.445}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.05, 'F2': 2.544}"
"{'F1': 0.0, 'F2': 1.05}","{'F1': 0.0, 'F2': 1.186}"
"{'F1': 0.0, 'F2': 1.05}","{'F1': 0.06, 'F2': 2.343}"
"{'F1': 0.0, 'F2': 1.05}","{'F1': 0.05, 'F2': 1.218}"
"{'F1': 0.0, 'F2': 1.05}","{'F1': 0.055, 'F2': 2.584}"
"{'F1': 0.0, 'F2': 1.04}","{'F1': 0.0, 'F2': 1.017}"
"{'F1': 0.0, 'F2': 1.04}","{'F1': 0.005, 'F2': 2.035}"
"{'F1': 0.0, 'F2': 1.04}","{'F1': 0.05, 'F2': 2.462}"
"{'F1': 0.0, 'F2': 1.04}","{'F1': 0.1, 'F2': 5.484}"
"{'F1': 0.05, 'F2': 1.2}","{'F1': 0.01, 'F2': 1.708}"
"{'F1': 0.05, 'F2': 1.2}","{'F1': 0.1, 'F2': 2.128}"
"{'F1': 0.05, 'F2': 1.2}","{'F1': 0.1, 'F2': 4.412}"
"{'F1': 0.05, 'F2': 1.2}","{'F1': 0.06, 'F2': 3.201}"
"{'F1': 0.01, 'F2': 1.3}","{'F1': 0.001, 'F2': 1.886}"
"{'F1': 0.01, 'F2': 1.3}","{'F1': 0.07, 'F2': 1.356}"
"{'F1': 0.01, 'F2': 1.3}","{'F1': 0.001, 'F2': 1.326}"
"{'F1': 0.01, 'F2': 1.3}","{'F1': 0.04, 'F2': 3.769}"
"{'F1': 0.07, 'F2': 1.4}","{'F1': 0.05, 'F2': 1.934}"
"{'F1': 0.07, 'F2': 1.4}","{'F1': 0.06, 'F2': 1.397}"
"{'F1': 0.07, 'F2': 1.4}","{'F1': 0.051, 'F2': 1.911}"
"{'F1': 0.07, 'F2': 1.4}","{'F1': 0.06, 'F2': 1.545}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.0, 'F2': 1.07}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.06, 'F2': 1.946}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.07, 'F2': 2.302}"
"{'F1': 0.0, 'F2': 1.0}","{'F1': 0.05, 'F2': 2.321}"
