F1,F2
0.193,4.541
0.021,5.821
0.868,2.903
0.9,3.235
0.144,3.815
0.2,4.115
0.05,4.012
0.15,5.027
0.3,3.86
0.01,4.625
0.03,4.264
0.02,4.225
0.03,5.114
0.4,3.244
0.005,3.304
0.001,2.48
0.007,2.922
0.0,2.431
0.0,2.244
0.0,2.089
0.0,2.151
0.05,1.131
0.0,1.124
0.0,1.9
0.0,2.8
0.0,1.047
0.0,1.093
0.0,1.062
0.0,1.155
0.0,1.093
0.0,1.217
0.0,1.155
0.0,1.155
0.0,1.0
0.0,1.652
0.0,1.807
0.01,0.983
0.005,1.759
0.01,1.792
0.0,1.934
0.0,2.027
0.01,2.281
0.1,5.309
0.02,2.293
0.01,0.903
0.0,1.031
0.0,1.174
0.0,1.124
0.0,1.155
0.0,1.062
0.0,1.093
0.0,1.621
0.1,0.684
0.0,1.034
0.0,1.838
0.0,1.81
0.0,1.965
0.0,1.065
0.0,1.028
0.0,1.875
0.0,1.037
0.0,1.037
0.0,1.003
0.0,1.003
0.01,0.926
0.0,1.031
0.0,1.006
0.0,1.006
0.0,1.034
0.0,1.006
0.0,1.009
0.0,1.012
0.0,1.006
0.0,1.034
0.1,1.879
0.0,1.043
0.0,1.003
0.0,1.05
0.0,1.093
0.0,1.062
0.0,1.006
0.0,1.009
0.0,1.09
0.0,1.087
0.0,1.006
