surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.28, 'F2': 3.0}","{'F1': 0.25, 'F2': 1.979}"
"{'F1': 0.28, 'F2': 3.0}","{'F1': 0.3, 'F2': 2.328}"
"{'F1': 0.28, 'F2': 3.0}","{'F1': 0.27, 'F2': 2.528}"
"{'F1': 0.28, 'F2': 3.0}","{'F1': 0.35, 'F2': 3.136}"
"{'F1': 0.22, 'F2': 2.63}","{'F1': 0.1, 'F2': 1.464}"
"{'F1': 0.22, 'F2': 2.63}","{'F1': 0.2, 'F2': 2.079}"
"{'F1': 0.22, 'F2': 2.63}","{'F1': 0.2, 'F2': 2.146}"
"{'F1': 0.22, 'F2': 2.63}","{'F1': 0.15, 'F2': 1.92}"
"{'F1': 0.05, 'F2': 1.3}","{'F1': 0.05, 'F2': 1.414}"
"{'F1': 0.05, 'F2': 1.3}","{'F1': 0.1, 'F2': 1.11}"
"{'F1': 0.05, 'F2': 1.3}","{'F1': 0.2, 'F2': 1.362}"
"{'F1': 0.05, 'F2': 1.3}","{'F1': 0.1, 'F2': 1.768}"
"{'F1': 0.05, 'F2': 1.41}","{'F1': 0.05, 'F2': 1.074}"
"{'F1': 0.05, 'F2': 1.41}","{'F1': 0.05, 'F2': 1.131}"
"{'F1': 0.05, 'F2': 1.41}","{'F1': 0.1, 'F2': 1.164}"
"{'F1': 0.05, 'F2': 1.41}","{'F1': 0.1, 'F2': 1.177}"
"{'F1': 0.02, 'F2': 1.05}","{'F1': 0.02, 'F2': 1.02}"
"{'F1': 0.02, 'F2': 1.05}","{'F1': 0.03, 'F2': 0.988}"
"{'F1': 0.02, 'F2': 1.05}","{'F1': 0.04, 'F2': 0.981}"
"{'F1': 0.02, 'F2': 1.05}","{'F1': 0.06, 'F2': 0.951}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.0, 'F2': 1.062}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.0, 'F2': 1.118}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.01, 'F2': 1.03}"
"{'F1': 0.0, 'F2': 0.9}","{'F1': 0.01, 'F2': 0.985}"
"{'F1': 0.01, 'F2': 0.96}","{'F1': 0.01, 'F2': 0.935}"
"{'F1': 0.01, 'F2': 0.96}","{'F1': 0.01, 'F2': 0.974}"
"{'F1': 0.01, 'F2': 0.96}","{'F1': 0.0, 'F2': 1.112}"
"{'F1': 0.01, 'F2': 0.96}","{'F1': 0.0, 'F2': 1.065}"
"{'F1': 0.0, 'F2': 1.03}","{'F1': 0.0, 'F2': 1.003}"
"{'F1': 0.0, 'F2': 1.03}","{'F1': 0.0, 'F2': 1.047}"
"{'F1': 0.0, 'F2': 1.03}","{'F1': 0.0, 'F2': 1.003}"
"{'F1': 0.0, 'F2': 1.03}","{'F1': 0.0, 'F2': 1.0}"
"{'F1': 0.04, 'F2': 1.06}","{'F1': 0.0, 'F2': 1.003}"
