configs,runtime_traj,F1,F2
"{'x0': 0.5, 'x1': 0.5, 'x2': 0.5, 'x3': 0.5, 'x4': 0.5, 'x5': 0.5, 'x6': 0.5, 'x7': 0.5, 'x8': 0.5, 'x9': 0.5, 'problem': 'zdt4'}",5.114134580000609,0.5,1.975
"{'x0': 0.7340429696347311, 'x1': 0.5043868931613189, 'x2': 0.640364332564056, 'x3': 0.3997920777187144, 'x4': 0.971397651214524, 'x5': 0.3992014618504318, 'x6': 0.19401821305908, 'x7': 0.6812535355671672, 'x8': 0.4531698258951118, 'x9': 0.7038818157656254, 'problem': 'zdt4'}",5.114168210000571,0.734,76.923
"{'x0': 0.6778443501212649, 'x1': 0.5711862915010029, 'x2': 0.4333667528204988, 'x3': 0.7180421762649241, 'x4': 0.9070783962814556, 'x5': 0.5148575064802305, 'x6': 0.4692010930848463, 'x7': 0.6796321284103066, 'x8': 0.0032636883353964, 'x9': 0.3965148684141295, 'problem': 'zdt4'}",5.114052691000325,0.678,54.451
"{'x0': 0.7318931376466036, 'x1': 0.8638796017487235, 'x2': 0.0382016593167963, 'x3': 0.5877027950265935, 'x4': 0.4265565864231826, 'x5': 0.1720903268117185, 'x6': 0.0284795165563022, 'x7': 0.2866160192754476, 'x8': 0.608754102832726, 'x9': 0.6855344528676377, 'problem': 'zdt4'}",5.114086690000477,0.732,77.339
"{'x0': 0.040359629979555, 'x1': 0.6465394960178321, 'x2': 0.5981574221816082, 'x3': 0.8341555634765404, 'x4': 0.5863880505057937, 'x5': 0.3204258787213321, 'x6': 0.0811467023759087, 'x7': 0.4282276329904267, 'x8': 0.0562288781214489, 'x9': 0.0232782032369937, 'problem': 'zdt4'}",5.114021141000194,0.04,68.751
"{'x0': 0.7355883628074417, 'x1': 0.8678331744756569, 'x2': 0.3534827890132617, 'x3': 0.2392958377386221, 'x4': 0.9334035671807428, 'x5': 0.9304550535324608, 'x6': 0.1463008723097185, 'x7': 0.7028375086463912, 'x8': 0.9091007390046756, 'x9': 0.839636107676414, 'problem': 'zdt4'}",5.114189169000383,0.736,98.288
"{'x0': 0.2518139081994501, 'x1': 0.2361720675635813, 'x2': 0.6597377501112043, 'x3': 0.2492071264595919, 'x4': 0.9492917877870732, 'x5': 0.2009813360824245, 'x6': 0.9040597380329524, 'x7': 0.7319530922222683, 'x8': 0.481166503007624, 'x9': 0.1028821675819938, 'problem': 'zdt4'}",5.11415149000095,0.252,106.688
"{'x0': 0.1580997917581154, 'x1': 0.0390674602041951, 'x2': 0.8283655416090964, 'x3': 0.3611241318992939, 'x4': 0.0012385814181785, 'x5': 0.4161031699003555, 'x6': 0.483265677588464, 'x7': 0.3443097317133045, 'x8': 0.1742167552858812, 'x9': 0.2451505118601846, 'problem': 'zdt4'}",5.114204429000893,0.158,82.023
"{'x0': 0.6578266915877256, 'x1': 0.3102979735377194, 'x2': 0.304868672895063, 'x3': 0.9936151276183488, 'x4': 0.0794678532411052, 'x5': 0.8375520343273689, 'x6': 0.9923442924070656, 'x7': 0.2583625915237029, 'x8': 0.8175615530160192, 'x9': 0.2101872139918207, 'problem': 'zdt4'}",5.114115219999803,0.658,105.487
"{'x0': 0.4321175770865605, 'x1': 0.9101584746277772, 'x2': 0.3141464524534073, 'x3': 0.3101254382090114, 'x4': 0.4547334926207584, 'x5': 0.1126334804490412, 'x6': 0.8189502049172696, 'x7': 0.7649880474439681, 'x8': 0.8029123535402766, 'x9': 0.2664740109262207, 'problem': 'zdt4'}",5.11421879900081,0.432,120.682
"{'x0': 0.6482243438469684, 'x1': 0.4109640323528066, 'x2': 0.5531019732903241, 'x3': 0.5159802563249066, 'x4': 0.6055303285733462, 'x5': 0.1160463537293808, 'x6': 0.6958175629221167, 'x7': 0.5347961566077019, 'x8': 0.2707156426095632, 'x9': 0.3277435682300681, 'problem': 'zdt4'}",10.988439415001269,0.648,74.208
