x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.765,0.674,0.9,0.963,0.971,0.46,0.935,0.982,0.938,0.008
0.656,0.284,0.383,0.447,0.118,0.517,0.58,0.934,0.225,0.558
0.344,0.23,0.313,0.657,0.616,0.016,0.955,0.998,0.019,0.106
0.726,0.945,0.874,0.935,0.839,0.861,0.936,0.019,0.762,0.487
0.665,0.16,0.268,0.355,0.103,0.046,0.044,0.976,0.366,0.243
0.1,-9.5,-8.3,-7.4,-6.2,-5.1,-4.0,-3.9,-2.8,-1.7
0.3,-4.0,-8.0,-5.0,-3.5,-2.5,-1.5,0.0,0.2,0.1
0.1,-9.0,-9.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0
0.1,-8.5,-7.0,-5.5,-4.5,-3.5,-2.5,-1.5,-0.5,0.0
0.2,-5.5,-6.5,-4.5,-3.0,-2.0,-1.0,-0.5,0.0,0.1
0.12,-9.2,-8.8,-7.7,-6.5,-5.3,-4.1,-3.2,-2.1,-1.0
0.05,-9.8,-9.5,-8.5,-7.5,-6.5,-5.5,-4.5,-3.5,-2.5
0.05,-9.7,-9.4,-8.3,-7.3,-6.3,-5.3,-4.3,-3.3,-2.3
0.02,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
0.01,-9.9,-9.5,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0
0.15,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0,-6.0
0.15,-9.3,-9.0,-8.0,-6.5,-5.5,-4.5,-3.5,-2.5,-1.5
0.2,-8.0,-8.0,-8.0,-8.0,-8.0,-7.0,-6.0,-5.0,-4.0
0.06,-8.8,-8.5,-7.5,-6.5,-5.5,-4.5,-3.5,-2.5,-1.5
0.08,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5
0.3,-8.0,-7.5,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0
0.02,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4,-9.4
0.1,-9.5,-9.0,-9.0,-8.5,-7.5,-6.5,-5.5,-4.5,-3.5
0.01,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
0.4,-10.0,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0
0.02,-9.7,-9.8,-9.6,-9.1,-8.0,-7.0,-6.0,-5.0,-4.0
0.07,-8.0,-7.5,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0
0.07,-9.1,-8.9,-8.6,-8.2,-7.4,-6.4,-5.4,-4.4,-3.4
0.02,-9.4,-8.9,-8.2,-7.5,-6.5,-5.5,-4.5,-3.5,-2.5
0.03,-9.7,-9.5,-9.3,-9.1,-8.9,-8.7,-8.5,-8.3,-8.1
0.005,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0
0.09,-9.1,-8.8,-8.7,-8.5,-8.4,-8.3,-8.2,-8.1,-8.0
0.15,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0
0.05,-8.7,-8.3,-8.5,-8.4,-8.1,-7.9,-7.5,-7.0,-6.0
0.2,-9.3,-9.2,-9.1,-9.0,-8.8,-8.7,-8.5,-8.4,-8.3
0.0,-8.0,-8.5,-9.0,-9.5,-10.0,-10.0,-10.0,-10.0,-10.0
0.06,-9.5,-9.0,-8.8,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0
0.02,-9.6,-9.6,-9.5,-9.4,-9.3,-9.2,-9.1,-9.0,-8.9
0.1,-9.4,-9.3,-9.1,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4
0.02,-9.2,-9.1,-9.0,-8.9,-8.8,-8.7,-8.6,-8.5,-8.4
0.005,-9.8,-9.7,-9.6,-9.5,-9.4,-9.3,-9.2,-9.1,-9.0
0.15,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5,-8.5
0.005,-9.8,-9.8,-9.7,-9.6,-9.5,-9.4,-9.3,-9.2,-9.1
0.01,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0
0.03,-9.8,-9.6,-9.4,-9.2,-9.0,-8.8,-8.6,-8.4,-8.2
0.15,-9.8,-9.7,-9.6,-9.5,-9.4,-9.3,-9.2,-9.1,-9.0
0.25,-9.0,-9.5,-9.0,-8.5,-8.0,-7.0,-6.0,-5.0,-4.0
0.04,-9.9,-9.8,-9.7,-9.6,-9.5,-9.4,-9.3,-9.2,-9.1
0.01,-9.6,-9.4,-9.2,-9.0,-8.8,-8.6,-8.4,-8.2,-8.0
0.35,-9.5,-8.5,-7.5,-6.5,-5.5,-4.5,-3.5,-2.5,-1.5
0.04,-9.6,-9.4,-9.2,-9.0,-8.8,-8.6,-8.4,-8.2,-8.0
0.0,-9.5,-9.2,-8.8,-8.5,-8.2,-7.9,-7.5,-7.0,-6.5
0.3,-8.0,-8.5,-8.0,-7.5,-7.0,-6.5,-6.0,-5.5,-5.0
0.2,-6.5,-5.5,-4.5,-3.5,-2.5,-1.5,0.0,0.1,0.2
0.1,-10.0,-9.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0
