surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.28, 'F2': 66.0}","{'F1': 0.1, 'F2': 407.943}"
"{'F1': 0.2, 'F2': 80.15}","{'F1': 0.3, 'F2': 145.052}"
"{'F1': 0.1, 'F2': 200.0}","{'F1': 0.1, 'F2': 297.495}"
"{'F1': 0.1, 'F2': 280.0}","{'F1': 0.1, 'F2': 189.348}"
"{'F1': 0.2, 'F2': 188.75}","{'F1': 0.2, 'F2': 110.126}"
"{'F1': 0.1, 'F2': 397.34}","{'F1': 0.12, 'F2': 422.262}"
"{'F1': 0.05, 'F2': 250.0}","{'F1': 0.05, 'F2': 440.412}"
"{'F1': 0.04, 'F2': 450.0}","{'F1': 0.05, 'F2': 554.421}"
"{'F1': 0.02, 'F2': 300.0}","{'F1': 0.02, 'F2': 322.45}"
"{'F1': 0.05, 'F2': 550.0}","{'F1': 0.01, 'F2': 473.988}"
"{'F1': 0.05, 'F2': 554.42}","{'F1': 0.15, 'F2': 318.018}"
"{'F1': 0.14, 'F2': 390.0}","{'F1': 0.15, 'F2': 356.69}"
"{'F1': 0.18, 'F2': 180.0}","{'F1': 0.2, 'F2': 437.545}"
"{'F1': 0.06, 'F2': 384.15}","{'F1': 0.06, 'F2': 334.023}"
"{'F1': 0.08, 'F2': 220.0}","{'F1': 0.08, 'F2': 644.032}"
"{'F1': 0.3, 'F2': 412.61}","{'F1': 0.3, 'F2': 252.397}"
"{'F1': 0.02, 'F2': 322.45}","{'F1': 0.02, 'F2': 854.285}"
"{'F1': 0.1, 'F2': 407.94}","{'F1': 0.1, 'F2': 479.773}"
"{'F1': 0.01, 'F2': 473.99}","{'F1': 0.01, 'F2': 897.998}"
"{'F1': 0.04, 'F2': 900.0}","{'F1': 0.4, 'F2': 372.59}"
"{'F1': 0.02, 'F2': 854.28}","{'F1': 0.02, 'F2': 602.618}"
"{'F1': 0.07, 'F2': 190.0}","{'F1': 0.07, 'F2': 256.974}"
"{'F1': 0.07, 'F2': 303.97}","{'F1': 0.07, 'F2': 527.278}"
"{'F1': 0.02, 'F2': 854.28}","{'F1': 0.02, 'F2': 432.27}"
"{'F1': 0.03, 'F2': 770.0}","{'F1': 0.03, 'F2': 804.453}"
"{'F1': 0.01, 'F2': 479.77}","{'F1': 0.005, 'F2': 284.804}"
"{'F1': 0.09, 'F2': 487.95}","{'F1': 0.09, 'F2': 730.427}"
"{'F1': 0.15, 'F2': 382.5}","{'F1': 0.15, 'F2': 279.45}"
"{'F1': 0.05, 'F2': 520.0}","{'F1': 0.05, 'F2': 609.027}"
"{'F1': 0.2, 'F2': 451.67}","{'F1': 0.2, 'F2': 792.352}"
"{'F1': 0.0, 'F2': 1000.0}","{'F1': 0.0, 'F2': 808.5}"
"{'F1': 0.06, 'F2': 299.55}","{'F1': 0.06, 'F2': 581.593}"
"{'F1': 0.02, 'F2': 564.25}","{'F1': 0.02, 'F2': 844.689}"
"{'F1': 0.1, 'F2': 732.34}","{'F1': 0.1, 'F2': 787.664}"
"{'F1': 0.02, 'F2': 828.58}","{'F1': 0.02, 'F2': 776.519}"
"{'F1': 0.01, 'F2': 876.45}","{'F1': 0.005, 'F2': 887.821}"
"{'F1': 0.15, 'F2': 356.69}","{'F1': 0.15, 'F2': 641.366}"
"{'F1': 0.01, 'F2': 898.0}","{'F1': 0.005, 'F2': 920.912}"
"{'F1': 0.01, 'F2': 284.8}","{'F1': 0.01, 'F2': 284.309}"
"{'F1': 0.03, 'F2': 855.42}","{'F1': 0.03, 'F2': 827.403}"
"{'F1': 0.15, 'F2': 856.1}","{'F1': 0.15, 'F2': 878.376}"
"{'F1': 0.2, 'F2': 432.27}","{'F1': 0.25, 'F2': 504.148}"
"{'F1': 0.04, 'F2': 877.39}","{'F1': 0.04, 'F2': 907.804}"
"{'F1': 0.02, 'F2': 775.09}","{'F1': 0.01, 'F2': 779.473}"
"{'F1': 0.35, 'F2': 297.5}","{'F1': 0.35, 'F2': 322.45}"
"{'F1': 0.04, 'F2': 853.12}","{'F1': 0.04, 'F2': 776.676}"
"{'F1': 0.0, 'F2': 800.0}","{'F1': 0.0, 'F2': 663.91}"
"{'F1': 0.3, 'F2': 263.9}","{'F1': 0.3, 'F2': 428.511}"
"{'F1': 0.2, 'F2': 110.13}","{'F1': 0.2, 'F2': 134.267}"
"{'F1': 0.1, 'F2': 372.59}","{'F1': 0.1, 'F2': 378.795}"
