F1,F2
0.871,8.43
0.975,8.275
0.953,8.973
1.0,8.309
0.811,8.493
1.0,7.889
0.998,6.96
0.77,6.573
0.912,6.344
0.568,6.17
0.912,5.323
0.998,5.161
1.0,4.639
0.632,6.444
1.0,5.837
0.912,4.64
0.912,4.83
1.0,6.163
0.979,6.015
0.708,5.95
0.282,6.076
1.0,4.704
1.0,3.877
0.979,4.507
0.376,5.641
0.77,4.469
0.504,7.016
1.0,4.421
0.998,4.606
1.0,7.561
0.781,6.845
0.979,4.614
0.656,6.799
1.0,6.689
1.0,3.939
0.682,7.13
0.568,5.965
1.0,4.205
0.871,4.931
1.0,6.283
0.998,3.94
0.77,4.878
0.376,5.343
0.998,4.158
1.0,6.417
0.998,4.422
0.335,4.854
0.979,4.775
0.282,6.599
0.912,3.784
0.912,4.243
1.0,3.998
0.77,3.771
1.0,3.667
0.632,6.158
