candidate_evaluations,hypervolume_contributions
"[{'F1': 0.8, 'F2': 7.5}, {'F1': 0.85, 'F2': 8.0}, {'F1': 0.75, 'F2': 7.0}, {'F1': 0.9, 'F2': 7.8}, {'F1': 0.88, 'F2': 8.5}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.92, 'F2': 8.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.93, 'F2': 8.2}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.89, 'F2': 7.2}, {'F1': 0.75, 'F2': 5.0}, {'F1': 0.8, 'F2': 6.0}, {'F1': 0.84, 'F2': 6.8}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.82, 'F2': 6.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.86, 'F2': 6.8}, {'F1': 0.85, 'F2': 7.5}, {'F1': 0.87, 'F2': 8.0}, {'F1': 0.89, 'F2': 8.5}, {'F1': 0.86, 'F2': 7.8}, {'F1': 0.84, 'F2': 7.2}]","[0.46397213941591475, 0.27046977609367284, 0.7244686844379705, 0.188538701719613, 0.15436835810032762, 0.046173179165287875, 0.1297329712154131, 0.2164315239566585, 0.3422314361606719, 0.09661106299837385, 0.5234216846049043, 0.28307399576327785, 1.2823474434366713, 0.8099057006150787, 0.49889507972671443, 0.5234216846049043, 0.3422314361606719, 0.7325047552861823, 0.2164315239566585, 0.4363703062575752, 0.3402018316862867, 0.2302592604141701, 0.13891190396675046, 0.27639781900849736, 0.4207907146114289]"
"[{'F1': 0.8, 'F2': 7.5}, {'F1': 0.85, 'F2': 8.0}, {'F1': 0.75, 'F2': 7.0}, {'F1': 0.9, 'F2': 7.8}, {'F1': 0.88, 'F2': 8.5}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.92, 'F2': 8.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.93, 'F2': 8.2}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.89, 'F2': 7.2}, {'F1': 0.75, 'F2': 5.0}, {'F1': 0.8, 'F2': 6.0}, {'F1': 0.84, 'F2': 6.8}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.82, 'F2': 6.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.86, 'F2': 6.8}, {'F1': 0.85, 'F2': 7.5}, {'F1': 0.87, 'F2': 8.0}, {'F1': 0.89, 'F2': 8.5}, {'F1': 0.86, 'F2': 7.8}, {'F1': 0.84, 'F2': 7.2}]","[0.46397213941591475, 0.27046977609367284, 0.7244686844379705, 0.188538701719613, 0.15436835810032762, 0.046173179165287875, 0.1297329712154131, 0.2164315239566585, 0.3422314361606719, 0.09661106299837385, 0.5234216846049043, 0.28307399576327785, 1.2823474434366713, 0.8099057006150787, 0.49889507972671443, 0.5234216846049043, 0.3422314361606719, 0.7325047552861823, 0.2164315239566585, 0.4363703062575752, 0.3402018316862867, 0.2302592604141701, 0.13891190396675046, 0.27639781900849736, 0.4207907146114289]"
"[{'F1': 0.8, 'F2': 7.5}, {'F1': 0.85, 'F2': 8.0}, {'F1': 0.75, 'F2': 7.0}, {'F1': 0.9, 'F2': 7.8}, {'F1': 0.88, 'F2': 8.5}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.92, 'F2': 8.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.93, 'F2': 8.2}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.89, 'F2': 7.2}, {'F1': 0.75, 'F2': 5.0}, {'F1': 0.8, 'F2': 6.0}, {'F1': 0.84, 'F2': 6.8}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.82, 'F2': 6.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.86, 'F2': 6.8}, {'F1': 0.85, 'F2': 7.5}, {'F1': 0.87, 'F2': 8.0}, {'F1': 0.89, 'F2': 8.5}, {'F1': 0.86, 'F2': 7.8}, {'F1': 0.84, 'F2': 7.2}]","[0.46397213941591475, 0.27046977609367284, 0.7244686844379705, 0.188538701719613, 0.15436835810032762, 0.046173179165287875, 0.1297329712154131, 0.2164315239566585, 0.3422314361606719, 0.09661106299837385, 0.5234216846049043, 0.28307399576327785, 1.2823474434366713, 0.8099057006150787, 0.49889507972671443, 0.5234216846049043, 0.3422314361606719, 0.7325047552861823, 0.2164315239566585, 0.4363703062575752, 0.3402018316862867, 0.2302592604141701, 0.13891190396675046, 0.27639781900849736, 0.4207907146114289]"
"[{'F1': 0.8, 'F2': 7.5}, {'F1': 0.85, 'F2': 8.0}, {'F1': 0.75, 'F2': 7.0}, {'F1': 0.9, 'F2': 7.8}, {'F1': 0.88, 'F2': 8.5}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.92, 'F2': 8.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.93, 'F2': 8.2}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.89, 'F2': 7.2}, {'F1': 0.75, 'F2': 5.0}, {'F1': 0.8, 'F2': 6.0}, {'F1': 0.84, 'F2': 6.8}, {'F1': 0.85, 'F2': 6.5}, {'F1': 0.88, 'F2': 7.0}, {'F1': 0.82, 'F2': 6.0}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.86, 'F2': 6.8}, {'F1': 0.85, 'F2': 7.5}, {'F1': 0.87, 'F2': 8.0}, {'F1': 0.89, 'F2': 8.5}, {'F1': 0.86, 'F2': 7.8}, {'F1': 0.84, 'F2': 7.2}]","[0.46397213941591475, 0.27046977609367284, 0.7244686844379705, 0.188538701719613, 0.15436835810032762, 0.046173179165287875, 0.1297329712154131, 0.2164315239566585, 0.3422314361606719, 0.09661106299837385, 0.5234216846049043, 0.28307399576327785, 1.2823474434366713, 0.8099057006150787, 0.49889507972671443, 0.5234216846049043, 0.3422314361606719, 0.7325047552861823, 0.2164315239566585, 0.4363703062575752, 0.3402018316862867, 0.2302592604141701, 0.13891190396675046, 0.27639781900849736, 0.4207907146114289]"
"[{'F1': 0.67, 'F2': 8.25}, {'F1': 0.55, 'F2': 7.8}, {'F1': 0.82, 'F2': 7.5}, {'F1': 0.99, 'F2': 9.5}, {'F1': 0.4, 'F2': 7.0}, {'F1': 0.65, 'F2': 7.95}, {'F1': 0.6, 'F2': 7.8}, {'F1': 0.7, 'F2': 8.1}, {'F1': 0.65, 'F2': 8.0}, {'F1': 0.55, 'F2': 7.7}, {'F1': 0.75, 'F2': 8.0}, {'F1': 0.85, 'F2': 7.8}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.9, 'F2': 8.5}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.75, 'F2': 7.5}, {'F1': 0.65, 'F2': 7.0}, {'F1': 0.7, 'F2': 7.25}, {'F1': 0.8, 'F2': 7.75}, {'F1': 0.6, 'F2': 7.0}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.9}, {'F1': 0.75, 'F2': 7.4}]","[0.0, 0.0012039751177672642, 0.027946089112295347, 0.0, 0.5010180055944833, 0.0, 0.001003979251028575, 0.0, 0.0, 0.025226145324648286, 0.0, 3.999917334795988e-06, 0.019559595767050242, 0.0, 0.1519054552771304, 0.04222579399744231, 0.21457242682220756, 0.11770576207307015, 0.0019039606513528984, 0.24143853825411354, 0.0, 0.019559595767050242, 0.1519054552771304, 0.0, 0.06217237643340878]"
"[{'F1': 0.67, 'F2': 8.25}, {'F1': 0.55, 'F2': 7.8}, {'F1': 0.82, 'F2': 7.5}, {'F1': 0.99, 'F2': 9.5}, {'F1': 0.4, 'F2': 7.0}, {'F1': 0.65, 'F2': 7.95}, {'F1': 0.6, 'F2': 7.8}, {'F1': 0.7, 'F2': 8.1}, {'F1': 0.65, 'F2': 8.0}, {'F1': 0.55, 'F2': 7.7}, {'F1': 0.75, 'F2': 8.0}, {'F1': 0.85, 'F2': 7.8}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.9, 'F2': 8.5}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.75, 'F2': 7.5}, {'F1': 0.65, 'F2': 7.0}, {'F1': 0.7, 'F2': 7.25}, {'F1': 0.8, 'F2': 7.75}, {'F1': 0.6, 'F2': 7.0}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.9}, {'F1': 0.75, 'F2': 7.4}]","[0.0, 0.0012039751177672642, 0.027946089112295347, 0.0, 0.5010180055944833, 0.0, 0.001003979251028575, 0.0, 0.0, 0.025226145324648286, 0.0, 3.999917334795988e-06, 0.019559595767050242, 0.0, 0.1519054552771304, 0.04222579399744231, 0.21457242682220756, 0.11770576207307015, 0.0019039606513528984, 0.24143853825411354, 0.0, 0.019559595767050242, 0.1519054552771304, 0.0, 0.06217237643340878]"
"[{'F1': 0.67, 'F2': 8.25}, {'F1': 0.55, 'F2': 7.8}, {'F1': 0.82, 'F2': 7.5}, {'F1': 0.99, 'F2': 9.5}, {'F1': 0.4, 'F2': 7.0}, {'F1': 0.65, 'F2': 7.95}, {'F1': 0.6, 'F2': 7.8}, {'F1': 0.7, 'F2': 8.1}, {'F1': 0.65, 'F2': 8.0}, {'F1': 0.55, 'F2': 7.7}, {'F1': 0.75, 'F2': 8.0}, {'F1': 0.85, 'F2': 7.8}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.9, 'F2': 8.5}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.75, 'F2': 7.5}, {'F1': 0.65, 'F2': 7.0}, {'F1': 0.7, 'F2': 7.25}, {'F1': 0.8, 'F2': 7.75}, {'F1': 0.6, 'F2': 7.0}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.9}, {'F1': 0.75, 'F2': 7.4}]","[0.0, 0.0012039751177672642, 0.027946089112295347, 0.0, 0.5010180055944833, 0.0, 0.001003979251028575, 0.0, 0.0, 0.025226145324648286, 0.0, 3.999917334795988e-06, 0.019559595767050242, 0.0, 0.1519054552771304, 0.04222579399744231, 0.21457242682220756, 0.11770576207307015, 0.0019039606513528984, 0.24143853825411354, 0.0, 0.019559595767050242, 0.1519054552771304, 0.0, 0.06217237643340878]"
"[{'F1': 0.67, 'F2': 8.25}, {'F1': 0.55, 'F2': 7.8}, {'F1': 0.82, 'F2': 7.5}, {'F1': 0.99, 'F2': 9.5}, {'F1': 0.4, 'F2': 7.0}, {'F1': 0.65, 'F2': 7.95}, {'F1': 0.6, 'F2': 7.8}, {'F1': 0.7, 'F2': 8.1}, {'F1': 0.65, 'F2': 8.0}, {'F1': 0.55, 'F2': 7.7}, {'F1': 0.75, 'F2': 8.0}, {'F1': 0.85, 'F2': 7.8}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.9, 'F2': 8.5}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.75, 'F2': 7.5}, {'F1': 0.65, 'F2': 7.0}, {'F1': 0.7, 'F2': 7.25}, {'F1': 0.8, 'F2': 7.75}, {'F1': 0.6, 'F2': 7.0}, {'F1': 0.95, 'F2': 8.5}, {'F1': 0.8, 'F2': 7.6}, {'F1': 0.65, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.9}, {'F1': 0.75, 'F2': 7.4}]","[0.0, 0.0012039751177672642, 0.027946089112295347, 0.0, 0.5010180055944833, 0.0, 0.001003979251028575, 0.0, 0.0, 0.025226145324648286, 0.0, 3.999917334795988e-06, 0.019559595767050242, 0.0, 0.1519054552771304, 0.04222579399744231, 0.21457242682220756, 0.11770576207307015, 0.0019039606513528984, 0.24143853825411354, 0.0, 0.019559595767050242, 0.1519054552771304, 0.0, 0.06217237643340878]"
"[{'F1': 0.85, 'F2': 8.0}, {'F1': 0.98, 'F2': 7.5}, {'F1': 0.85, 'F2': 7.6}, {'F1': 0.95, 'F2': 7.75}, {'F1': 0.9, 'F2': 8.1}, {'F1': 0.5, 'F2': 7.5}, {'F1': 0.85, 'F2': 7.8}, {'F1': 0.75, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.4}, {'F1': 0.65, 'F2': 7.6}, {'F1': 0.85, 'F2': 8.0}, {'F1': 0.85, 'F2': 7.5}, {'F1': 0.98, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.75}, {'F1': 0.88, 'F2': 8.5}, {'F1': 0.5, 'F2': 7.4}, {'F1': 0.85, 'F2': 7.75}, {'F1': 0.85, 'F2': 7.75}, {'F1': 0.85, 'F2': 7.54}, {'F1': 0.98, 'F2': 7.2}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.82, 'F2': 7.1}, {'F1': 0.88, 'F2': 7.6}, {'F1': 0.8, 'F2': 7.2}, {'F1': 0.86, 'F2': 7.8}]","[0.0, 0.0, 0.00018709804231820115, 0.0, 0.0, 0.10458566946844017, 5.449457543216241e-06, 0.0757801565963585, 0.000368746627092964, 0.037606706505930676, 0.0, 0.0002779223347055826, 0.00015530953998244001, 5.086160373690696e-05, 0.0, 0.1364649960964206, 5.086160373690696e-05, 5.086160373690696e-05, 0.0002415926177505856, 0.00015530953998244001, 0.0, 0.06236010810503467, 0.0, 0.048260396002973716, 0.0]"
"[{'F1': 0.85, 'F2': 8.0}, {'F1': 0.98, 'F2': 7.5}, {'F1': 0.85, 'F2': 7.6}, {'F1': 0.95, 'F2': 7.75}, {'F1': 0.9, 'F2': 8.1}, {'F1': 0.5, 'F2': 7.5}, {'F1': 0.85, 'F2': 7.8}, {'F1': 0.75, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.4}, {'F1': 0.65, 'F2': 7.6}, {'F1': 0.85, 'F2': 8.0}, {'F1': 0.85, 'F2': 7.5}, {'F1': 0.98, 'F2': 7.2}, {'F1': 0.85, 'F2': 7.75}, {'F1': 0.88, 'F2': 8.5}, {'F1': 0.5, 'F2': 7.4}, {'F1': 0.85, 'F2': 7.75}, {'F1': 0.85, 'F2': 7.75}, {'F1': 0.85, 'F2': 7.54}, {'F1': 0.98, 'F2': 7.2}, {'F1': 0.9, 'F2': 7.5}, {'F1': 0.82, 'F2': 7.1}, {'F1': 0.88, 'F2': 7.6}, {'F1': 0.8, 'F2': 7.2}, {'F1': 0.86, 'F2': 7.8}]","[0.0, 0.0, 0.00018709804231820115, 0.0, 0.0, 0.10458566946844017, 5.449457543216241e-06, 0.0757801565963585, 0.000368746627092964, 0.037606706505930676, 0.0, 0.0002779223347055826, 0.00015530953998244001, 5.086160373690696e-05, 0.0, 0.1364649960964206, 5.086160373690696e-05, 5.086160373690696e-05, 0.0002415926177505856, 0.00015530953998244001, 0.0, 0.06236010810503467, 0.0, 0.048260396002973716, 0.0]"
