x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.12,0.713,0.761,0.561,0.771,0.494,0.523,0.428,0.025,0.108
0.031,0.636,0.314,0.509,0.908,0.249,0.41,0.756,0.229,0.077
0.29,0.161,0.93,0.808,0.633,0.871,0.804,0.187,0.893,0.539
0.807,0.896,0.318,0.11,0.228,0.427,0.818,0.861,0.007,0.511
0.417,0.222,0.12,0.338,0.943,0.323,0.519,0.703,0.364,0.972
0.1,0.1,0.05,0.1,0.15,0.1,0.2,0.1,0.1,0.04
0.05,0.1,0.15,0.25,0.35,0.2,0.3,0.4,0.5,0.6
0.05,0.2,0.15,0.3,0.6,0.1,0.2,0.5,0.4,0.2
0.2,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.01
0.02,0.05,0.02,0.1,0.25,0.1,0.15,0.1,0.1,0.3
0.03,0.1,0.05,0.2,0.3,0.1,0.1,0.1,0.1,0.4
0.07,0.15,0.12,0.22,0.65,0.08,0.25,0.35,0.3,0.4
0.1,0.2,0.1,0.1,0.25,0.1,0.1,0.1,0.1,0.3
0.01,0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1
0.08,0.09,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8
0.01,0.03,0.04,0.08,0.12,0.05,0.07,0.1,0.2,0.3
0.4,0.5,0.15,0.25,0.6,0.2,0.4,0.5,0.3,0.4
0.15,0.25,0.2,0.3,0.4,0.1,0.3,0.5,0.6,0.85
0.1,0.05,0.05,0.15,0.65,0.2,0.25,0.35,0.45,0.5
0.2,0.3,0.1,0.1,0.4,0.1,0.2,0.15,0.05,0.1
0.12,0.15,0.2,0.1,0.3,0.05,0.15,0.1,0.1,0.3
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.2
0.03,0.1,0.08,0.2,0.4,0.1,0.3,0.4,0.5,0.9
0.03,0.1,0.2,0.25,0.35,0.45,0.55,0.65,0.75,0.85
0.04,0.2,0.35,0.3,0.6,0.15,0.2,0.3,0.4,0.1
0.0,0.0,0.1,0.1,0.1,0.15,0.25,0.4,0.5,0.6
0.05,0.2,0.2,0.25,0.45,0.1,0.1,0.3,0.4,0.5
0.06,0.2,0.4,0.1,0.5,0.3,0.2,0.3,0.05,0.4
0.1,0.25,0.5,0.15,0.35,0.2,0.1,0.3,0.4,0.6
0.25,0.1,0.01,0.05,0.1,0.1,0.05,0.1,0.15,0.11
0.1,0.1,0.5,0.15,0.3,0.15,0.2,0.4,0.15,0.5
0.1,0.25,0.1,0.25,0.3,0.1,0.1,0.15,0.2,0.2
0.15,0.3,0.2,0.4,0.5,0.3,0.4,0.2,0.3,0.7
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.0,0.1,0.3,0.2,0.25,0.1,0.3,0.4,0.2,0.4
0.3,0.05,0.2,0.1,0.3,0.2,0.4,0.2,0.15,0.25
0.05,0.15,0.35,0.1,0.3,0.05,0.5,0.2,0.25,0.6
0.1,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.13
0.3,0.4,0.5,0.1,0.15,0.2,0.3,0.2,0.1,0.4
0.02,0.1,0.3,0.1,0.4,0.05,0.15,0.2,0.4,0.8
0.03,0.05,0.25,0.35,0.45,0.15,0.2,0.3,0.1,0.5
0.05,0.07,0.05,0.1,0.2,0.1,0.2,0.2,0.2,0.25
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.15
0.1,0.15,0.1,0.1,0.2,0.1,0.2,0.1,0.1,0.3
0.1,0.25,0.2,0.3,0.35,0.1,0.6,0.4,0.1,0.2
0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.15,0.1,0.1,0.15,0.1,0.1,0.2
0.1,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.14
0.1,0.1,0.15,0.1,0.1,0.1,0.1,0.1,0.1,0.15
0.05,0.1,0.1,0.1,0.25,0.15,0.1,0.1,0.1,0.15
0.2,0.07,0.05,0.1,0.2,0.1,0.1,0.1,0.1,0.13
0.1,0.15,0.12,0.1,0.3,0.2,0.1,0.1,0.1,0.2
0.04,0.2,0.1,0.1,0.3,0.2,0.1,0.2,0.1,0.25
0.1,0.15,0.1,0.15,0.2,0.1,0.1,0.1,0.1,0.2
0.1,0.05,0.12,0.08,0.25,0.1,0.2,0.1,0.1,0.13
0.1,0.2,0.3,0.1,0.4,0.15,0.1,0.1,0.2,0.3
0.1,0.05,0.2,0.1,0.3,0.2,0.4,0.5,0.35,0.3
0.07,0.1,0.02,0.05,0.1,0.1,0.1,0.1,0.15,0.12
0.08,0.1,0.1,0.1,0.18,0.1,0.1,0.1,0.1,0.14
0.06,0.15,0.05,0.1,0.2,0.1,0.1,0.1,0.1,0.12
0.06,0.15,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.12
0.05,0.12,0.1,0.1,0.15,0.1,0.1,0.1,0.1,0.05
0.1,0.05,0.1,0.15,0.2,0.1,0.25,0.2,0.1,0.2
0.1,0.1,0.04,0.1,0.1,0.1,0.1,0.1,0.1,0.07
0.12,0.2,0.3,0.4,0.5,0.15,0.2,0.1,0.4,0.6
